,PYGL (5836)
ACH-000004,-0.2711248872320415
ACH-000005,0.024320477394183932
ACH-000007,-0.11417339421275605
ACH-000009,-0.008780926878934147
ACH-000011,0.010137061092453136
ACH-000012,-0.0989934850564358
ACH-000013,-0.11734818045929918
ACH-000014,-0.12392079832721367
ACH-000015,-0.09149105254460672
ACH-000017,-0.016387251719528043
ACH-000018,-0.04198838415599004
ACH-000019,-0.1798286743210808
ACH-000021,-0.051148670299380916
ACH-000022,-0.13487039533659054
ACH-000025,-0.2259154267423831
ACH-000028,-0.06758285180011539
ACH-000030,-0.1016461971298226
ACH-000035,0.09611550122127067
ACH-000036,-0.2967790538175898
ACH-000037,0.019674546648682182
ACH-000039,-0.14074600324276887
ACH-000040,0.001766593703902924
ACH-000041,-0.1145986737505373
ACH-000042,-0.048268306213530926
ACH-000045,0.033558337675431836
ACH-000047,0.006432893286618543
ACH-000052,-0.3446483300661843
ACH-000053,-0.17383765660314787
ACH-000054,-0.15009101273040018
ACH-000055,0.01880908923462849
ACH-000060,-0.09176299763406263
ACH-000067,-0.0860254521486092
ACH-000070,0.01623137378183131
ACH-000075,-0.3442608896926521
ACH-000078,-0.2759654288426045
ACH-000082,-0.1925500220011196
ACH-000085,-0.2855868995725118
ACH-000086,-0.127772033447307
ACH-000087,-0.13798687891393224
ACH-000092,-0.11670812674086653
ACH-000095,-0.05765414442297821
ACH-000097,-0.17184212882482164
ACH-000098,-0.13694336458408368
ACH-000099,-0.2564346781098087
ACH-000108,-0.1063064380350664
ACH-000113,-0.030719909632360518
ACH-000116,-0.14831852947524876
ACH-000118,-0.18928669462486156
ACH-000120,-0.06074577979389938
ACH-000123,-0.056771756494806175
ACH-000127,-0.1020996694927042
ACH-000128,-0.08836959611045356
ACH-000132,-0.07288041290103149
ACH-000133,-0.23815724854602655
ACH-000137,0.0577579212610425
ACH-000138,-0.0793807032359335
ACH-000142,-0.15869364338925518
ACH-000143,-0.2277280004139641
ACH-000146,-0.10286623428575403
ACH-000148,0.00925448054815836
ACH-000150,0.012885476355578298
ACH-000152,-0.0947576769640572
ACH-000153,-0.07993343842726257
ACH-000159,-0.07597738691510178
ACH-000160,-0.0854296648259073
ACH-000163,-0.1490627830460615
ACH-000167,0.13564526244077302
ACH-000168,-0.24670802004725145
ACH-000169,-0.2678445054428725
ACH-000178,-0.16236336819125285
ACH-000183,-0.06741958856984867
ACH-000188,0.02047203561854148
ACH-000189,0.09955554498963497
ACH-000190,-0.2983474113880926
ACH-000198,0.029666674030554323
ACH-000203,-0.7040204146632572
ACH-000204,-0.10611700212432187
ACH-000206,-0.44705379544380425
ACH-000207,-0.0027540630238917395
ACH-000208,-0.32864628167900795
ACH-000210,-0.17514584140449546
ACH-000211,-0.24361026291666135
ACH-000215,-0.1094584575433394
ACH-000221,-0.1057365938002366
ACH-000222,-0.2401259583972773
ACH-000223,-0.10416530318753932
ACH-000226,-0.24937507597553435
ACH-000227,0.04543446848965615
ACH-000228,-0.2618082079395274
ACH-000231,-0.2860394394632157
ACH-000232,-0.07366477986591155
ACH-000233,-0.15698829167769285
ACH-000234,-0.08796926555304606
ACH-000235,-0.1351857051137658
ACH-000237,0.02218643325150005
ACH-000238,-0.15080814370842685
ACH-000242,-0.13064017026332606
ACH-000243,-0.2548624589662786
ACH-000244,-0.206103732868138
ACH-000246,-0.14340457056880104
ACH-000248,0.041415585005803855
ACH-000250,-0.1889144212619682
ACH-000251,-0.12017726472078015
ACH-000252,-0.22778881566750625
ACH-000253,-0.14841040845315973
ACH-000255,0.010536841170317841
ACH-000256,-0.12123367419466068
ACH-000257,-0.2400073446319899
ACH-000258,-0.1352410952030329
ACH-000259,-0.17408149866537906
ACH-000260,-0.10048193637662474
ACH-000261,-0.12141121646312747
ACH-000262,0.1517432398763783
ACH-000263,-0.35847826957776885
ACH-000264,-0.32636525210228
ACH-000265,-0.02535680564374386
ACH-000266,-0.2378276602872959
ACH-000272,-0.00469007216742261
ACH-000274,-0.1132503201782648
ACH-000277,0.06863023156991174
ACH-000278,-0.044639174035024015
ACH-000279,-0.2979582880794931
ACH-000280,-0.122567486039979
ACH-000281,-0.008174881456888411
ACH-000288,-0.13697461570627728
ACH-000291,-0.02613472153137996
ACH-000293,0.10815642314212004
ACH-000294,0.06330962554973722
ACH-000295,-0.07511507184060931
ACH-000296,-0.3062181978844473
ACH-000302,-0.04494482352942997
ACH-000304,-0.40943680246936986
ACH-000307,-0.1380749869879935
ACH-000308,-0.10412395779022188
ACH-000310,-0.18030147716936007
ACH-000311,-0.21423496815151533
ACH-000312,-0.2165267512157998
ACH-000315,-0.15486889431567155
ACH-000316,0.13355786697072305
ACH-000317,-0.1620294325742482
ACH-000318,-0.2365401563367943
ACH-000319,0.08361583009569823
ACH-000320,-0.06120246974771331
ACH-000322,-0.3030085710871029
ACH-000323,-0.11028156813953822
ACH-000324,-0.14743819100797229
ACH-000329,-0.20055196254412375
ACH-000330,0.002623004770042893
ACH-000331,-0.04107267190462807
ACH-000332,-0.19802253479608092
ACH-000334,-0.10490418928554253
ACH-000335,-0.09292884523189293
