,KRT33A (3883)
ACH-000004,-0.016058521187318573
ACH-000005,-0.4039628081591019
ACH-000007,0.12440723620225745
ACH-000009,-0.10431832836408264
ACH-000011,-0.1994317518843171
ACH-000012,-0.1966703847133208
ACH-000013,-0.2219045221310918
ACH-000014,-0.15704902504111504
ACH-000015,-0.3550717960058949
ACH-000017,-0.5548292068088723
ACH-000018,-0.14833537640314035
ACH-000019,-0.06365921886792415
ACH-000021,-0.09352506008908533
ACH-000022,-0.061670274549925186
ACH-000025,-0.20336788872748765
ACH-000028,-0.052242062743048615
ACH-000030,-0.11163890304624294
ACH-000035,-0.18464222241723927
ACH-000036,-0.20347381946535706
ACH-000037,0.015817944304342874
ACH-000039,0.0695659586082651
ACH-000040,-0.3571557532627101
ACH-000041,-0.01460446118532961
ACH-000042,-0.1649562397828299
ACH-000045,-0.19222883247749994
ACH-000047,0.04541726753327094
ACH-000052,-0.055223034139911135
ACH-000053,-0.13943550063421942
ACH-000054,-0.17286391729569708
ACH-000055,-0.15714877076452094
ACH-000060,-0.16517194343552793
ACH-000067,-0.2043763172946404
ACH-000070,-0.055701759526302255
ACH-000075,-0.11193025968134372
ACH-000078,-0.11293007843371078
ACH-000082,-0.2453087230872921
ACH-000085,-0.16153475180639826
ACH-000086,-0.17483816038729708
ACH-000087,-0.17306098262315026
ACH-000092,-0.3150812136408159
ACH-000095,-0.33050830091227545
ACH-000097,-0.028193802014839838
ACH-000098,-0.2998066123368652
ACH-000099,-0.1944229213924212
ACH-000108,-0.2010110961671888
ACH-000113,-0.15371166254903018
ACH-000116,-0.1550229522453223
ACH-000118,-0.1421699789976704
ACH-000120,-0.4312436645073411
ACH-000123,0.010094302915832529
ACH-000127,-0.16214811135067034
ACH-000128,-0.21024355385433696
ACH-000132,-0.12887536531403396
ACH-000133,-0.1442073117895914
ACH-000137,-0.11170215723969967
ACH-000138,-0.24969516126619826
ACH-000142,-0.2507975081548254
ACH-000143,0.2033263339861852
ACH-000146,-0.18455362804877126
ACH-000148,-0.21133942586667814
ACH-000150,-0.08409067642940495
ACH-000152,-0.1879287066328964
ACH-000153,-0.21312470520632304
ACH-000159,-0.1823419830823331
ACH-000160,-0.18208755605166654
ACH-000163,-0.32805792240478376
ACH-000167,-0.3626491006459993
ACH-000168,0.11628886211183588
ACH-000169,-0.16746063603435515
ACH-000178,-0.17458160305550047
ACH-000183,-0.2960346544088227
ACH-000188,-0.2488984639493353
ACH-000189,-0.27763316766189666
ACH-000190,-0.17664511132392705
ACH-000198,-0.1471556978891369
ACH-000203,0.2278636538449834
