,HIST1H2BC (8347)
ACH-000004,-0.6587601998801388
ACH-000005,-0.4082785879159119
ACH-000007,-0.3804363247654016
ACH-000009,-0.5238073360092708
ACH-000011,-0.6977953796573854
ACH-000012,-0.6057095115255123
ACH-000013,-0.5619160456005731
ACH-000014,-0.6622573468211812
ACH-000015,-0.39434337380464396
ACH-000017,-0.7319541247861564
ACH-000018,-0.7032773126182211
ACH-000019,-0.5042606364854236
ACH-000021,-0.5563089225172534
ACH-000022,-0.5919052473694394
ACH-000025,-0.705379415496439
ACH-000028,-0.5202130662034123
ACH-000030,-0.5402475892668388
ACH-000035,-0.9762586989654082
ACH-000036,-0.6272882129580616
ACH-000037,-0.6652307706337028
ACH-000039,-0.5946330190947068
ACH-000040,-0.533355863965195
ACH-000041,-0.7860597962186425
ACH-000042,-0.6735393911951574
ACH-000045,-0.6392703633902068
ACH-000047,-0.5446221713324351
ACH-000052,-0.4827002272558116
ACH-000053,-0.614415437198867
ACH-000054,-0.6518695508633632
ACH-000055,-0.6224024312322579
ACH-000060,-0.6636318906721277
ACH-000067,-0.5208002469324955
ACH-000070,-0.8217585660682274
ACH-000075,-0.7188038767128295
ACH-000078,-0.5985597537468791
ACH-000082,-0.699997078128446
ACH-000085,-0.8556986049493014
ACH-000086,-0.8080103215386547
ACH-000087,-0.7658541483618655
ACH-000092,-0.7504066311415093
ACH-000095,-0.9056040149225868
ACH-000097,-0.5718034852796942
ACH-000098,-0.7793929712565774
ACH-000099,-0.5550887329183056
ACH-000108,-0.5926478328929419
ACH-000113,-0.6045665697143324
ACH-000116,-0.5439804080928847
ACH-000118,-0.7773884546650597
ACH-000120,-0.6977166647080375
ACH-000123,-0.6422865156641157
ACH-000127,-0.6099029959665604
ACH-000128,-0.5325315819382567
ACH-000132,-0.535155237265856
ACH-000133,-0.6812750521823515
ACH-000137,-0.5767409171506811
ACH-000138,-0.5849326571385396
ACH-000142,-0.5499595545954543
ACH-000143,-0.5370104220406341
ACH-000146,-0.6817633725609024
ACH-000148,-0.4700795379624642
ACH-000150,-0.5924708249137073
ACH-000152,-0.5547994056067571
ACH-000153,-0.8164352049002852
ACH-000159,-0.6367020946128684
ACH-000160,-0.3878408756161823
ACH-000163,-0.634268228808972
ACH-000167,0.007937399064376053
ACH-000168,-0.934459854275992
ACH-000169,-0.8596065464031741
ACH-000178,-0.669475432327991
ACH-000183,-0.7030814289014132
ACH-000188,-0.6967937946853601
ACH-000189,-0.7052986981515686
ACH-000190,-0.0028447890758763533
ACH-000198,-0.6584065346394655
ACH-000203,-0.6292825739851141
ACH-000204,-0.500521987304391
ACH-000206,-1.1788987518042855
ACH-000207,-0.6295469723834424
ACH-000208,-0.28609172854146137
ACH-000210,-0.8296128092254205
ACH-000211,-0.4553534289809273
ACH-000215,-0.6189873144775953
ACH-000221,-0.5858100825606588
ACH-000222,-0.6387417020777468
ACH-000223,-0.7513052132421554
ACH-000226,-0.7164844973427126
ACH-000227,-0.5342207134217457
ACH-000228,-0.5474984554367355
ACH-000231,-0.7638105971899309
ACH-000232,-0.5942165742500723
ACH-000233,-0.9575012041491904
ACH-000234,-0.6488125617850418
ACH-000235,-0.6079366447524166
ACH-000237,-0.4644064068879775
ACH-000238,-0.6009231122168034
ACH-000242,-0.5071920995894604
ACH-000243,-0.5968357497611534
ACH-000244,-0.6827454005338238
ACH-000246,-0.5444001430643584
ACH-000248,-0.6055069617885089
ACH-000250,-0.4655552964774858
