,CUEDC1 (404093)
ACH-000004,-0.3765599430887129
ACH-000005,-0.01729073877092123
ACH-000007,0.02539804508965094
ACH-000009,-0.20650344718323327
ACH-000011,-0.2097221768685501
ACH-000012,-0.23190990786698498
ACH-000013,-0.13092137104205587
ACH-000014,0.03315377675600886
ACH-000015,-0.16999849430392874
ACH-000017,-0.14386339885918134
ACH-000018,-0.2889028684907965
ACH-000019,-0.11409830336272378
ACH-000021,0.0071468384006453094
ACH-000022,-0.05104843636431727
ACH-000025,-0.03405149802627813
ACH-000028,-0.26008706222745703
ACH-000030,-0.07660348131379821
ACH-000035,-0.15761114171404222
ACH-000036,0.03896641631239474
ACH-000037,-0.09266148630639726
ACH-000039,-0.15668195406334254
ACH-000040,-0.07673180849391588
ACH-000041,-0.04035723944516013
ACH-000042,-0.04165932588710783
ACH-000045,-0.11723482937228695
ACH-000047,-0.09262184765476657
ACH-000052,-0.09914219088022416
ACH-000053,-0.07429114735962554
ACH-000054,-0.1567068627609785
ACH-000055,-0.006608122018917111
ACH-000060,-0.17853741374739754
ACH-000067,-0.07908763977574321
ACH-000070,-0.20268732848623705
ACH-000075,0.07808970833496719
ACH-000078,-0.16247666588685505
ACH-000082,-0.10797087174290622
ACH-000085,0.027948608682031726
ACH-000086,-0.15548485688878094
ACH-000087,-0.18726995585716824
ACH-000092,-0.03821717102652072
ACH-000095,-0.2266059692792234
ACH-000097,-0.0711602230391526
ACH-000098,-0.10097054400431922
ACH-000099,-0.12660953685505075
ACH-000108,0.014953268514231637
ACH-000113,0.00602162209794456
ACH-000116,-0.039853722129715316
ACH-000118,-0.02603430377783037
ACH-000120,-0.24795590508781304
ACH-000123,-0.2469047164459485
ACH-000127,-0.04806951633123263
ACH-000128,-0.3041320055438838
ACH-000132,-0.07189244600152513
ACH-000133,-0.11955175331579025
ACH-000137,-0.09007235217000432
ACH-000138,-0.08536862093814603
ACH-000142,-0.17360620226653914
ACH-000143,-0.16701175225480633
ACH-000146,-0.024805551744035752
ACH-000148,-0.1235005803561537
ACH-000150,-0.02653210644232051
ACH-000152,-0.1627383225892897
ACH-000153,-0.07086236657403139
ACH-000159,-0.07068040692769324
ACH-000160,0.02232845607590266
ACH-000163,-0.10637176841069668
ACH-000167,0.10449824104689932
ACH-000168,-0.01129283782533408
ACH-000169,-0.019245677057018958
ACH-000178,0.03739787202932617
ACH-000183,-0.07056096872059013
ACH-000188,-0.16925175532713405
ACH-000189,-0.06808485219947794
ACH-000190,-0.14472732302491634
ACH-000198,0.004753963389438412
ACH-000203,-0.3062606512880663
ACH-000204,-0.050322229577274016
ACH-000206,-0.08034699421668721
