,DENND2C (163259)
ACH-000004,-0.13937089766265193
ACH-000005,-0.16503342053943254
ACH-000007,-0.3926451748538136
ACH-000009,-0.3149898988782029
ACH-000011,-0.3320088392800501
ACH-000012,-0.3830113794172191
ACH-000013,-0.27129375669208866
ACH-000014,-0.2903929702456389
ACH-000015,-0.1755374514676344
ACH-000017,-0.1585799921096642
ACH-000018,-0.09376526331124738
ACH-000019,-0.5686688056345817
ACH-000021,-0.13840625408634666
ACH-000022,-0.2311569361928377
ACH-000025,-0.35636528751234026
ACH-000028,-0.5762799312806342
ACH-000030,-0.3271400703285977
ACH-000035,-0.33319115298911256
ACH-000036,-0.22436700274183116
ACH-000037,-0.2011059500105425
ACH-000039,-0.10973376481384353
ACH-000040,-0.1996370763371782
ACH-000041,-0.19226750498139408
ACH-000042,-0.1447824838794957
ACH-000045,-0.2772090163394397
ACH-000047,-0.09803417892960946
ACH-000052,-0.024291260649417168
ACH-000053,-0.220881196944493
ACH-000054,-0.22067915730037566
ACH-000055,-0.15198357166717955
ACH-000060,-0.4565537921523781
ACH-000067,-0.2718108629378439
ACH-000070,-0.09387865055151123
ACH-000075,-0.2257685773119065
ACH-000078,-0.19906092075114756
ACH-000082,-0.20455055939649908
ACH-000085,-0.2510252271691133
ACH-000086,-0.23064153696447626
ACH-000087,-0.015136189380662059
ACH-000092,-0.41860751326906376
ACH-000095,-0.22134800290130224
ACH-000097,-0.012985833423273429
ACH-000098,-0.2898576289368196
ACH-000099,-0.2507316323883225
ACH-000108,-0.2859028049707808
ACH-000113,-0.3163174303638028
ACH-000116,-0.183744030182266
ACH-000118,-0.2577350695497168
ACH-000120,0.01678984474470895
ACH-000123,-0.2825217653950369
ACH-000127,-0.20965718388999888
ACH-000128,-0.2702741030954562
ACH-000132,-0.1275076742832737
ACH-000133,-0.22074766679409966
ACH-000137,-0.35796108655807224
ACH-000138,-0.14082521513611546
ACH-000142,-0.1870579786728772
ACH-000143,-0.28048648739201754
ACH-000146,-0.2656764511836409
ACH-000148,-0.11709385383836855
ACH-000150,-0.2468777272950652
ACH-000152,-0.3134951319983091
ACH-000153,-0.3396929264172953
ACH-000159,-0.2545768949557157
ACH-000160,-0.014010038426339985
ACH-000163,-0.07512430650578293
ACH-000167,-0.11297415342087555
ACH-000168,-0.3241725348236074
ACH-000169,-0.2084096644493766
ACH-000178,-0.13968271401906826
ACH-000183,-0.1976698888595876
ACH-000188,-0.19778944915034335
ACH-000189,-0.12239000710314145
ACH-000190,-0.15695203869581387
ACH-000198,-0.1724064491093146
ACH-000203,0.03744751886257765
ACH-000204,-0.3397311290279024
ACH-000206,-0.1607075635419424
ACH-000207,-0.20444562301170194
ACH-000208,-0.16593346231512535
ACH-000210,-0.21744884386109314
ACH-000211,-0.2422913060734381
ACH-000215,-0.22421085675257166
ACH-000221,-0.4650300097938657
ACH-000222,-0.2892405844083102
ACH-000223,-0.27736767705494153
ACH-000226,-0.3051258477347745
ACH-000227,-0.2880228728602585
ACH-000228,-0.16214456088274154
