,GON4L (54856)
ACH-000004,-0.2682952462334401
ACH-000005,-0.4123340890681392
ACH-000007,-0.3374538515622782
ACH-000009,-0.3458452989075504
ACH-000011,-0.3578196996121728
ACH-000012,-0.5209625633908632
ACH-000013,-0.5289701791803947
ACH-000014,-0.43423040458391216
ACH-000015,-0.439385733676582
ACH-000017,-0.241749644908383
ACH-000018,-0.3087805792253949
ACH-000019,-0.4584842600384028
ACH-000021,-0.4054088083001597
ACH-000022,-0.4993474849841937
ACH-000025,-0.6192824428476797
ACH-000028,-0.4315904122713599
ACH-000030,-0.31172724783003386
ACH-000035,-0.3840344647042478
ACH-000036,-0.4178850233506145
ACH-000037,-0.2807909513451252
ACH-000039,-0.4783185613379456
ACH-000040,-0.3961419767631156
ACH-000041,-0.1894093324066365
ACH-000042,-0.2552310583905797
ACH-000045,-0.3892818685369919
ACH-000047,-0.35895833885517625
ACH-000052,-0.6711065698971059
ACH-000053,-0.6028697031971597
ACH-000054,-0.3352527503565007
ACH-000055,-0.4655058196163984
ACH-000060,-0.3261239201423768
ACH-000067,-0.3209657711641577
ACH-000070,-0.4590680108489927
ACH-000075,-0.4429915591473145
ACH-000078,-0.3176488655716038
ACH-000082,-0.4889777403810476
ACH-000085,-0.5383156920030335
ACH-000086,-0.5656963983583821
ACH-000087,-0.2547792156065056
ACH-000092,-0.5284960054800542
ACH-000095,-0.31662411618912273
ACH-000097,-0.2717076641107253
ACH-000098,-0.43241662314922535
ACH-000099,-0.35504451352146915
ACH-000108,-0.3114242021247855
ACH-000113,-0.4344993417774744
ACH-000116,-0.32405661949029513
ACH-000118,-0.2590222460523424
ACH-000120,-0.32498555122125466
ACH-000123,-0.4861241062986864
ACH-000127,-0.2795759230261546
ACH-000128,-0.2159856557987564
ACH-000132,-0.3242685448478616
ACH-000133,-0.2913324332575956
ACH-000137,-0.3748181243832677
ACH-000138,-0.2597143172830273
ACH-000142,-0.3945443253224808
ACH-000143,-0.3761490474217923
ACH-000146,-0.4181726489127571
ACH-000148,-0.5403194954128259
ACH-000150,-0.21694739269019184
ACH-000152,-0.3963882071902488
ACH-000153,-0.4577638500398778
ACH-000159,-0.40295444247678935
ACH-000160,-0.4988113950713296
ACH-000163,-0.3239377780244395
ACH-000167,-0.37884961534887934
ACH-000168,-0.3884087292943015
ACH-000169,-0.35675227584111874
ACH-000178,-0.4513127430963546
ACH-000183,-0.3514184183858798
ACH-000188,-0.36464726851980905
ACH-000189,-0.34288328539388085
ACH-000190,-0.5580037557503462
ACH-000198,-0.4219122133909068
ACH-000203,-0.294375246745365
ACH-000204,-0.5593728483329724
ACH-000206,-0.3913014019824255
ACH-000207,-0.08612231345780247
ACH-000208,-0.14187441454721408
ACH-000210,-0.038952007821950366
ACH-000211,-0.406216542872447
ACH-000215,-0.3559645266972561
ACH-000221,-0.43048903228449337
ACH-000222,-0.3685150618336282
ACH-000223,-0.34929921964180605
ACH-000226,-0.2751765883283184
ACH-000227,-0.3664439191027651
ACH-000228,-0.4935058077461973
ACH-000231,-0.310078143662642
ACH-000232,-0.3613586579478399
ACH-000233,-0.2610534888269917
ACH-000234,-0.2601917819000313
ACH-000235,-0.2547890409402529
ACH-000237,-0.37058973167453213
ACH-000238,-0.2930067326683735
ACH-000242,-0.2632273164576827
ACH-000243,-0.5385207857353427
ACH-000244,-0.4166043708292
ACH-000246,-0.3860506146036082
ACH-000248,-0.08558911763638209
ACH-000250,-0.4468044501222721
ACH-000251,-0.4703584619065067
ACH-000252,-0.39877959162625537
ACH-000253,-0.3674418916648527
ACH-000255,-0.2950081617085156
ACH-000256,-0.3994263596313276
ACH-000257,-0.4336973401865944
ACH-000258,-0.34613416320914
ACH-000259,-0.4324741616138571
ACH-000260,-0.3194865214425199
ACH-000261,-0.3971458042393701
ACH-000262,-0.3993127175721221
ACH-000263,-0.5624702179752123
ACH-000264,-0.4734816599624085
ACH-000265,-0.2689689133692355
ACH-000266,-0.4659727044039738
ACH-000272,-0.3578534501899233
ACH-000274,-0.3281021458728252
ACH-000277,-0.283089615613152
ACH-000278,-0.31751419065941305
ACH-000279,-0.20646788522864687
ACH-000280,-0.2714219923850744
ACH-000281,-0.3413196262686934
ACH-000288,-0.21769749594528512
ACH-000291,-0.3424519467828364
ACH-000293,-0.33322061671049924
ACH-000294,-0.2431349900352433
ACH-000295,-0.6402041890897197
ACH-000296,-0.5522119523914419
ACH-000302,-0.3018665306965347
ACH-000304,-0.4518238996691263
ACH-000307,-0.3617329838968691
ACH-000308,-0.3189718721464697
ACH-000310,-0.19037543396319032
ACH-000311,-0.3936892624348157
ACH-000312,-0.2886342947432496
ACH-000315,-0.3036349504972499
ACH-000316,-0.27640682663561594
ACH-000317,-0.4842058800935367
ACH-000318,-0.2984406074784726
ACH-000319,-0.5032941452213839
ACH-000320,-0.33645992972439376
ACH-000322,-0.3261192229193812
ACH-000323,-0.4940504185002831
ACH-000324,-0.3281580998021737
ACH-000329,-0.2405929675655641
ACH-000330,-0.33269577039194115
ACH-000331,-0.5315515758033041
ACH-000332,-0.34131426121421005
ACH-000334,-0.2050353338891744
ACH-000335,-0.4433562408017365
ACH-000336,-0.4898768963803352
ACH-000337,-0.6297663133967448
ACH-000338,-0.287754110449923
ACH-000339,-0.3293909922933949
ACH-000341,-0.4912428735214425
ACH-000348,-0.3936691030382928
