,BRI3 (25798)
ACH-000004,-0.2419460171876589
ACH-000005,-0.2394139557635861
ACH-000007,-0.09113717920605886
ACH-000009,-0.09734089812688154
ACH-000011,-0.19929817971361194
ACH-000012,-0.1300402771194119
ACH-000013,-0.14871614844050754
ACH-000014,-0.19168982539287535
ACH-000015,-0.17355523908262635
ACH-000017,-0.3146228473401084
ACH-000018,-0.06995213423375965
ACH-000019,-0.12420224125106613
ACH-000021,-0.279681361864846
ACH-000022,-0.20744443155420114
ACH-000025,-0.2195937257227031
ACH-000028,-0.2647188803585979
ACH-000030,-0.13837110431991462
ACH-000035,-0.14953198837404436
ACH-000036,-0.18493075438214165
ACH-000037,-0.20665658138554946
ACH-000039,-0.00039749619121896135
ACH-000040,-0.14796003173368028
ACH-000041,-0.17969015872137425
ACH-000042,-0.18761499544096788
ACH-000045,-0.15600689466980705
ACH-000047,-0.13576765763152535
ACH-000052,-0.09600132496806317
ACH-000053,-0.17309463505636194
ACH-000054,-0.3192335136755676
ACH-000055,-0.18231176942618613
ACH-000060,-0.3524189183251903
ACH-000067,-0.16732631696143352
ACH-000070,-0.3389228459248549
ACH-000075,-0.3004608760400805
ACH-000078,-0.09672179046079653
ACH-000082,-0.16411385293480302
ACH-000085,-0.2723689316098899
ACH-000086,-0.0696237062789443
ACH-000087,0.04501900318084178
ACH-000092,-0.22725996095688095
ACH-000095,-0.08830968706101837
ACH-000097,-0.17033459565230294
ACH-000098,-0.2299011655710977
ACH-000099,-0.21573321553391767
ACH-000108,-0.27754429985610496
ACH-000113,-0.1365886529753994
ACH-000116,-0.2523111616455528
ACH-000118,-0.16737859024249802
ACH-000120,-0.15846887490478198
ACH-000123,-0.08385835900817419
ACH-000127,-0.15610143780773406
ACH-000128,-0.2623410778811367
ACH-000132,-0.09722861232474063
ACH-000133,-0.25806379427747195
ACH-000137,-0.18768677138294235
ACH-000138,-0.11875688974200688
ACH-000142,-0.3807358003388979
ACH-000143,-0.206331253414528
ACH-000146,-0.1610391022035068
ACH-000148,-0.09382625096247643
ACH-000150,-0.19517433613276114
ACH-000152,-0.22320021303266435
ACH-000153,0.15979177072872786
ACH-000159,-0.2404485188749806
ACH-000160,-0.17957313047644732
ACH-000163,-0.24863563728602986
ACH-000167,-0.2330463602615893
ACH-000168,-0.2244696039689503
ACH-000169,-0.04131328500860838
ACH-000178,-0.2943858150253053
ACH-000183,-0.14302141267724144
ACH-000188,-0.32955542760337264
ACH-000189,-0.05077821988281785
ACH-000190,-0.4237615314654681
ACH-000198,-0.1633068389590535
ACH-000203,-0.1454381621223944
ACH-000204,-0.2596083280310114
ACH-000206,0.034028313947148066
ACH-000207,-0.14075970493409473
ACH-000208,-0.3608647553598117
ACH-000210,-0.23308264310752286
ACH-000211,-0.18709348389618186
ACH-000215,-0.13915271558315712
ACH-000221,-0.31072945775382343
