,UBL5 (59286)
ACH-000004,-1.2708163491933544
ACH-000005,-1.241114770356006
ACH-000007,-1.1984948596731535
ACH-000009,-1.3723535455136482
ACH-000011,-1.047146291292454
ACH-000012,-1.2319877617100106
ACH-000013,-1.4023951546603108
ACH-000014,-1.1335964747114773
ACH-000015,-1.1524803039231724
ACH-000017,-1.000341108911469
ACH-000018,-1.0004037992498764
ACH-000019,-1.3316502123470448
ACH-000021,-1.2617896583363284
ACH-000022,-1.1602034310060307
ACH-000025,-1.243883720653365
ACH-000028,-1.2739453416707058
ACH-000030,-1.3749905128519435
ACH-000035,-1.039730983986065
ACH-000036,-1.0870014657976692
ACH-000037,-0.4947370887218607
ACH-000039,-1.019855038711818
ACH-000040,-1.1126984914821592
ACH-000041,-1.2408403426133068
ACH-000042,-1.1563476216748625
ACH-000045,-1.0996219778254877
ACH-000047,-1.225211845391503
ACH-000052,-1.1809435633726553
ACH-000053,-1.2118151250342624
ACH-000054,-1.1033868202937145
ACH-000055,-0.784411040287869
ACH-000060,-0.8905216566592798
ACH-000067,-1.0747550706997049
ACH-000070,-1.3761003189328291
ACH-000075,-1.011585857814439
ACH-000078,-1.188149282348133
ACH-000082,-1.2804573802588648
ACH-000085,-1.0616898783915931
ACH-000086,-1.1942162653491737
ACH-000087,-0.8974224225029085
ACH-000092,-1.249647752574511
ACH-000095,-1.1364850572532552
ACH-000097,-1.240595656604652
ACH-000098,-1.2224668902595888
ACH-000099,-1.2540044478248744
ACH-000108,-1.177411739972757
ACH-000113,-1.1674589627524825
ACH-000116,-1.1885646565823242
ACH-000118,-1.0128685419388177
ACH-000120,-1.0446221864787273
ACH-000123,-1.071087311650818
ACH-000127,-1.1951953272455085
ACH-000128,-0.9985464270790559
ACH-000132,-1.1673896696765076
ACH-000133,-1.2083171461006772
ACH-000137,-1.3491981187710216
ACH-000138,-1.2117993997382552
ACH-000142,-1.1693080781611784
ACH-000143,-1.4218805211559793
ACH-000146,-1.6295050648424
ACH-000148,-1.1744496908634348
ACH-000150,-1.1488415552924534
ACH-000152,-1.3708459748949229
ACH-000153,-0.7156282078475006
ACH-000159,-1.2401550716951124
ACH-000160,-1.3135996560977892
ACH-000163,-1.0504973709976806
ACH-000167,-1.9144027204944016
ACH-000168,-1.2275790033983125
ACH-000169,-1.2069080406823112
ACH-000178,-1.1472949353004822
ACH-000183,-1.2724967470483597
ACH-000188,-1.05112929156397
ACH-000189,-1.4167767632669532
ACH-000190,-1.2921967073778284
ACH-000198,-1.2456930401759192
ACH-000203,-1.6383127243454558
ACH-000204,-1.3264732352371722
ACH-000206,-0.7125017979006724
ACH-000207,-1.300719472532855
ACH-000208,-1.1413047789345374
ACH-000210,-1.147571739369922
ACH-000211,-1.242990983488859
ACH-000215,-1.095340656782056
ACH-000221,-1.4056654376904991
