,KNG1 (3827)
ACH-000004,-0.17356435108774226
ACH-000005,0.01904064968121361
ACH-000007,-0.03046566355944403
ACH-000009,-0.3008762741804656
ACH-000011,-0.19478606218446773
ACH-000012,0.02359829071683866
ACH-000013,-0.01868075603795024
ACH-000014,-0.17735426848487335
ACH-000015,-0.2886204717473585
ACH-000017,-0.15719746759442632
ACH-000018,-0.2562006980431473
ACH-000019,-0.043168484865928405
ACH-000021,-0.0630815043674245
ACH-000022,-0.12039096405033985
ACH-000025,-0.24705910166807565
ACH-000028,-0.060918997987783816
ACH-000030,-0.17325452000393998
ACH-000035,-0.05309390475223321
ACH-000036,-0.2808554636223301
ACH-000037,-0.17859353626907767
ACH-000039,-0.06262706653723027
ACH-000040,-0.08575806358550228
ACH-000041,-0.17885190345335147
ACH-000042,-0.16805353206120305
ACH-000045,-0.2808596120522232
ACH-000047,-0.13497848081668412
ACH-000052,-0.08555604182636975
ACH-000053,-0.1332924481891384
ACH-000054,-0.3556868595940752
ACH-000055,-0.3868368994018415
ACH-000060,-0.3577534853514479
ACH-000067,-0.07771355227020235
ACH-000070,-0.13154852693491068
ACH-000075,-0.30948651458767834
ACH-000078,-0.19147264802858344
ACH-000082,-0.09888861222833294
ACH-000085,-0.2582905764270842
ACH-000086,-0.27390409594174164
ACH-000087,0.020152529898534343
ACH-000092,-0.24660683088033025
ACH-000095,-0.20226351028121586
ACH-000097,-0.19130260037225308
ACH-000098,-0.11701514162768367
ACH-000099,-0.134743192683386
ACH-000108,-0.2603675324735716
ACH-000113,-0.22707463892032065
ACH-000116,-0.3612424314265501
ACH-000118,-0.12196687931402304
ACH-000120,-0.1993721943705344
ACH-000123,-0.09006933449201421
ACH-000127,-0.145644055944276
ACH-000128,-0.4145246803785911
ACH-000132,-0.22261685842104686
ACH-000133,-0.12386232314126892
ACH-000137,-0.19570737877839312
ACH-000138,-0.29267001447357843
ACH-000142,-0.25829152798784816
ACH-000143,-0.09568324687430516
ACH-000146,-0.2654729857924551
ACH-000148,-0.182654735042436
ACH-000150,-0.25555166436821514
