,PPIC (5480)
ACH-000004,0.0021563352615350424
ACH-000005,-0.23062835689365385
ACH-000007,-0.12276460499073928
ACH-000009,0.016083595059660494
ACH-000011,-0.05843368513916189
ACH-000012,-0.027425471540099212
ACH-000013,-0.09360660807400767
ACH-000014,-0.17645402600602758
ACH-000015,-0.14558602756481906
ACH-000017,-0.027303274934140358
ACH-000018,-0.11641703868727285
ACH-000019,-0.035517901836861154
ACH-000021,0.003030420789278827
ACH-000022,-0.003471963288003211
ACH-000025,-0.03134225674283685
ACH-000028,-0.07754532716448828
ACH-000030,-0.06161703660722637
ACH-000035,-0.055331820649771817
ACH-000036,-0.09443438489121933
ACH-000037,-0.022079618544093148
ACH-000039,-0.1511473502687023
ACH-000040,-0.025763016089960726
ACH-000041,-0.09548365157224574
ACH-000042,-0.07716676019821267
ACH-000045,0.017501384043616328
ACH-000047,-0.16968825296172632
ACH-000052,-0.18811974274018486
ACH-000053,0.009925316320758085
ACH-000054,-0.13908779269451407
ACH-000055,0.057884600836085084
ACH-000060,0.14238130839417196
ACH-000067,-0.09627587414984842
ACH-000070,0.009596413392953976
ACH-000075,-0.08047551936654768
ACH-000078,0.03399552477903338
ACH-000082,-0.1240297788156585
ACH-000085,0.09559202038895297
ACH-000086,-0.12554780945032182
ACH-000087,-0.11413445144313855
ACH-000092,-0.11757947249520563
ACH-000095,-0.10468552143729427
ACH-000097,-0.08670087603390053
ACH-000098,-0.10243058807000087
ACH-000099,-0.08029586351837778
ACH-000108,0.017832104350405675
ACH-000113,0.020185190711737383
ACH-000116,0.01769656488342011
ACH-000118,0.0003158370819655032
ACH-000120,-0.013528167497223005
ACH-000123,-0.09453976814619916
ACH-000127,-0.06743654489042819
ACH-000128,-0.07533756843207802
ACH-000132,-0.054854856110914514
ACH-000133,-0.14743720874122235
ACH-000137,-0.11843725247634218
ACH-000138,-0.011777843387387622
ACH-000142,-0.08812282268830345
ACH-000143,-0.016641226480185182
ACH-000146,0.02746971714618078
ACH-000148,-0.06538903647221989
ACH-000150,-0.05153307417389722
ACH-000152,-0.05532538272394342
ACH-000153,-0.08919887656322494
ACH-000159,-0.1084889725174141
ACH-000160,-0.12312887565832467
ACH-000163,-0.019945179073521804
ACH-000167,-0.24405758707467826
ACH-000168,-0.09123924768404501
ACH-000169,-0.13149149661932394
ACH-000178,0.09430175056879568
ACH-000183,-0.008397177283850744
ACH-000188,-0.102689619336491
ACH-000189,0.005334536577432243
ACH-000190,-0.08228378390846214
ACH-000198,-0.1413768300705397
ACH-000203,0.06608286267383273
ACH-000204,-0.06994184701423302
ACH-000206,0.06063323241018447
ACH-000207,-0.026337934965509992
ACH-000208,0.07061616373453082
ACH-000210,-0.018277369562620896
ACH-000211,-0.11222046594017032
ACH-000215,-0.012743824110927513
ACH-000221,-0.17264615176184758
ACH-000222,-0.09894059581471998
ACH-000223,-0.010314063805434457
ACH-000226,-0.0375064438937968
ACH-000227,-0.03246745968257217
ACH-000228,-0.03261823717245108
ACH-000231,-0.053654977827600016
ACH-000232,-0.1451131171693377
ACH-000233,0.10006548979877873
ACH-000234,-0.058961619726409335
ACH-000235,-0.07036123085615621
ACH-000237,-0.08401931872259516
ACH-000238,-0.021376217496469
ACH-000242,0.08373027564419426
ACH-000243,-0.030051290963296038
ACH-000244,0.05227503139848743
ACH-000246,-0.13884427983043274
ACH-000248,-0.11746374941821258
ACH-000250,-0.018633337624781258
ACH-000251,-0.16330996463209171
ACH-000252,-0.018277851980048464
ACH-000253,-0.08748916561502554
ACH-000255,-0.07729780809744335
ACH-000256,0.06609509904543882
ACH-000257,-0.0035273517083967117
ACH-000258,-0.006968211383304865
ACH-000259,0.0005336385170299491
ACH-000260,-0.009454995777622956
ACH-000261,-0.059931270929717076
ACH-000262,-0.32211785918816965
ACH-000263,-0.061714625595096675
ACH-000264,-0.1107233685104684
ACH-000265,0.01618089383864126
ACH-000266,-0.033763612180190236
ACH-000272,-0.030607613622938724
ACH-000274,-0.02969972110848161
