,LPPR5 (163404)
ACH-000004,-0.13652157279431396
ACH-000005,-0.2950873036965413
ACH-000007,-0.20520132174496172
ACH-000009,-0.04459372529996597
ACH-000011,-0.11627923971178272
ACH-000012,-0.0833044073361203
ACH-000013,-0.2244066960262366
ACH-000014,0.15253125132717052
ACH-000015,-0.2331244533805757
ACH-000017,-0.09272237765857533
ACH-000018,-0.21746528234425264
ACH-000019,0.19175132429445188
ACH-000021,-0.08461660414321769
ACH-000022,-0.07774288932504471
ACH-000025,-0.31685618939370536
ACH-000028,-0.15730991243270798
ACH-000030,-0.07819380412722585
ACH-000035,-0.3044773400854163
ACH-000036,-0.017976605883566168
ACH-000037,0.15540877952748672
ACH-000039,-0.08200581715716103
ACH-000040,-0.3643438383764073
ACH-000041,-0.27700414498489884
ACH-000042,-0.21963277666724434
ACH-000045,-0.07627080589132454
ACH-000047,-0.2653686529149203
ACH-000052,-0.01298323618171726
ACH-000053,-0.11298255195317528
ACH-000054,-0.19067505887265634
ACH-000055,-0.2788568192855134
ACH-000060,-0.22040537636818436
ACH-000067,-0.3510505209898816
ACH-000070,-0.1250822040847807
ACH-000075,-0.482967896275347
ACH-000078,-0.12237470048199145
ACH-000082,-0.0029007309230970305
ACH-000085,-0.2819157686826896
ACH-000086,0.018363282876207317
ACH-000087,-0.2875769405272101
ACH-000092,-0.21040635898182072
ACH-000095,-0.18892637040828514
ACH-000097,-0.20017558305269856
ACH-000098,-0.2440348725702064
ACH-000099,-0.14969967226832293
ACH-000108,-0.016105647924661872
ACH-000113,-0.18540081167810812
ACH-000116,-0.21642675165319897
ACH-000118,-0.10371011157246064
ACH-000120,-0.2647744692674078
ACH-000123,-0.2644770997971725
ACH-000127,-0.2242177260803932
ACH-000128,-0.14138667813778882
ACH-000132,-0.11029895069978188
ACH-000133,-0.02155021859289301
ACH-000137,-0.36364369841293337
ACH-000138,-0.06295434505770181
ACH-000142,-0.16179658136674324
ACH-000143,-0.26687322215962084
ACH-000146,-0.05780219309178373
ACH-000148,-0.13744702539418485
ACH-000150,-0.15645558220306002
ACH-000152,-0.18363083404898176
ACH-000153,-0.2462929460453217
ACH-000159,-0.20439665129197224
ACH-000160,-0.19971912680673234
ACH-000163,-0.1505051594665695
ACH-000167,-0.038399642398696296
ACH-000168,0.02405535496539131
ACH-000169,-0.08729901008048338
ACH-000178,-0.2203845629142104
ACH-000183,-0.07928727521029448
ACH-000188,-0.24797787571012214
ACH-000189,-0.2492048438744884
ACH-000190,-0.10991178321784134
ACH-000198,-0.160823066779328
ACH-000203,0.13845498006576512
ACH-000204,0.011463584576797508
ACH-000206,-0.1975478772386872
ACH-000207,0.04767419240704067
ACH-000208,0.1967140024178783
ACH-000210,-0.00879774723971798
ACH-000211,-0.1737411746881059
ACH-000215,-0.08996590034791345
ACH-000221,-0.5657077334287336
ACH-000222,0.20747004198375305
ACH-000223,-0.12813988661275036
ACH-000226,-0.10264179457920657
ACH-000227,-0.3567138841379771
ACH-000228,-0.1655679150570817
ACH-000231,-0.10966698423640678
ACH-000232,-0.18138321625558246
ACH-000233,-0.08352042894628613
ACH-000234,-0.17172960762156406
ACH-000235,-0.19259506241369054
ACH-000237,-0.08334188420699608
ACH-000238,-0.12893241873352618
ACH-000242,-0.14365897869713914
ACH-000243,-0.17474035411390376
ACH-000244,-0.14001330243476076
ACH-000246,-0.2034549361133983
ACH-000248,-0.2800800262614159
ACH-000250,-0.1657934393542737
ACH-000251,-0.3261549164935435
ACH-000252,0.019400452166481275
ACH-000253,-0.1004203393619856
ACH-000255,-0.2524837929287255
ACH-000256,-0.23541277446886025
ACH-000257,-0.23734598457678324
ACH-000258,-0.05515432422873304
ACH-000259,-0.16778034812657364
ACH-000260,-0.19414384319821565
ACH-000261,-0.07853111064542584
