,SRCIN1 (80725)
ACH-000004,-0.03742368499497896
ACH-000005,-0.2831403421493734
ACH-000007,0.08961889224411146
ACH-000009,-0.2298707837769752
ACH-000011,-0.11430092933254035
ACH-000012,-0.2654985758057826
ACH-000013,-0.15741657965903808
ACH-000014,-0.16144600134641746
ACH-000015,-0.10587303538515447
ACH-000017,-0.13094125826242614
ACH-000018,-0.02691239166413395
ACH-000019,-0.2618711459415716
ACH-000021,0.03950792516543763
ACH-000022,-0.08470752995432779
ACH-000025,-0.1543677765335668
ACH-000028,-0.09903624489792427
ACH-000030,-0.260307980756061
ACH-000035,-0.2545045071187094
ACH-000036,0.028718755982195806
ACH-000037,0.0664103387621641
ACH-000039,-0.059933315869214535
ACH-000040,-0.09005346935786288
ACH-000041,-0.2809029887393599
ACH-000042,0.027151167236910956
ACH-000045,-0.12145537786356332
ACH-000047,0.06994111790006984
ACH-000052,0.18288132362388226
ACH-000053,-0.1480587481553127
ACH-000054,-0.07821005144548587
ACH-000055,-0.11959193998677865
ACH-000060,-0.12801265760891606
ACH-000067,-0.14427145368869632
ACH-000070,-0.04398550582194264
ACH-000075,-0.18438461418930424
ACH-000078,0.059943712574285185
ACH-000082,-0.1273318849895136
ACH-000085,-0.009506259708356236
ACH-000086,-0.29006143584123073
ACH-000087,-0.12742897210161436
ACH-000092,-0.11959248459552167
ACH-000095,-0.11937138844528665
ACH-000097,-0.13111918666850794
ACH-000098,-0.21110458346305133
ACH-000099,-0.029839812686166093
ACH-000108,-0.13761031760810924
ACH-000113,-0.0913525335438822
ACH-000116,-0.11342495315955647
ACH-000118,-0.10042151976041784
ACH-000120,-0.09222051706122844
ACH-000123,-0.17964140819525512
ACH-000127,-0.17192261413937754
ACH-000128,-0.15374034585019172
ACH-000132,-0.1794469199688915
ACH-000133,-0.011957509203249716
ACH-000137,-0.015643893896778612
ACH-000138,-0.17968448589239533
ACH-000142,-0.2847618739500973
ACH-000143,-0.1268633635288907
ACH-000146,-0.12749079438822486
ACH-000148,-0.11767993933226968
ACH-000150,-0.04019516429361685
ACH-000152,-0.033337832033962865
ACH-000153,-0.03556993653001117
ACH-000159,-0.04209173811905589
ACH-000160,-0.2704574784897916
ACH-000163,-0.07427653979002803
ACH-000167,-0.24501408478114586
ACH-000168,-0.03927281922083768
ACH-000169,0.08444213083991071
ACH-000178,-0.07547514892114726
ACH-000183,0.03117236641097844
ACH-000188,-0.2752948230890072
ACH-000189,-0.15404718606008258
ACH-000190,0.10383718507636706
ACH-000198,-0.10842691948809828
ACH-000203,0.4019964448733064
ACH-000204,-0.2293235184736004
ACH-000206,-0.13290455031975365
ACH-000207,-0.13655941051102566
ACH-000208,-0.3190173156600854
ACH-000210,-0.19647345878940636
ACH-000211,-0.11957543873931405
ACH-000215,-0.10349310205485036
ACH-000221,-0.09047685423201828
ACH-000222,-0.15611745868881258
ACH-000223,-0.14696110795223044
ACH-000226,-0.12946377083118646
ACH-000227,-0.0919578322762262
ACH-000228,-0.13111168772707524
ACH-000231,-0.1990087075726363
ACH-000232,0.023610014284352512
ACH-000233,-0.15749876196075702
ACH-000234,-0.03689299133774029
ACH-000235,-0.10124686305658827
ACH-000237,-0.10765462369131022
ACH-000238,-0.3896773891104709
ACH-000242,-0.2109364552362534
ACH-000243,-0.21829072402072774
ACH-000244,-0.3874430081182717
ACH-000246,-0.02007497305631833
ACH-000248,-0.14223233096938184
ACH-000250,-0.1020633198434478
ACH-000251,-0.17472294554510034
ACH-000252,0.016538296268975863
ACH-000253,-0.16621646064039006
ACH-000255,-0.2268727561619913
ACH-000256,-0.05112208136395573
ACH-000257,-0.06504329142703953
ACH-000258,-0.028332789871743095
ACH-000259,-0.037424279506563865
ACH-000260,-0.0788278122261581
