,TM2D1 (83941)
ACH-000004,-0.05071628752828752
ACH-000005,0.2116611904181561
ACH-000007,-0.4068417395829334
ACH-000009,-0.2476141117240425
ACH-000011,0.06798720966763395
ACH-000012,-0.14291227918731306
ACH-000013,-0.34228421268200576
ACH-000014,-0.4765984708264927
ACH-000015,-0.2379516124932008
ACH-000017,-0.3365251525675564
ACH-000018,-0.2272932602072248
ACH-000019,-0.3249701775107415
ACH-000021,-0.09148851666688776
ACH-000022,-0.1599087811189447
ACH-000025,-0.2936505189889954
ACH-000028,-0.2486457961228888
ACH-000030,-0.20875594695341834
ACH-000035,-0.2846063559661472
ACH-000036,-0.33160901550623084
ACH-000037,-0.14962813523912513
ACH-000039,-0.15848834253200828
ACH-000040,-0.4114797579297867
ACH-000041,-0.236743280346092
ACH-000042,-0.5669521985210284
ACH-000045,-0.3032145542738476
ACH-000047,-0.17261713336227327
ACH-000052,-0.1645854853706194
ACH-000053,-0.08676484258485434
ACH-000054,-0.30561547152834456
ACH-000055,-0.24424295909565105
ACH-000060,-0.6550186936701312
ACH-000067,-0.5864936499719751
ACH-000070,-0.3305850407159286
ACH-000075,-0.4397848510374037
ACH-000078,-0.16527778544960695
ACH-000082,-0.12345224747419915
ACH-000085,-0.07098497504845422
ACH-000086,-0.14879993819975115
ACH-000087,-0.005932933543379117
ACH-000092,-0.1322690366297322
ACH-000095,-0.2511079790386314
ACH-000097,-0.14914911051913665
ACH-000098,-0.29610331787446004
ACH-000099,-0.11876130222721552
ACH-000108,-0.3834523332656604
ACH-000113,-0.17603436165348446
ACH-000116,-0.35439336199131954
ACH-000118,-0.20669762725950014
ACH-000120,-0.4600905059759976
ACH-000123,-0.058490645010467
ACH-000127,-0.2552730814761529
ACH-000128,-0.17051735426379838
ACH-000132,-0.2521705108757739
ACH-000133,-0.3357228798221398
ACH-000137,-0.433307996889922
ACH-000138,-0.27090037134951034
ACH-000142,-0.3446573309122385
ACH-000143,-0.5044040964466171
ACH-000146,-0.24063150842550546
ACH-000148,-0.30725857845728805
ACH-000150,-0.2704276279229234
ACH-000152,-0.4945417090091288
ACH-000153,-0.14949322479731728
ACH-000159,-0.4171906610836605
ACH-000160,-0.300542729015131
ACH-000163,-0.2549326089743162
ACH-000167,0.14221352013554986
ACH-000168,-0.3673866658706417
ACH-000169,-0.09115513272493632
ACH-000178,-0.25412587022537536
ACH-000183,0.0009998284342129773
ACH-000188,-0.2465020751822747
ACH-000189,-0.19955196196360794
ACH-000190,-0.0644531126974836
ACH-000198,-0.6150693951638017
ACH-000203,-0.4503961472088661
ACH-000204,0.07808738168422831
ACH-000206,-0.27461286547144875
ACH-000207,-0.3313169563051648
ACH-000208,-0.16450579427768458
ACH-000210,-0.13848377135964512
ACH-000211,-0.26052677497208643
ACH-000215,-0.2394390951436203
ACH-000221,-0.26711285450890865
ACH-000222,-0.30362290540388964
ACH-000223,-0.3336068820056545
ACH-000226,-0.1707013055195614
ACH-000227,-0.2009446517349593
ACH-000228,-0.4213669799110015
ACH-000231,-0.2717384343310955
ACH-000232,-0.2947495281889571
ACH-000233,-0.1248099681929694
ACH-000234,-0.008026002016091771
ACH-000235,-0.4655242543624041
ACH-000237,-0.2749019019616473
ACH-000238,-0.17414693480474652
ACH-000242,-0.5625774004824047
ACH-000243,-0.4217198876603449
ACH-000244,-0.22986890655916656
ACH-000246,-0.1817584681497592
ACH-000248,-0.1825947354817068
ACH-000250,-0.13615426319557594
ACH-000251,-0.24393839866350456
ACH-000252,-0.2913358627437517
ACH-000253,-0.06489863486636821
ACH-000255,-0.3047103064741973
ACH-000256,-0.15052256205431352
ACH-000257,-0.061513213950114935
ACH-000258,-0.13923898358467068
ACH-000259,-0.02048018961965317
ACH-000260,-0.11299155300086562
ACH-000261,-0.3007310916046666
ACH-000262,-0.4320776354454467
ACH-000263,-0.10560511529636858
ACH-000264,-0.2802999097788577
ACH-000265,-0.2555672098618658
ACH-000266,-0.2341882272537295
ACH-000272,-0.2896693220024446
ACH-000274,-0.2746617730255978
ACH-000277,-0.11265836204431755
ACH-000278,-0.3108262257936864
ACH-000279,-0.2251974827442237
ACH-000280,-0.418482650649644
ACH-000281,-0.10888918683170863
ACH-000288,-0.24700077322747235
ACH-000291,-0.009073567372444262
ACH-000293,-0.2706148530551795
ACH-000294,-0.22256736079336814
ACH-000295,-0.1737792913741278
ACH-000296,-0.2147995354364627
ACH-000302,-0.3641327119394944
ACH-000304,-0.3875134411288028
ACH-000307,-0.4609573249175324
ACH-000308,-0.22302714155350198
ACH-000310,-0.18478392403557226
ACH-000311,-0.3360524069451024
ACH-000312,-0.2913844301407888
ACH-000315,-0.3341870513071152
ACH-000316,-0.15493905626094254
ACH-000317,-0.18234291149325452
ACH-000318,-0.3816522659381317
ACH-000319,-0.30148241610125576
ACH-000320,-0.41914315950003295
ACH-000322,-0.24893045191107854
ACH-000323,-0.40609253024587744
ACH-000324,-0.07980271818940286
ACH-000329,-0.17607314705676974
ACH-000330,-0.2690208205056461
ACH-000331,-0.4003748379802218
ACH-000332,-0.2933797343655897
ACH-000334,-0.1820918766412916
ACH-000335,-0.11024947615042993
ACH-000336,-0.4061820344823005
ACH-000337,-0.25505718869077804
ACH-000338,-0.3511401921999234
ACH-000339,-0.11620432098202292
ACH-000341,-0.31147339488280296
ACH-000348,-0.2324419709978237
ACH-000350,-0.13676748749490206
ACH-000352,-0.3470115560249592
ACH-000356,-0.3588704011749643
ACH-000361,-0.348212813018808
ACH-000362,-0.16128324278788828
ACH-000363,-0.07792606718422458
ACH-000364,-0.411979113594162
ACH-000365,-0.24752846341583265
ACH-000366,-0.18947492454948456
ACH-000368,-0.2887312711679069
ACH-000374,-0.35180888280552663
ACH-000375,-0.27829006540578355
ACH-000376,-0.3465484587240918
ACH-000381,-0.268388285666444
ACH-000383,-0.26017646343806183
ACH-000387,-0.11148440765642087
ACH-000389,-0.14537350526011608
ACH-000390,-0.3272374389514671
ACH-000393,-0.2095969534642712
ACH-000395,-0.2542419295933437
ACH-000396,-0.3169152688458778
ACH-000397,-0.1876365604266583
ACH-000401,0.01689003777704168
ACH-000402,-0.224565719013568
ACH-000403,-0.4209261852904442
ACH-000404,-0.32447916749024025
ACH-000406,-0.19405955032270486
ACH-000407,-0.34141674660807625
ACH-000408,-0.3960596474382603
ACH-000410,-0.1609242134370738
ACH-000411,-0.25882578757897284
ACH-000414,-0.11826899985064887
ACH-000415,-0.16102876489472887
ACH-000416,-0.16604633589239104
ACH-000420,-0.16576991580706366
ACH-000421,-0.5042061099439126
ACH-000424,-0.3576275995482741
ACH-000425,-0.17622430644480008
ACH-000426,0.01161719258314999
ACH-000427,-0.35155005062924805
ACH-000433,-0.22292596174781146
ACH-000435,-0.08836067050693276
ACH-000436,-0.1528569706577253
ACH-000444,-0.30349649045585714
ACH-000445,-0.4632629588772926
ACH-000448,0.0014870696238541415
ACH-000450,0.017480502808860033
ACH-000452,-0.2460236021930355
ACH-000454,-0.0867860990998516
ACH-000458,-0.4374850318973701
ACH-000459,-0.07407409053766134
ACH-000460,-0.3392914863408461
ACH-000461,-0.3984735558074237
ACH-000463,-0.10466608240536376
ACH-000464,-0.20678596139227226
ACH-000466,-0.6639468300942543
ACH-000467,-0.1813327352334495
ACH-000468,-0.03849898967430833
ACH-000469,-0.5641354891224286
ACH-000470,-0.2812812088421648
ACH-000471,-0.3895402963618126
ACH-000472,-0.2174193293016546
ACH-000473,-0.4353808263083005
ACH-000475,-0.20703527327583826
ACH-000476,-0.2757987178097173
ACH-000477,-0.2328663168192334
ACH-000479,-0.3532321242094554
ACH-000480,-0.18088269389116
ACH-000481,-0.18886215139269288
ACH-000483,-0.4906231768045599
ACH-000484,-0.015313014420045953
ACH-000485,-0.320527513964504
ACH-000486,-0.2662928760900281
ACH-000487,-0.3586106198797867
ACH-000488,-0.19232165790133773
ACH-000490,-0.15535249128389322
ACH-000491,-0.33904563881251143
ACH-000495,-0.3021830804937215
ACH-000496,-0.3396412336185519
ACH-000499,-0.181926695614068
ACH-000500,0.42383194787451056
