,NIT1 (4817)
ACH-000004,-0.07475358270605909
ACH-000005,-0.0017522281703421922
ACH-000007,-0.11061857857459956
ACH-000009,-0.3225364649509033
ACH-000011,-0.1906961685361404
ACH-000012,-0.14557850545499154
ACH-000013,-0.07974109649062336
ACH-000014,-0.1972113444887795
ACH-000015,-0.24109299310998225
ACH-000017,0.03735025586978887
ACH-000018,-0.2482693937212679
ACH-000019,-0.17688533433696774
ACH-000021,-0.16948791523871107
ACH-000022,-0.06501705648691629
ACH-000025,-0.11591168566208725
ACH-000028,-0.22440893926206726
ACH-000030,-0.10700741220861468
ACH-000035,-0.1119707381556882
ACH-000036,0.04011073704749829
ACH-000037,-0.23025327636603604
ACH-000039,-0.17663853549130393
ACH-000040,-0.1308982726272758
ACH-000041,-0.32507699984915384
ACH-000042,-0.003502875295024115
ACH-000045,-0.13143466088229294
ACH-000047,-0.059475741163035487
ACH-000052,-0.26476340495646045
ACH-000053,-0.16089457001409804
ACH-000054,-0.19175268358256065
ACH-000055,-0.09928358230333928
ACH-000060,-0.12448638028724025
ACH-000067,-0.10043668976879278
ACH-000070,-0.29953493571193074
ACH-000075,-0.03977952796366156
ACH-000078,-0.09757453349183964
ACH-000082,-0.18017445482644415
ACH-000085,-0.033390544257193136
ACH-000086,-0.2301540959631645
ACH-000087,-0.07091661828350634
ACH-000092,-0.1418294389017748
ACH-000095,-0.20382664033083184
ACH-000097,-0.06732595559854386
ACH-000098,0.004657258634864532
ACH-000099,-0.1981386994971192
ACH-000108,-0.08105117770959781
ACH-000113,-0.15315405123335282
ACH-000116,-0.14793757242278888
ACH-000118,-0.09850783551691457
ACH-000120,-0.11659139225847608
ACH-000123,-0.12732422895007434
ACH-000127,-0.17263928892757466
ACH-000128,-0.00557846481194652
ACH-000132,-0.2254145816179831
ACH-000133,-0.2469027958503775
ACH-000137,-0.04924569383280674
ACH-000138,-0.07491990823661844
ACH-000142,-0.08476281829610734
ACH-000143,0.059194218031950824
ACH-000146,-0.15599660770596768
ACH-000148,-0.1738804475369922
ACH-000150,-0.03272952035777092
ACH-000152,-0.10497033669702176
ACH-000153,-0.4254527724959842
ACH-000159,-0.22945200767483045
ACH-000160,-0.022785347640234162
ACH-000163,-0.220399570986588
ACH-000167,-0.4665728894340668
ACH-000168,-0.2076066706595483
ACH-000169,-0.18219830906954887
ACH-000178,-0.0952997359149729
ACH-000183,-0.21860345629718225
ACH-000188,-0.08240148362621183
ACH-000189,-0.2107030899508852
ACH-000190,0.24314798472721294
ACH-000198,-0.19561422172508947
ACH-000203,0.117013773372067
ACH-000204,-0.3414923949117294
ACH-000206,-0.27384167794309244
ACH-000207,0.05826469234028137
ACH-000208,-0.2714056927903908
ACH-000210,0.1444506776534596
ACH-000211,-0.13171378952592486
ACH-000215,-0.12209506990401307
ACH-000221,-0.11444319965810774
ACH-000222,-0.135284236726186
ACH-000223,-0.09408982252067218
ACH-000226,-0.13834281365915035
ACH-000227,-0.3021255399663058
ACH-000228,-0.08409047617723503
ACH-000231,-0.2020535956534552
ACH-000232,-0.06834085228057732
ACH-000233,-0.18040446063164264
ACH-000234,-0.2183592056692166
ACH-000235,-0.11913837679476973
ACH-000237,-0.09042105801928517
ACH-000238,-0.16703957576631856
ACH-000242,-0.247664663390556
ACH-000243,-0.054748400173368884
ACH-000244,-0.17781587901070003
ACH-000246,-0.030121654279386536
ACH-000248,-0.06210646930464856
ACH-000250,-0.08562090958538801
ACH-000251,-0.08182564659389711
ACH-000252,0.02143980164543079
ACH-000253,-0.22370066246072728
ACH-000255,-0.1620857467085394
ACH-000256,-0.008665048629075502
ACH-000257,0.057412074961816564
ACH-000258,-0.3349363608600743
ACH-000259,-0.0807420385788625
ACH-000260,-0.1289410459450533
ACH-000261,-0.15523122661899916
ACH-000262,0.048138828595137566
ACH-000263,0.0021392756572592548
ACH-000264,-0.2131060606495646
ACH-000265,-0.04303897003634509
ACH-000266,-0.09805489595756436
ACH-000272,-0.2011513732556889
ACH-000274,-0.16039868716163969
ACH-000277,-0.11775230494215012
ACH-000278,-0.08223696606447489
ACH-000279,-0.09910055375519784
ACH-000280,-0.1881830543425216
ACH-000281,-0.1483399158014914
ACH-000288,-0.13079639360980624
ACH-000291,-0.10552551890439203
ACH-000293,-0.28112431155284623
ACH-000294,-0.03695946304505545
ACH-000295,-0.06254277690289771
ACH-000296,-0.11773228480915585
ACH-000302,-0.06137347255511062
ACH-000304,0.10745343348351988
ACH-000307,-0.07884088718592487
ACH-000308,-0.1948425762552561
ACH-000310,-0.15930372773118207
ACH-000311,-0.2343497741424723
ACH-000312,-0.026483240855279425
ACH-000315,0.11635731004787032
ACH-000316,-0.11132263521193088
ACH-000317,-0.20148256039603296
ACH-000318,-0.32489694830445986
ACH-000319,-0.10984479204977426
ACH-000320,-0.12428074946635885
ACH-000322,-0.06652048264431243
ACH-000323,0.015650519834759638
ACH-000324,-0.13669045750384978
ACH-000329,-0.22623398364717845
ACH-000330,0.0676898690736619
ACH-000331,-0.2730811432990889
ACH-000332,-0.14325177813179746
ACH-000334,-0.23830073932950865
ACH-000335,-0.3664781198942693
ACH-000336,-0.28578260893821417
ACH-000337,-0.20313390212217425
ACH-000338,-0.16321124344786614
ACH-000339,-0.16421729726453013
ACH-000341,-0.16694902719091292
ACH-000348,-0.17673526724422853
ACH-000350,-0.15034200517138396
ACH-000352,-0.11639519945252835
ACH-000356,-0.07961079563721381
ACH-000361,0.004746236379563517
ACH-000362,-0.12974689914920956
ACH-000363,-0.13996534554120546
ACH-000364,-0.1419385243496475
ACH-000365,-0.15596968295576866
ACH-000366,-0.19795182628337213
ACH-000368,-0.1473682618925189
ACH-000374,-0.058855121182300275
ACH-000375,0.10146063281036813
ACH-000376,-0.15192876079708473
ACH-000381,-0.07325662829280156
ACH-000383,-0.18163125953268025
ACH-000387,-0.3112652900835167
ACH-000389,-0.0425036327294301
ACH-000390,-0.22567564977892676
ACH-000393,-0.27105461349410764
ACH-000395,-0.11595455882250265
ACH-000396,-0.31996391072713776
ACH-000397,-0.14654204879422805
ACH-000401,-0.2541789155154801
ACH-000402,-0.3275227130919993
ACH-000403,-0.2256888662437456
ACH-000404,0.04325357231783779
ACH-000406,-0.17511147804515995
ACH-000407,-0.0328622326617284
ACH-000408,-0.04168039068188762
ACH-000410,-0.26291078321209715
ACH-000411,-0.2491524933632193
ACH-000414,0.02417713300529801
ACH-000415,-0.2034463643749234
ACH-000416,-0.22360646248448432
ACH-000420,-0.052815364342998425
ACH-000421,-0.10383745274913267
ACH-000424,-0.3114246956189539
ACH-000425,-0.047345900990172635
ACH-000426,-0.3076086168999161
ACH-000427,-0.3313730064648622
ACH-000433,-0.11143917371313007
ACH-000435,-0.3683757491930232
ACH-000436,-0.1172089840652756
ACH-000444,-0.2077741854737072
ACH-000445,-0.027216467283367362
ACH-000448,-0.03523873245932365
ACH-000450,-0.0232196693482949
ACH-000452,-0.15644331532017208
ACH-000454,0.06528645963912114
ACH-000458,-0.24661012069078475
ACH-000459,-0.17165003578753216
ACH-000460,-0.0247722471183713
ACH-000461,-0.052604746293067606
ACH-000463,-0.21381388389128936
ACH-000464,-0.09455220400805478
ACH-000466,-0.08591501584362933
ACH-000467,-0.12228265071035987
ACH-000468,-0.08546899416603132
ACH-000469,-0.1661838659238879
ACH-000470,-0.13570791676893496
ACH-000471,-0.19501929015015051
ACH-000472,-0.1046922863083408
ACH-000473,-0.1706186321507632
ACH-000475,-0.08468823512317983
ACH-000476,-0.13010740004408708
ACH-000477,-0.09973368999906372
ACH-000479,0.16267679343846594
ACH-000480,-0.1578843544360219
ACH-000481,-0.16389787386517404
ACH-000483,-0.1940523396360516
ACH-000484,-0.28413615828681243
ACH-000485,-0.09806649510455928
ACH-000486,-0.1847601978416956
ACH-000487,-0.16547647003902047
ACH-000488,-0.11855005262367373
