,RNH1 (6050)
ACH-000004,0.1082227396208872
ACH-000005,-0.2312587572606043
ACH-000007,-0.2540766859061989
ACH-000009,-0.21946895326132168
ACH-000011,0.0007134991735080348
ACH-000012,-0.31781147607314625
ACH-000013,-0.26799060583870515
ACH-000014,-0.046340657410534704
ACH-000015,-0.1998216839377381
ACH-000017,-0.09754706245106448
ACH-000018,-0.04858758645549405
ACH-000019,-0.09811613768130777
ACH-000021,-0.1335586455505125
ACH-000022,-0.1410922262641968
ACH-000025,-0.25101391966358355
ACH-000028,-0.3091962687322345
ACH-000030,-0.2890324266285488
ACH-000035,-0.5410905398015308
ACH-000036,-0.2473489749059209
ACH-000037,-0.4676023707156917
ACH-000039,-0.10751068295380586
ACH-000040,-0.14721708433056427
ACH-000041,-0.019877999084819298
ACH-000042,-0.16484489056372867
ACH-000045,-0.25625441550739136
ACH-000047,-0.2156838452337856
ACH-000052,-0.2510268127830227
ACH-000053,0.006466355214709791
ACH-000054,-0.00865279524101342
ACH-000055,-0.4402438177609174
ACH-000060,-0.03863704956446522
ACH-000067,-0.23945284916494625
ACH-000070,0.031754951778137315
ACH-000075,0.1101411078827672
ACH-000078,-0.40820658625729656
ACH-000082,-0.28284766108709314
ACH-000085,-0.3414609268308002
ACH-000086,-0.3208238371205395
ACH-000087,-0.14532041562905013
ACH-000092,0.010735656985753309
ACH-000095,-0.03562351469886404
ACH-000097,-0.13748966886649533
ACH-000098,-0.2882425796612387
ACH-000099,-0.2399903050963866
ACH-000108,-0.17786194612600545
ACH-000113,-0.15188390819281486
ACH-000116,-0.172186980091194
ACH-000118,-0.29875420712844153
ACH-000120,-0.4319027223779997
ACH-000123,-0.4172704474096042
ACH-000127,-0.05548915648514785
ACH-000128,-0.09032433841579757
ACH-000132,-0.01391864903721431
ACH-000133,-0.2339116688104075
ACH-000137,-0.055034622583290435
ACH-000138,-0.1163856967215218
ACH-000142,-0.32845913714434605
ACH-000143,-0.16185099152462
ACH-000146,-0.3322342770314469
ACH-000148,-0.2835835744849989
ACH-000150,-0.4057266669803162
ACH-000152,-0.3335617337323794
ACH-000153,-0.05946343844494385
ACH-000159,-0.0712934152195511
ACH-000160,-0.14891182400172148
ACH-000163,-0.10924470913561443
ACH-000167,-0.2388682741677643
ACH-000168,-0.20849870264016265
ACH-000169,-0.3455998828557221
ACH-000178,-0.15715291418070162
ACH-000183,0.027077141916594626
ACH-000188,-0.5554115291966607
ACH-000189,-0.07522201218893257
ACH-000190,-0.1845035496856801
ACH-000198,-0.07237244618153194
ACH-000203,-0.2537168181868789
ACH-000204,-0.057704630126348126
ACH-000206,-0.2834614751135143
ACH-000207,-0.2317257693108509
ACH-000208,-0.17313424745333342
ACH-000210,-0.13111196484531154
ACH-000211,-0.3467039041184695
ACH-000215,-0.1293753163511476
ACH-000221,-0.2406832889254533
