,GZMH (2999)
ACH-000004,-0.12002352766301096
ACH-000005,-0.2282215645687552
ACH-000007,-0.1265082175611565
ACH-000009,-0.13284283168264116
ACH-000011,-0.3925164841663403
ACH-000012,-0.2345038507668676
ACH-000013,-0.1806448748961052
ACH-000014,-0.1214707844281882
ACH-000015,-0.05220698289794349
ACH-000017,-0.36096399482163705
ACH-000018,-0.07749063861150983
ACH-000019,-0.31576080446470217
ACH-000021,-0.21091757353207866
ACH-000022,-0.1365302828095224
ACH-000025,-0.13996412918171494
ACH-000028,-0.2895145012812421
ACH-000030,-0.19190949784989267
ACH-000035,-0.2111758695797463
ACH-000036,-0.21434241624647304
ACH-000037,-0.29327008523000764
ACH-000039,-0.3180596225798003
ACH-000040,-0.2381786983428304
ACH-000041,-0.2600977549146568
ACH-000042,-0.22672001464875255
ACH-000045,-0.3739548025720205
ACH-000047,-0.2450538691430441
ACH-000052,-0.3312952618203556
ACH-000053,-0.23919424000399614
ACH-000054,-0.22694524075394645
ACH-000055,-0.11822801518997092
ACH-000060,-0.4597144164223042
ACH-000067,-0.2177616081114663
ACH-000070,-0.1756333800751567
ACH-000075,-0.2711656684627788
ACH-000078,-0.2506791980026145
ACH-000082,-0.341378042968885
ACH-000085,-0.31081208913311426
ACH-000086,-0.2616096504904146
ACH-000087,-0.28244744774237385
ACH-000092,-0.29256788197072764
ACH-000095,-0.3349549056279807
ACH-000097,-0.24215016248776014
ACH-000098,-0.12576457705720018
ACH-000099,-0.18865925840459852
ACH-000108,-0.17114455628066616
ACH-000113,-0.1893275861890676
ACH-000116,-0.29140687012653194
ACH-000118,-0.3283527224863405
ACH-000120,-0.22815591989324044
ACH-000123,-0.3397978431485786
ACH-000127,-0.18056514405601468
ACH-000128,-0.21319155316433167
ACH-000132,-0.1113443091837208
ACH-000133,-0.2766051091567482
ACH-000137,-0.3358438276907905
ACH-000138,-0.1812634074954486
ACH-000142,-0.2247616460609477
ACH-000143,-0.3330684700606309
ACH-000146,-0.2487831682425443
ACH-000148,-0.26035885660699043
ACH-000150,-0.01795294718808603
ACH-000152,-0.3546118010152614
ACH-000153,-0.4778639995996976
ACH-000159,-0.20228069470545829
ACH-000160,-0.3621514918596143
ACH-000163,-0.14704803394736338
ACH-000167,0.17689614064404108
ACH-000168,-0.0782025905160463
ACH-000169,-0.21134378225695785
ACH-000178,-0.2273984773314623
ACH-000183,-0.14248669520488638
ACH-000188,-0.3049445676336206
ACH-000189,-0.016103989233128252
ACH-000190,-0.15780602106606162
ACH-000198,-0.32873794388160005
ACH-000203,-0.28022197201515875
ACH-000204,-0.24098146595736256
ACH-000206,-0.20053380290488276
ACH-000207,-0.3977205078589555
ACH-000208,-0.22361867286465745
ACH-000210,-0.3642919704212616
ACH-000211,-0.23410443262307054
ACH-000215,-0.27904229044612794
ACH-000221,-0.108376294296584
ACH-000222,-0.3208303067049412
ACH-000223,-0.18770299075372468
ACH-000226,-0.08963070252966061
ACH-000227,-0.14633469720475134
ACH-000228,-0.27700368720726154
ACH-000231,-0.3672696746060977
ACH-000232,-0.2047883306847858
ACH-000233,-0.251228531803494
ACH-000234,-0.08327639706165571
ACH-000235,-0.2541400965676352
ACH-000237,-0.12242972665002695
ACH-000238,-0.2360736102193076
ACH-000242,-0.2940701611865129
ACH-000243,-0.27099282428852045
ACH-000244,-0.13062071313958756
ACH-000246,-0.3015987943468039
ACH-000248,-0.31741104161355743
ACH-000250,-0.18463126607825944
ACH-000251,-0.09145911078832383
ACH-000252,-0.21001767631876886
ACH-000253,-0.16208464062121244
ACH-000255,-0.16483750869515015
ACH-000256,-0.22655595467742334
ACH-000257,-0.6162011486809266
ACH-000258,-0.04402853510030386
ACH-000259,-0.3246539393668541
ACH-000260,-0.2336386316586751
ACH-000261,-0.024140699510738883
ACH-000262,-0.15475716289224095
ACH-000263,-0.22202114397804013
ACH-000264,-0.3098519981810148
ACH-000265,-0.22626071002162804
ACH-000266,-0.3076340235223963
ACH-000272,-0.2766843419817454
ACH-000274,-0.18511059095396726
ACH-000277,-0.20162561582685956
ACH-000278,-0.39448117184805
ACH-000279,-0.15069676239713345
ACH-000280,-0.23659579898238026
ACH-000281,-0.16178153313984672
ACH-000288,-0.26245332530117826
ACH-000291,-0.14330802352727648
ACH-000293,-0.2973948413582735
ACH-000294,-0.37564624864363866
ACH-000295,-0.055056458945449034
ACH-000296,-0.14259581932896273
ACH-000302,-0.19656289031605612
ACH-000304,-0.4998790739247054
ACH-000307,-0.3368811171600241
ACH-000308,-0.22962571218257985
ACH-000310,-0.25428118234167274
ACH-000311,-0.33641305788226306
ACH-000312,-0.3117543646164013
ACH-000315,-0.4950040008219007
ACH-000316,-0.28563902097664984
ACH-000317,-0.24343794412599615
ACH-000318,-0.3512868457291873
ACH-000319,-0.07501518390337059
ACH-000320,-0.3829492386073111
ACH-000322,-0.038716913601083015
ACH-000323,-0.2924658213338692
ACH-000324,-0.29946972985519343
ACH-000329,-0.2122728295782717
ACH-000330,-0.2820421782725104
ACH-000331,-0.2880770752078063
ACH-000332,-0.3449492264672175
ACH-000334,-0.3536198221834053
ACH-000335,-0.28981284594200746
ACH-000336,-0.04806329701603458
ACH-000337,-0.3220601725778853
ACH-000338,-0.6262837461188843
ACH-000339,-0.2799143136559883
ACH-000341,-0.2646275804387835
ACH-000348,-0.2392383851613963
ACH-000350,-0.27782192304114384
ACH-000352,-0.34513224885413163
ACH-000356,-0.2283131388228018
ACH-000361,-0.306360288845934
ACH-000362,-0.3065974296620701
ACH-000363,-0.257232184026501
ACH-000364,-0.3883176681401375
ACH-000365,-0.2810921294663232
ACH-000366,-0.35274401265073513
ACH-000368,-0.22282847449992413
ACH-000374,-0.15726698906252806
ACH-000375,-0.3912719432317354
ACH-000376,-0.30802632513212513
ACH-000381,-0.3082033002713441
ACH-000383,-0.2752004704265565
ACH-000387,-0.34352168293946195
ACH-000389,-0.08557290126590818
ACH-000390,-0.13496415858769956
ACH-000393,-0.2955469124733467
ACH-000395,-0.4318678102884441
ACH-000396,-0.4385278683095991
ACH-000397,-0.16256930516391144
ACH-000401,-0.322620436674453
ACH-000402,-0.4653555930603183
ACH-000403,-0.15020771463332175
ACH-000404,-0.28115913449308266
ACH-000406,-0.3152583176686705
ACH-000407,-0.13029662059722488
ACH-000408,-0.1590960921460207
ACH-000410,-0.1614517160429436
ACH-000411,-0.4159119287277674
ACH-000414,-0.27274588285912743
ACH-000415,-0.2329273036807631
ACH-000416,-0.1772926659603652
ACH-000420,-0.2507274074493266
ACH-000421,-0.22371773059158898
ACH-000424,-0.22789372884720654
ACH-000425,-0.2890854662062093
ACH-000426,-0.25641018503964874
ACH-000427,-0.3195329001944439
ACH-000433,-0.17355278267453772
ACH-000435,-0.26441991115799623
ACH-000436,-0.20246556971580326
ACH-000444,-0.2517170705455077
ACH-000445,-0.3229532726445529
ACH-000448,-0.19544422777010595
ACH-000450,-0.15587259325009706
ACH-000452,-0.201368623998734
ACH-000454,-0.4588589507768518
ACH-000458,-0.30210055295976096
ACH-000459,-0.2878977556395277
ACH-000460,-0.24826621832430776
ACH-000461,-0.15710106224016715
ACH-000463,-0.4038507513695837
ACH-000464,-0.18894177356721187
ACH-000466,-0.3854814166706564
ACH-000467,-0.21005877950386084
ACH-000468,-0.1737983361558618
ACH-000469,-0.2711032187948927
ACH-000470,0.0013710821008892904
ACH-000471,-0.2885851628267277
ACH-000472,-0.17028374488483453
ACH-000473,-0.2659202137282835
ACH-000475,-0.20121867014919173
ACH-000476,-0.1426244587726518
ACH-000477,-0.3662305856560204
ACH-000479,-0.07198686021524017
ACH-000480,-0.34787959005789165
ACH-000481,-0.20882296179061
ACH-000483,-0.3197218494780993
ACH-000484,-0.2554897703537493
ACH-000485,-0.3540839129076187
ACH-000486,-0.328285007786788
ACH-000487,-0.02921845349672092
ACH-000488,-0.2748136596196852
ACH-000490,-0.2621690423954609
ACH-000491,-0.2573289861011249
ACH-000495,-0.36635454995446975
ACH-000496,-0.2735206172042616
ACH-000499,-0.3426416808893781
ACH-000500,-0.35965304317345703
ACH-000502,-0.29579368348003804
ACH-000503,-0.22001414966949615
ACH-000505,-0.2438579982496981
ACH-000507,-0.2433955630470155
ACH-000510,-0.15862416039677002
ACH-000511,-0.26280619501111857
ACH-000512,-0.5286973215974966
ACH-000516,-0.33615354219484817
ACH-000517,-0.2434517593626987
ACH-000518,-0.11660153382264585
ACH-000520,-0.462144827731264
ACH-000521,-0.298266769155522
ACH-000522,-0.2978912016581799
ACH-000524,-0.33890077044317835
ACH-000527,-0.2262811155058823
ACH-000528,-0.3310834219047994
ACH-000537,-0.2506511626709472
ACH-000541,-0.3443341201887289
ACH-000542,-0.3289475366980024
ACH-000544,-0.2647249352011289
ACH-000545,-0.21553531297402512
ACH-000547,-0.026275586516721662
ACH-000548,-0.1904749448489744
ACH-000549,-0.1050974960400377
ACH-000550,-0.2236124797861796
ACH-000552,-0.18452055560524552
ACH-000556,-0.2546793657454845
ACH-000557,-0.16195615346805084
ACH-000569,-0.2493838413555586
ACH-000570,-0.3704504414271607
ACH-000571,-0.26602513906063885
ACH-000573,-0.2355289916359173
ACH-000576,-0.38153778831569
ACH-000579,-0.30212315064311857
ACH-000580,-0.4395554401895588
ACH-000584,-0.3777419225718052
ACH-000585,-0.267223158430351
ACH-000588,-0.23527240193644205
ACH-000589,-0.09767770506622092
ACH-000591,-0.20088519866204813
ACH-000593,-0.17315183424994365
ACH-000600,-0.3728002235333524
ACH-000601,-0.2789297812143974
ACH-000605,-0.24549555930069655
ACH-000606,-0.3161792847593069
ACH-000608,-0.1645660424203372
ACH-000614,-0.19543515572573614
ACH-000616,-0.23924550545881434
ACH-000618,-0.21664255349738915
ACH-000619,-0.3154517439809441
ACH-000620,-0.1871866995620491
ACH-000621,-0.2341129125970299
ACH-000622,-0.08491579303861264
ACH-000623,-0.3623372911676448
ACH-000624,-0.2115017077526864
ACH-000627,-0.19568806182616585
ACH-000630,-0.1688848405523586
ACH-000631,-0.1170632699494055
ACH-000632,-0.2311713985825981
ACH-000633,-0.3282666425793033
ACH-000637,-0.2918114523221345
ACH-000638,-0.28133741752157365
ACH-000646,-0.3124538415996341
ACH-000647,-0.18194636399085348
ACH-000648,-0.20631952155862832
ACH-000649,-0.19894217781107926
ACH-000651,-0.12708085911411854
ACH-000652,0.037916607391672685
ACH-000653,-0.395002501527523
ACH-000657,-0.31058944662801835
ACH-000658,-0.08990353652020076
ACH-000661,-0.3623705518946013
ACH-000662,-0.20372417220338954
ACH-000663,-0.1974559450255053
ACH-000665,-0.172740148737996
ACH-000671,-0.2323957387819509
ACH-000672,-0.2900858972076994
ACH-000673,-0.20794109484145865
ACH-000676,-0.2346136644751968
ACH-000677,-0.3134221444493843
ACH-000681,-0.09511606311499256
ACH-000683,-0.2130527056575704
ACH-000684,-0.13948325821982868
ACH-000688,-0.1359760187104692
ACH-000693,-0.21836490560656213
ACH-000694,-0.28421265094322995
ACH-000695,-0.054504848305762764
ACH-000696,-0.274555829514693
ACH-000697,-0.2676165546162092
ACH-000699,-0.4000408500910336
ACH-000701,-0.24148384439814066
ACH-000706,-0.17941259563228834
ACH-000711,-0.3051260582999129
ACH-000713,-0.30846685403059443
ACH-000714,-0.3129120148638845
ACH-000718,-0.2590720871462594
ACH-000720,-0.15009176802905155
ACH-000721,-0.2318278107341652
ACH-000724,-0.33503177516705146
ACH-000725,-0.19932887209315514
ACH-000732,-0.2725603615180135
ACH-000734,-0.28175770291845165
ACH-000735,-0.2419263949650732
ACH-000736,-0.3495292368817044
ACH-000738,-0.2071194876508705
ACH-000746,-0.16089057135443835
ACH-000747,-0.16601067494742006
ACH-000748,-0.2713842449077476
ACH-000753,-0.2168179106782348
ACH-000756,-0.13555793093468893
ACH-000757,-0.2686186717002593
ACH-000758,-0.19830802522705931
ACH-000760,-0.14505491848553256
ACH-000762,-0.3263424251962617
ACH-000763,-0.33526018542794955
ACH-000764,-0.2280394021180312
ACH-000765,-0.3372154157839088
ACH-000766,-0.24833971843288116
ACH-000767,-0.3631235100844872
ACH-000768,-0.255408534309096
ACH-000769,-0.23817850697170095
ACH-000770,-0.4280737556014281
ACH-000771,-0.1804937170819525
ACH-000773,-0.21211690454288012
ACH-000776,-0.09875142157341714
ACH-000777,-0.2663182522545301
ACH-000778,-0.2795431357261439
ACH-000781,-0.1797567710567776
ACH-000782,-0.40612697535736203
ACH-000783,-0.3078294089242183
ACH-000784,-0.13092440342218206
ACH-000785,-0.067450368974275
ACH-000787,-0.12634733349071572
ACH-000788,-0.16290624422374356
ACH-000791,-0.2536998048602507
ACH-000792,-0.349857281671191
ACH-000794,-0.4143188887689144
ACH-000796,-0.26746270619789403
ACH-000798,-0.500179346216669
ACH-000799,-0.24705446349357665
ACH-000800,-0.009607035568480214
ACH-000802,-0.19118355032564546
ACH-000804,-0.23068574178142184
ACH-000805,-0.3679061670461065
ACH-000809,-0.15376060244791828
ACH-000810,-0.3978976406075982
ACH-000811,-0.25287092950881057
ACH-000817,-0.2322260937895202
ACH-000819,-0.3235789277092988
ACH-000820,-0.5310158523051366
ACH-000821,-0.4469145032244049
ACH-000822,-0.2789400122009493
ACH-000823,-0.3348352664591283
ACH-000824,-0.2457158174034238
ACH-000827,-0.24426373106512825
ACH-000829,-0.25273643850987665
ACH-000831,-0.43871751448981255
ACH-000832,-0.34648997313098306
ACH-000833,-0.2610455023013528
