,CDKN2AIP (55602)
ACH-000004,-0.20611646275891307
ACH-000005,-0.07273957044713901
ACH-000007,-0.23545492127063694
ACH-000009,-0.15174035359979132
ACH-000011,-0.2355184882725805
ACH-000012,0.1251462020097012
ACH-000013,-0.0824532690663366
ACH-000014,-0.16439472794052265
ACH-000015,-0.17591532801401713
ACH-000017,-0.13337251255271848
ACH-000018,-0.22470688723772525
ACH-000019,-0.1424258485540325
ACH-000021,-0.16437192237742754
ACH-000022,-0.191121107466678
ACH-000025,-0.06313585405264524
ACH-000028,-0.3150492888416436
ACH-000030,-0.13698246914628834
ACH-000035,-0.2078006520937148
ACH-000036,-0.19875297726210656
ACH-000037,-0.1740550923617355
ACH-000039,-0.02011308466549148
ACH-000040,-0.17730526546163325
ACH-000041,-0.33254992375307474
ACH-000042,-0.23404121668335875
ACH-000045,0.1474104032254951
ACH-000047,-0.17326965279237858
ACH-000052,-0.1700114896639121
ACH-000053,-0.19198886397451215
ACH-000054,-0.008437616302529375
ACH-000055,0.307636038052922
ACH-000060,0.022639588825315814
ACH-000067,-0.22141132663144414
ACH-000070,-0.18759444285251067
ACH-000075,-0.060689736908999876
ACH-000078,-0.1244823169904524
ACH-000082,-0.2447794325462225
ACH-000085,-0.11272086572459905
ACH-000086,-0.149291742450228
ACH-000087,-0.3754019853387201
ACH-000092,-0.12625995844080287
ACH-000095,-0.1997462213308614
ACH-000097,-0.01821650606754765
ACH-000098,-0.2946280768205705
ACH-000099,-0.27316193506382325
ACH-000108,-0.38339818637792294
ACH-000113,-0.19148129385922816
ACH-000116,-0.2623658138269467
ACH-000118,-0.1264209554099984
ACH-000120,-0.3498840148553147
ACH-000123,-0.12965471201674375
ACH-000127,-0.13664877066412368
ACH-000128,-0.07660964270017767
ACH-000132,-0.2683889528798386
ACH-000133,-0.07054877128069632
ACH-000137,-0.0805812868517792
ACH-000138,-0.3407996983964405
ACH-000142,-0.009709109067981536
ACH-000143,-0.21685966736722948
ACH-000146,-0.17546499527052162
ACH-000148,-0.08244079482074998
ACH-000150,-0.13717097830839442
ACH-000152,-0.07686305825162291
ACH-000153,-0.08494994430503873
ACH-000159,-0.17863044178412865
ACH-000160,-0.214598909084015
ACH-000163,-0.19959763310721665
ACH-000167,-0.4938641499617011
ACH-000168,-0.5480674317910981
ACH-000169,-0.11085812472387066
ACH-000178,-0.023618158486254183
ACH-000183,-0.2961736223517472
ACH-000188,-0.17562908310839168
ACH-000189,-0.3439859532446768
ACH-000190,-0.10754137201504176
ACH-000198,0.05773003947480295
ACH-000203,-0.2094350847574979
ACH-000204,-0.2242728839704433
ACH-000206,-0.2221909013238506
ACH-000207,-0.03030174691001328
ACH-000208,-0.2741573703363619
ACH-000210,-0.3325785682207024
ACH-000211,-0.23192379908753374
ACH-000215,-0.10669886605961576
ACH-000221,0.07831146865674785
ACH-000222,0.0033732225188621502
ACH-000223,-0.20166088082135106
ACH-000226,-0.13703410095503998
ACH-000227,-0.16909286407456667
ACH-000228,-0.3187906607961348
ACH-000231,-0.3501717319986849
ACH-000232,-0.2899670101024593
ACH-000233,-0.4695474974357577
ACH-000234,-0.341109534714076
ACH-000235,-0.190219398707046
ACH-000237,-0.2239299587972404
ACH-000238,-0.19166170246864986
ACH-000242,-0.02794252782942144
ACH-000243,-0.007743939285861483
ACH-000244,-0.0062391381699238
ACH-000246,-0.22076660349894134
ACH-000248,-0.12575268307488705
ACH-000250,-0.37441531169603054
ACH-000251,-0.15388185965506535
ACH-000252,-0.3271660682160639
ACH-000253,-0.27233430712264856
ACH-000255,-0.04128867885480887
ACH-000256,-0.15746914383814364
ACH-000257,-0.33392692845739463
ACH-000258,-0.2565918620064413
ACH-000259,-0.134448632770212
ACH-000260,-0.2023016326520106
ACH-000261,-0.2756128345510091
ACH-000262,-0.058833952215704616
ACH-000263,-0.31635150741185525
ACH-000264,-0.07879114538151147
ACH-000265,-0.12580655013263964
ACH-000266,-0.3173833397024524
ACH-000272,-0.2593012456246208
