,MYO9B (4650)
ACH-000004,-0.3642949766784525
ACH-000005,-0.4221360140676719
ACH-000007,-0.400188438540981
ACH-000009,-0.19062569236531424
ACH-000011,0.3104224217869306
ACH-000012,-0.3648530917284682
ACH-000013,-0.2380861975036317
ACH-000014,0.05105123233058561
ACH-000015,-0.20111913164328274
ACH-000017,-0.4666090069710264
ACH-000018,0.11028318734991166
ACH-000019,-0.3161412921447949
ACH-000021,-0.2115537372538564
ACH-000022,-0.5334188473175129
ACH-000025,0.042620048491714455
ACH-000028,-0.33738566780370266
ACH-000030,-0.18020699377876112
ACH-000035,-0.351746754247288
ACH-000036,0.07354105053571452
ACH-000037,-0.010614139860956565
ACH-000039,-0.1282430612177912
ACH-000040,0.01664998815352351
ACH-000041,-0.15926692677293053
ACH-000042,-0.1876513436319356
ACH-000045,-0.15006131287151506
ACH-000047,-0.08299808528078054
ACH-000052,-0.27541979470601985
ACH-000053,-0.018193851773856542
ACH-000054,-0.10810331416161922
ACH-000055,-0.29246524638973465
ACH-000060,-0.07463030402777181
ACH-000067,-0.05295966995002433
ACH-000070,-0.1993510340151312
ACH-000075,-0.1692232214841578
ACH-000078,-0.1069715522223296
ACH-000082,-0.15218521156439455
ACH-000085,0.10742662631040246
ACH-000086,-0.1872792252357902
ACH-000087,-0.27012308154680426
ACH-000092,-0.06760888207846633
ACH-000095,-0.033072793271488266
ACH-000097,-0.2629297012308289
ACH-000098,0.08730571917594357
ACH-000099,-0.03127732863263508
ACH-000108,-0.08597925293584767
ACH-000113,-0.006702074619949844
ACH-000116,-0.05423649961243771
ACH-000118,0.05278054182783255
ACH-000120,0.002556974796942772
ACH-000123,-0.16495575211889585
ACH-000127,-0.18472736827566616
ACH-000128,-0.016205087995418258
ACH-000132,-0.10253928993441976
ACH-000133,-0.09735813360363196
ACH-000137,-0.22407272213456986
ACH-000138,-0.2700815653546277
ACH-000142,-0.18501676874364448
ACH-000143,-0.19175930254547816
ACH-000146,-0.020851844439349003
ACH-000148,-0.12456636836488195
ACH-000150,0.0015066041726769606
ACH-000152,-0.19555447789041355
ACH-000153,-0.2318241832663029
ACH-000159,-0.2200031032589994
ACH-000160,-0.11940267309987584
ACH-000163,-0.5516865475695881
ACH-000167,-0.4504492021621828
ACH-000168,-0.09880080268937344
ACH-000169,-0.2336751670604238
ACH-000178,-0.06631398029163334
ACH-000183,-0.06230383829722844
ACH-000188,-0.30581207953326983
ACH-000189,0.061475837190715664
ACH-000190,-0.057287214409417586
ACH-000198,-0.1005803056557103
ACH-000203,-0.11056604831980607
ACH-000204,0.0950814149156016
ACH-000206,0.18858494551011504
ACH-000207,-0.08866402398163194
ACH-000208,-0.2286108938585681
ACH-000210,-0.11867184976825508
ACH-000211,-0.26267634259993
ACH-000215,-0.011103366804802329
ACH-000221,-0.15511237822896848
ACH-000222,-0.25375937823319783
ACH-000223,-0.22196107149872207
ACH-000226,-0.12121022465331388
ACH-000227,-0.11105577912341956
ACH-000228,-0.17407184065523487
ACH-000231,-0.10404593040199928
ACH-000232,-0.06811777614006219
ACH-000233,-0.2293194365015998
ACH-000234,-0.1321314557943132
ACH-000235,-0.08282556958661838
ACH-000237,-0.2003573017220497
ACH-000238,0.024110929331968543
ACH-000242,-0.7248857163544971
ACH-000243,-0.5612017372144528
ACH-000244,-0.016362870634781243
ACH-000246,-0.10262326651746824
ACH-000248,-0.31687493709412223
ACH-000250,-0.10811216675640713
ACH-000251,0.017331702983264512
ACH-000252,-0.0278522722247754
ACH-000253,-0.3618790968461492
ACH-000255,-0.212047376380008
ACH-000256,-0.1815814329815152
ACH-000257,-0.394256642336241
ACH-000258,-0.09436499729233652
ACH-000259,-0.033895999691754664
ACH-000260,-0.026499972743842203
ACH-000261,-0.26685329470213354
ACH-000262,-0.13760257284530394
ACH-000263,-0.4680009058340621
ACH-000264,-0.14224314498963847
ACH-000265,-0.05954191771859387
ACH-000266,-0.2461943506860863
ACH-000272,0.011754776073132415
ACH-000274,0.1974661437944364
ACH-000277,-0.21872790404936046
ACH-000278,-0.26260909618773304
ACH-000279,-0.034057690107345696
ACH-000280,-0.08099677298021557
ACH-000281,-0.022014507197610292
ACH-000288,-0.17413730438214112
ACH-000291,-0.17066234154345844
ACH-000293,-0.025356010879698857
ACH-000294,-0.18559687903840336
ACH-000295,-0.055275433862110916
ACH-000296,0.018763201451219926
ACH-000302,-0.1047729447685976
ACH-000304,-0.03798876277391376
ACH-000307,-0.0551657410231228
