,EIF3J (8669)
ACH-000004,-0.19626139646887344
ACH-000005,-0.5252507467061366
ACH-000007,-0.3780608048582507
ACH-000009,-0.37962913006540455
ACH-000011,-0.6600888044835361
ACH-000012,-0.32043642804750977
ACH-000013,-0.26925671346954394
ACH-000014,-0.26651219332098874
ACH-000015,-0.4431600983102105
ACH-000017,-0.1732914257431007
ACH-000018,-0.3628631104462072
ACH-000019,-0.2639012255052928
ACH-000021,-0.3337819533886447
ACH-000022,-0.31738562719885305
ACH-000025,-0.5683599278035673
ACH-000028,-0.3511392918280676
ACH-000030,-0.43693453433417206
ACH-000035,-0.3897227749670554
ACH-000036,-0.08878807868001767
ACH-000037,-0.4847703420686617
ACH-000039,-0.35979656980928865
ACH-000040,-0.3976822670429268
ACH-000041,-0.4595753232052725
ACH-000042,-0.2810379288857749
ACH-000045,-0.0538630345261138
ACH-000047,-0.3838867604878043
ACH-000052,-0.6065263599167041
ACH-000053,-0.4512026191431697
ACH-000054,-0.4747084836244898
ACH-000055,-0.4628133281842389
ACH-000060,-0.2337075579110835
ACH-000067,-0.4511488390910535
ACH-000070,-0.3794140202095903
ACH-000075,-0.4591969763056448
ACH-000078,-0.2427713703126205
ACH-000082,-0.37132630412018297
ACH-000085,-0.3788997691065208
ACH-000086,-0.4567636161456713
ACH-000087,-0.5396260052548849
ACH-000092,-0.4160588766271552
ACH-000095,-0.2966086044800128
ACH-000097,-0.4032802098831684
ACH-000098,-0.31836569910158885
ACH-000099,-0.29272987627711555
ACH-000108,-0.2489234373778397
ACH-000113,-0.4338187454169205
ACH-000116,-0.2557896401786604
ACH-000118,-0.5080457083466092
ACH-000120,-0.3671179106911266
ACH-000123,-0.2788187210772077
ACH-000127,-0.2576063886367069
ACH-000128,-0.4094922604284584
ACH-000132,-0.556414942782918
ACH-000133,-0.3544793535556226
ACH-000137,-0.5272007192879774
ACH-000138,-0.32011460751702336
ACH-000142,-0.2925106023096833
ACH-000143,-0.4198638323710037
ACH-000146,-0.2186382989485461
ACH-000148,-0.5463050329023982
ACH-000150,-0.3604688994518288
ACH-000152,-0.3328703159195839
ACH-000153,-0.6633059651404198
ACH-000159,-0.3593114068639028
ACH-000160,-0.35548804441856785
ACH-000163,-0.4794129261329939
ACH-000167,-0.7515576341124177
ACH-000168,-0.1740697163658613
ACH-000169,-0.3203633905703749
ACH-000178,-0.6678346995323502
ACH-000183,-0.3275347845529954
ACH-000188,-0.3293730169852988
ACH-000189,-0.3044595477963304
ACH-000190,-0.487524585571248
ACH-000198,-0.1877706657798858
ACH-000203,-0.4423878079497488
ACH-000204,-0.4169095896966912
ACH-000206,-0.6802479398847904
ACH-000207,-0.31239338163806274
ACH-000208,-0.4547039959760199
ACH-000210,-0.3434315898978937
ACH-000211,-0.3956159482133644
ACH-000215,-0.3517781086062978
ACH-000221,-0.21407573003407915
ACH-000222,-0.4495773964475912
ACH-000223,-0.4102968791891232
ACH-000226,-0.3936416914935197
ACH-000227,-0.2540935371020303
ACH-000228,-0.4260353129805149
ACH-000231,-0.2809775014508814
ACH-000232,-0.4483954203254447
ACH-000233,-0.3041051435235113
ACH-000234,-0.5073308745771764
ACH-000235,-0.3656810065268599
ACH-000237,-0.30213944950406985
ACH-000238,-0.40200955708720604
ACH-000242,-0.5697185875345617
ACH-000243,-0.46477336900807104
ACH-000244,-0.1597672702569337
ACH-000246,-0.5229954111629883
ACH-000248,-0.5498592557015224
ACH-000250,-0.4370458396926259
ACH-000251,-0.9353625555511949
ACH-000252,-0.3565652671993139
ACH-000253,-0.425297922172136
ACH-000255,-0.5549282491016067
ACH-000256,-0.3055853491579064
ACH-000257,-0.34267789733768633
ACH-000258,-0.3142756919245677
ACH-000259,-0.4523579781602803
ACH-000260,-0.5413937762610533
ACH-000261,-0.5498528486117317
ACH-000262,-0.3601326318240924
ACH-000263,-0.3669909575579928
ACH-000264,-0.3873283406665627
ACH-000265,-0.405404041330129
ACH-000266,-0.42335186328492064
ACH-000272,-0.6729246446476952
ACH-000274,-0.5208319099615673
ACH-000277,-0.2451458443972917
ACH-000278,-0.3045161556916343
ACH-000279,-0.3300138164212719
ACH-000280,-0.11175287257452264
ACH-000281,-0.5155279900610841
ACH-000288,-0.40090974449299066
ACH-000291,-0.4625815342327754
ACH-000293,-0.35200700646001376
ACH-000294,-0.42235416844271184
ACH-000295,-0.10121240932066082
ACH-000296,-0.5534975978673202
ACH-000302,-0.2507777210007723
ACH-000304,-0.7224411708680911
ACH-000307,-0.3450276120459643
ACH-000308,-0.2949902639140131
ACH-000310,-0.2359377692121499
ACH-000311,-0.5061425872237577
ACH-000312,-0.337939010114421
ACH-000315,-0.5172068858000609
ACH-000316,-0.5698337962833624
ACH-000317,-0.2846125802294163
ACH-000318,-0.2590819297326711
ACH-000319,-0.493643839561252
ACH-000320,-0.3246738862926325
ACH-000322,-0.5014761430351711
ACH-000323,-0.3638013614407853
ACH-000324,-0.3699463792547829
ACH-000329,-0.4138757544735519
ACH-000330,-0.2978130057002768
ACH-000331,-0.2998012698220238
ACH-000332,-0.5450068409990403
ACH-000334,-0.5128383025780925
ACH-000335,-0.31356575142571064
ACH-000336,-0.4835514684662256
ACH-000337,-0.4449674739783702
ACH-000338,-0.3481962821190738
ACH-000339,-0.3001173829586717
ACH-000341,-0.4880846358342992
ACH-000348,-0.29879689882988336
ACH-000350,-0.0554283131461254
ACH-000352,-0.4262807970942033
ACH-000356,-0.7370066832970876
ACH-000361,-0.21630351720091964
ACH-000362,-0.3283786750850877
ACH-000363,-0.23855235536850405
ACH-000364,-0.4508267380259271
ACH-000365,-0.2660573401131052
ACH-000366,-0.3691877610059525
ACH-000368,-0.4606918877739973
ACH-000374,-0.24484238606465716
ACH-000375,-0.4097053037166201
ACH-000376,-0.6343029997741192
ACH-000381,-0.3568993808430441
ACH-000383,-0.4457238220165349
ACH-000387,-0.4081188583281149
ACH-000389,-0.4961135917054895
ACH-000390,-0.15418870544747745
ACH-000393,-0.4325568295095476
ACH-000395,-0.4912736376393786
ACH-000396,-0.1992361595730336
ACH-000397,-0.2080837889248569
ACH-000401,-0.22470679700322085
ACH-000402,-0.3708345982861465
ACH-000403,-0.32624497471124964
ACH-000404,-0.7397029394079868
ACH-000406,-0.24027802591854294
ACH-000407,-0.3784001159938299
ACH-000408,-0.4435166349670229
ACH-000410,-0.3964100500614457
ACH-000411,-0.3530543300245695
ACH-000414,-0.38502394396384665
ACH-000415,-0.2331985521046232
ACH-000416,-0.3823172626707829
ACH-000420,-0.3836378688026876
