,FARSB (10056)
ACH-000004,-1.5971338531513843
ACH-000005,-1.8496211291191305
ACH-000007,-1.3453762342884121
ACH-000009,-1.457528453209228
ACH-000011,-1.5133927589543381
ACH-000012,-1.4407133431963508
ACH-000013,-1.6858657870357985
ACH-000014,-1.4014756785136753
ACH-000015,-1.4783172735033827
ACH-000017,-1.5093379628664512
ACH-000018,-1.5249874721217167
ACH-000019,-1.3563384509812724
ACH-000021,-1.5133101068802244
ACH-000022,-1.469421845771441
ACH-000025,-1.6003682745271863
ACH-000028,-1.3974374252074628
ACH-000030,-1.388559434902729
ACH-000035,-1.4370890686133964
ACH-000036,-1.3820391502187392
ACH-000037,-1.7285417811374333
ACH-000039,-1.489237549105105
ACH-000040,-1.3180357998446854
ACH-000041,-1.622476373902347
ACH-000042,-1.5330732643337026
ACH-000045,-1.3342462337328298
ACH-000047,-1.386511727184847
ACH-000052,-1.4816987362290122
ACH-000053,-1.2993680914823116
ACH-000054,-1.3941883469695937
ACH-000055,-1.547767932912258
ACH-000060,-1.3820009530698347
ACH-000067,-1.2463354435720149
ACH-000070,-1.3176581286549125
ACH-000075,-1.487791722295838
ACH-000078,-1.3746298120219402
ACH-000082,-1.3448169399942485
ACH-000085,-1.858486655977976
ACH-000086,-1.3510634686361171
ACH-000087,-1.4189010627384575
ACH-000092,-1.3829399391672732
ACH-000095,-1.436706706522238
ACH-000097,-1.4969984441957769
ACH-000098,-1.5173027957584926
ACH-000099,-1.3421586166514905
ACH-000108,-1.4332948517677024
ACH-000113,-1.2664347378160663
ACH-000116,-1.6454744083451245
ACH-000118,-1.3639544566595403
ACH-000120,-1.4260793335240438
ACH-000123,-1.3570015592950957
ACH-000127,-1.2742437607375638
ACH-000128,-1.5462754495270774
ACH-000132,-1.3744466411753598
ACH-000133,-1.376620521855329
ACH-000137,-1.5835245058471867
ACH-000138,-1.555290241042484
ACH-000142,-1.3177347468660197
ACH-000143,-1.5470101957177824
ACH-000146,-1.65022061421292
ACH-000148,-1.7074937739922809
ACH-000150,-1.333754825504781
ACH-000152,-1.4885320616897713
ACH-000153,-1.4254789017648668
ACH-000159,-1.5715199629775145
ACH-000160,-1.3866148663077242
ACH-000163,-1.4741024898422068
ACH-000167,-2.077744750920851
ACH-000168,-1.4760767802581114
ACH-000169,-1.3526741763378882
ACH-000178,-1.4904036149857705
ACH-000183,-1.1971500944009181
ACH-000188,-1.306398843240376
ACH-000189,-1.4064489633717812
ACH-000190,-1.5838362589220492
ACH-000198,-1.3938260659537358
ACH-000203,-1.2591767845670054
ACH-000204,-1.098689551413115
ACH-000206,-1.5951084901934154
ACH-000207,-1.2088407380381585
ACH-000208,-1.4128788167851687
ACH-000210,-1.7485184333784891
ACH-000211,-1.3663314998094724
ACH-000215,-1.4506204418858737
ACH-000221,-1.5308829310979213
ACH-000222,-1.4389754268689472
