,FANCG (2189)
ACH-000004,-0.2497938737111785
ACH-000005,-0.05296423376892977
ACH-000007,0.00347537039723253
ACH-000009,-0.2332349057789606
ACH-000011,-0.2771656533147643
ACH-000012,-0.07559376265693707
ACH-000013,-0.15958171606851462
ACH-000014,-0.4272870722577271
ACH-000015,-0.15177391719258201
ACH-000017,-0.1155403942152622
ACH-000018,-0.18084068031896966
ACH-000019,-0.23413501981941465
ACH-000021,-0.2487595143727171
ACH-000022,-0.0941742181910283
ACH-000025,-0.0682508542296461
ACH-000028,-0.325195255233262
ACH-000030,-0.09954029680667777
ACH-000035,-0.2886292616464213
ACH-000036,-0.17719698224072447
ACH-000037,-0.20734136593107905
ACH-000039,-0.15943735865318034
ACH-000040,-0.1900302115438841
ACH-000041,-0.03321340434012897
ACH-000042,-0.12992059499875827
ACH-000045,-0.4507130093463104
ACH-000047,-0.12386432251896562
ACH-000052,-0.3883930284070107
ACH-000053,0.04182580604959536
ACH-000054,-0.09999382538960462
ACH-000055,-0.2980020283463071
ACH-000060,0.09632568123696962
ACH-000067,-0.2974898032735948
ACH-000070,-0.31622018609448777
ACH-000075,-0.1515149038858417
ACH-000078,-0.041308721870512086
ACH-000082,-0.2835521072994506
ACH-000085,-0.1987082633040895
ACH-000086,-0.08368606967906922
ACH-000087,-0.4344422325425993
ACH-000092,-0.10671931045945043
ACH-000095,-0.01196622194163351
ACH-000097,-0.2360641875356827
ACH-000098,-0.19277457180396285
ACH-000099,-0.3116469492604944
ACH-000108,-0.08418689541196911
ACH-000113,-0.5920052205750392
ACH-000116,-0.15146211684249994
ACH-000118,-0.5524894822028824
ACH-000120,-0.3116411190255203
ACH-000123,-0.21939971924899326
ACH-000127,-0.08850263753845382
ACH-000128,0.09586548669222092
ACH-000132,-0.5405170123396156
ACH-000133,-0.5879060136739567
ACH-000137,-0.053423901983948495
ACH-000138,-0.0427705416108314
ACH-000142,-0.052951241272330966
ACH-000143,-0.157442186841245
ACH-000146,-0.034082701822687904
ACH-000148,-0.31719134502461777
ACH-000150,0.0027205646843601115
ACH-000152,-0.40726236666902615
ACH-000153,-0.11409424843181905
ACH-000159,-0.08397784690725485
ACH-000160,-0.14504286917023573
ACH-000163,-0.2811622132764719
ACH-000167,0.02216673161668185
ACH-000168,-0.30070336515787605
ACH-000169,-0.01712155665567516
ACH-000178,-0.014429214750413444
ACH-000183,-0.0030015088149496195
ACH-000188,-0.22278088162724324
ACH-000189,-0.26667066851608795
ACH-000190,-0.20653446278496806
ACH-000198,-0.5477497040870818
ACH-000203,-0.4156917247689007
ACH-000204,-0.08360375666263141
ACH-000206,-0.4849468442442659
ACH-000207,-0.05560391033150009
ACH-000208,-0.1696251237300879
ACH-000210,0.12864997482916918
ACH-000211,-0.21526434019632606
ACH-000215,-0.18452326590180265
ACH-000221,-0.245987183915228
ACH-000222,-0.2610760150561344
ACH-000223,-0.09559947698444747
ACH-000226,-0.2909164558263684
ACH-000227,-0.04527005821275665
ACH-000228,-0.2580092363396731
ACH-000231,-0.1544704432487276
ACH-000232,-0.020343469650606072
