,CSPP1 (79848)
ACH-000004,-0.050458391923782
ACH-000005,0.1055985323749688
ACH-000007,0.00501238116165421
ACH-000009,0.06207264968175835
ACH-000011,-0.23988960699367226
ACH-000012,-0.15015733350349955
ACH-000013,-0.024585625401037044
ACH-000014,-0.03717339181787021
ACH-000015,0.035172898524726486
ACH-000017,-0.14263048789757246
ACH-000018,0.0055300852899961145
ACH-000019,-0.012806372328536694
ACH-000021,-0.016262052122636813
ACH-000022,-0.15230547372834494
ACH-000025,-0.15375698566931725
ACH-000028,0.02664401976055369
ACH-000030,-0.1174947906909619
ACH-000035,-0.1362262760978958
ACH-000036,-0.08644581496113671
ACH-000037,-0.15929770104388138
ACH-000039,-0.12886927389072012
ACH-000040,-0.12187453927284887
ACH-000041,-0.09696465230626447
ACH-000042,-0.08434644674045579
ACH-000045,-0.005292380805556797
ACH-000047,-0.16516841487272185
ACH-000052,-0.21453679021763872
ACH-000053,-0.013647318247896974
ACH-000054,-0.3278865555813037
ACH-000055,-0.03320263995554945
ACH-000060,-0.1879712227756717
ACH-000067,-0.031562008035500744
ACH-000070,0.05269786986105444
ACH-000075,0.02699322067042961
ACH-000078,0.059332192003791265
ACH-000082,-0.04320811275483012
ACH-000085,-0.02595787286580425
ACH-000086,0.09193916349986957
ACH-000087,-0.15107081899871874
ACH-000092,-0.17144395844608046
ACH-000095,-0.07159412055003367
ACH-000097,-0.18674834976041474
ACH-000098,-0.08533849777310933
ACH-000099,-0.03592789465041882
ACH-000108,-0.09771175842513012
ACH-000113,-0.07968039485090657
ACH-000116,0.009728214401445312
ACH-000118,-0.041046364486687685
ACH-000120,0.10682701084042956
ACH-000123,-0.05203323916845914
ACH-000127,-0.11422100291366626
ACH-000128,-0.3165406212270975
ACH-000132,-0.03888749160468003
ACH-000133,-0.0547371697699703
ACH-000137,-0.02739855165498898
ACH-000138,0.01863518251629517
ACH-000142,-0.012472300497233005
ACH-000143,-0.0938986737221193
ACH-000146,-0.06351540836386932
ACH-000148,0.015648515415572373
ACH-000150,-0.15978434397730398
ACH-000152,-0.11706011402527072
ACH-000153,-0.2328752959632386
ACH-000159,-0.21146663933518967
ACH-000160,-0.04275229177553983
ACH-000163,-0.22378001185683805
ACH-000167,0.4494201399091928
ACH-000168,0.1966955912289093
