,PFDN5 (5204)
ACH-000004,-0.29959755730084314
ACH-000005,-0.29842831083521115
ACH-000007,-0.4455951172946412
ACH-000009,-0.5823036135539552
ACH-000011,-0.6390294790916697
ACH-000012,-0.5651941123961752
ACH-000013,-0.4613362804560593
ACH-000014,-0.6170692015217032
ACH-000015,-0.5794606185051915
ACH-000017,-0.4296496883208991
ACH-000018,-0.5209018256431451
ACH-000019,-0.2809086984801203
ACH-000021,-0.4863404911233581
ACH-000022,-0.5151414604908454
ACH-000025,-0.5952729281783541
ACH-000028,-0.5012224714811185
ACH-000030,-0.7110138698618084
ACH-000035,-0.574619592454288
ACH-000036,-0.7720109999041138
ACH-000037,-0.5246243265456996
ACH-000039,-0.6495319479365173
ACH-000040,-0.598317457374116
ACH-000041,-0.3846875219449685
ACH-000042,-0.7059048521773843
ACH-000045,-0.4340950941237635
ACH-000047,-0.590217497875407
ACH-000052,-0.5965795367397567
ACH-000053,-0.4185517095404225
ACH-000054,-0.6536396655068695
ACH-000055,-0.5148060151375471
ACH-000060,-0.4448828200452471
ACH-000067,-0.9243921178192503
ACH-000070,-0.6664236872161674
ACH-000075,-0.7132720542669665
ACH-000078,-0.5086633855749618
ACH-000082,-0.6853438930343639
ACH-000085,-0.7533746219952233
ACH-000086,-0.608877196823998
ACH-000087,-0.6629468667555375
ACH-000092,-0.4356762738439304
ACH-000095,-0.39887317471100703
ACH-000097,-0.676782858000615
ACH-000098,-0.5332230432841466
ACH-000099,-0.2382332297952675
ACH-000108,-0.6469851286075681
ACH-000113,-0.5327730167123279
ACH-000116,-0.6817491972859552
ACH-000118,-0.8557680106326097
ACH-000120,-0.5070855514471292
ACH-000123,-0.6101744023723235
ACH-000127,-0.5162828990609702
ACH-000128,-0.6359146955740722
ACH-000132,-0.5833011912851671
ACH-000133,-0.7615759289120543
ACH-000137,-0.6323437393070616
ACH-000138,-0.34273309362912024
ACH-000142,-0.4945886612308653
ACH-000143,-0.459458504893191
ACH-000146,-0.4911287818370901
ACH-000148,-0.6559411662765784
ACH-000150,-0.6557106632054306
ACH-000152,-0.6171762259516547
ACH-000153,-0.962649485359268
ACH-000159,-0.2817296144122033
ACH-000160,-0.30758261978745394
ACH-000163,-0.7875154286890625
ACH-000167,-0.12912310643921385
ACH-000168,-0.6674593070742862
ACH-000169,-0.5610834447692773
ACH-000178,-0.622895489564038
ACH-000183,-0.3974653924069438
ACH-000188,-0.6576014690923203
ACH-000189,-0.5489014238531212
ACH-000190,-0.3124739037751552
ACH-000198,-0.6188157489225353
ACH-000203,-0.015056332108105875
ACH-000204,-0.4950649246080037
ACH-000206,-0.4396868145689651
ACH-000207,-0.7002980283538016
ACH-000208,-0.5355940494985599
ACH-000210,-0.5364116628746588
ACH-000211,-0.7683969894654459
ACH-000215,-0.5377434840206782
ACH-000221,-0.5892883599452704
ACH-000222,-0.6768002242123266
ACH-000223,-0.6296965397077634
ACH-000226,-0.39458997538595736
ACH-000227,-0.4403092565348287
ACH-000228,-0.8446315399719739
ACH-000231,-0.6644841718277139
ACH-000232,-0.6240100037123201
ACH-000233,-0.4027932527338067
ACH-000234,-0.49752779648267403
ACH-000235,-0.3575691783939093
ACH-000237,-0.4333480918685777
ACH-000238,-0.4960937471381449
