,SAE1 (10055)
ACH-000004,-1.5449958018241747
ACH-000005,-1.2017396861652443
ACH-000007,-1.2672693772203645
ACH-000009,-1.4018049731371691
ACH-000011,-1.2258717803192174
ACH-000012,-1.1319252813696703
ACH-000013,-1.3471775338191634
ACH-000014,-1.1802561844403583
ACH-000015,-1.3543679945962046
ACH-000017,-1.3983443587474758
ACH-000018,-1.2639540164077647
ACH-000019,-1.1349278734355457
ACH-000021,-1.294782176678964
ACH-000022,-1.2116070243577384
ACH-000025,-1.0921950218560053
ACH-000028,-1.111182751985227
ACH-000030,-1.1371044735372682
ACH-000035,-1.3015091022145644
ACH-000036,-1.0656308402289971
ACH-000037,-1.097869715639439
ACH-000039,-1.2512095139290058
ACH-000040,-1.1083890621666899
ACH-000041,-1.4162972650435712
ACH-000042,-1.1974508439440503
ACH-000045,-1.0049637029337632
ACH-000047,-0.9278949961224712
ACH-000052,-1.1590701153700198
ACH-000053,-0.937434489251498
ACH-000054,-0.9497056793101558
ACH-000055,-1.19724438656289
ACH-000060,-1.0503795430609888
ACH-000067,-1.2946870138231201
ACH-000070,-0.9500248586401928
ACH-000075,-0.984039644335588
ACH-000078,-1.2031877150298893
ACH-000082,-1.014773861200583
ACH-000085,-1.5319152181316826
ACH-000086,-1.0918453731964677
ACH-000087,-1.0406401789916857
ACH-000092,-1.1977115241079137
ACH-000095,-1.0959819500659571
ACH-000097,-1.2317391659215564
ACH-000098,-1.4113064407620481
ACH-000099,-1.086453071038397
ACH-000108,-1.1053953905892464
ACH-000113,-1.048737146046374
ACH-000116,-1.1474664134101915
ACH-000118,-1.1504640329671765
ACH-000120,-1.2377480534470997
ACH-000123,-1.1329371088383329
ACH-000127,-1.2813531851331532
ACH-000128,-1.2149484302598124
ACH-000132,-1.061456550554622
ACH-000133,-1.192582200367798
ACH-000137,-1.384105339858456
ACH-000138,-1.2215766085843014
ACH-000142,-1.1978052635763974
ACH-000143,-1.1552344709470364
ACH-000146,-1.309967419321653
ACH-000148,-1.2367812583156377
ACH-000150,-1.204521888422429
ACH-000152,-1.2687653838036257
ACH-000153,-1.5516843052802267
ACH-000159,-1.1626980047843818
ACH-000160,-1.4483827420166355
ACH-000163,-1.2274209898260138
ACH-000167,-1.1723296984774971
ACH-000168,-1.2412864818609093
ACH-000169,-1.1127604671929943
ACH-000178,-1.2287623717322476
ACH-000183,-1.1347418229256228
ACH-000188,-1.1449923753837865
ACH-000189,-1.1368771809460694
ACH-000190,-1.351227233342302
ACH-000198,-1.011000401697279
ACH-000203,-1.1577899687095328
ACH-000204,-1.2878432093508323
ACH-000206,-1.039683954663264
ACH-000207,-0.9395437378562156
ACH-000208,-1.2377785611490013
