,ANP32B (10541)
ACH-000004,-0.11486162441632194
ACH-000005,0.4870708724518989
ACH-000007,-0.08994836954282792
ACH-000009,-0.11765875438031792
ACH-000011,0.14474244268944636
ACH-000012,-0.32421605442593154
ACH-000013,-0.16143755208739768
ACH-000014,0.08327793572526275
ACH-000015,0.004237899970752614
ACH-000017,0.06341045346318111
ACH-000018,-0.03695501047997831
ACH-000019,-0.09132753900282954
ACH-000021,-0.030952506799203708
ACH-000022,0.07804361688910287
ACH-000025,0.20898017549213488
ACH-000028,-0.4253199395265877
ACH-000030,-0.052104587348712886
ACH-000035,0.13447927917669428
ACH-000036,0.16329278158462454
ACH-000037,-0.08594936339791062
ACH-000039,0.05508176315340523
ACH-000040,0.16047037865060906
ACH-000041,-0.20427006926267235
ACH-000042,-0.1303788568669736
ACH-000045,-0.1294171991167503
ACH-000047,0.020553557528287383
ACH-000052,-0.10821984437919273
ACH-000053,0.05300377206346483
ACH-000054,0.042030795580703884
ACH-000055,-0.1052067724722596
ACH-000060,0.0696912797383922
ACH-000067,0.09402490435278417
ACH-000070,-0.220168599738714
ACH-000075,-0.19441511839411105
ACH-000078,-0.11178353558578497
ACH-000082,-0.12838381670920435
ACH-000085,0.12811801491271402
ACH-000086,-0.1725222097810694
ACH-000087,-0.2420973241607897
ACH-000092,-0.039488736905648435
ACH-000095,-0.03874200775517405
ACH-000097,-0.03663397408151332
ACH-000098,0.06912766758359283
ACH-000099,-0.2364511415324997
ACH-000108,-0.1119860208998548
ACH-000113,-0.18209614706305266
ACH-000116,0.013828913425448898
ACH-000118,-0.14794654228345264
ACH-000120,-0.14166842355447554
ACH-000123,-0.0800066561056753
ACH-000127,-0.03541500097179768
ACH-000128,0.19829515736811126
ACH-000132,0.10983735358066192
ACH-000133,-0.04145345028446375
ACH-000137,-0.0380628590965478
ACH-000138,0.08524889854244268
ACH-000142,0.148842219815791
ACH-000143,-0.3664505779310145
ACH-000146,0.008648158417631144
ACH-000148,-0.007858928911639829
ACH-000150,-0.2393797187970683
ACH-000152,0.17905372375988185
ACH-000153,-0.003648799841577782
ACH-000159,-0.1427995304424211
ACH-000160,0.1314538662446038
ACH-000163,-0.16224396366985294
ACH-000167,0.614274734560831
ACH-000168,0.0627881132222758
ACH-000169,-0.01803636890712195
ACH-000178,0.025933184445127842
ACH-000183,-0.332087578761404
ACH-000188,-0.21875326701437725
ACH-000189,0.002999379871703464
ACH-000190,0.06496802702155642
ACH-000198,-0.030591787745239355
ACH-000203,0.4255410097130669
ACH-000204,-0.2201053989819887
ACH-000206,-0.015349144398668198
ACH-000207,0.18445173387480585
ACH-000208,-0.3857302173891796
ACH-000210,-0.08777933895438017
ACH-000211,0.09360177549601653
ACH-000215,0.040249284052472065
ACH-000221,-0.24851356292577495
ACH-000222,0.15032420766379254
ACH-000223,-0.11083940296227686
ACH-000226,0.05839379676231976
ACH-000227,-0.008663497174568404
ACH-000228,-0.006455531935833713
ACH-000231,0.0006563330680864119
ACH-000232,0.10427509492671032
ACH-000233,-0.02194259818886668
ACH-000234,-0.03365147994003328
ACH-000235,-0.0623559451659177
ACH-000237,-0.19388010566692304
ACH-000238,-0.07555074654636608
ACH-000242,0.19068198815553644
ACH-000243,-0.2016246055428127
ACH-000244,0.001409375209624516
ACH-000246,-0.1298392349731362
ACH-000248,0.13961263676533384
ACH-000250,-0.09593718504489064
ACH-000251,0.26834971235889105
ACH-000252,-0.04642769457861875
ACH-000253,-0.15727755990756606
ACH-000255,-0.2595878763080889
ACH-000256,0.03422539227047232
ACH-000257,-0.044947722662335994
ACH-000258,-0.07069638723667113
ACH-000259,0.09259625710654956
ACH-000260,-0.04716751525846466
ACH-000261,0.07554344274254224
ACH-000262,-0.14437856168867425
ACH-000263,-0.29943590550456817
ACH-000264,0.03607350182037631
ACH-000265,-0.005843191196037765
ACH-000266,-0.06346282128824891
ACH-000272,-0.06471864098478478
ACH-000274,-0.0761108567325562
ACH-000277,-0.24572073655905985
ACH-000278,-0.10594670567787026
ACH-000279,0.005008430385655865
ACH-000280,-0.06863496460911066
ACH-000281,-0.012455420322290214
ACH-000288,-0.01589451672081621
ACH-000291,-0.029355137898983488
ACH-000293,-0.11347206311077357
ACH-000294,-0.012393756658502071
ACH-000295,-0.23144793904545596
ACH-000296,-0.1407315171601843
ACH-000302,-0.0975610197210517
ACH-000304,-0.1869617436837039
ACH-000307,-0.0021718397417270444
ACH-000308,-0.06810564858160446
ACH-000310,-0.09309921641551844
ACH-000311,-0.15084481592059107
ACH-000312,0.04277840147075434
ACH-000315,-0.2326391975645693
ACH-000316,-0.12257213732778
ACH-000317,-0.2304019690190707
ACH-000318,-0.11104915634485496
