,TNFRSF10C (8794)
ACH-000004,0.12814564789464514
ACH-000005,0.01099683130645493
ACH-000007,0.214732301391129
ACH-000009,0.221574038930262
ACH-000011,0.19067470409517065
ACH-000012,0.0723952640393153
ACH-000013,0.1600716374537749
ACH-000014,0.1384858738253955
ACH-000015,0.13607099499348074
ACH-000017,0.17555867597848832
ACH-000018,0.17778142434420846
ACH-000019,0.05670659504385619
ACH-000021,0.12951911398236934
ACH-000022,0.03646733759196307
ACH-000025,-0.01717565647348569
ACH-000028,0.13405992495408384
ACH-000030,0.22027794656676847
ACH-000035,0.08766139008325069
ACH-000036,-0.005513302290744243
ACH-000037,0.059267822788034774
ACH-000039,0.18309628912345105
ACH-000040,0.08296748442777803
ACH-000041,-0.07732618959035871
ACH-000042,0.1822117720309404
ACH-000045,0.04724962983673909
ACH-000047,0.12602611221868154
ACH-000052,0.19574167444515853
ACH-000053,0.10927340986723384
ACH-000054,0.0979109948031487
ACH-000055,0.10176063186744233
ACH-000060,0.048489141522519964
ACH-000067,0.16746843400340486
ACH-000070,0.1924746578380025
ACH-000075,-0.0005229418206397352
ACH-000078,0.012599989323279341
ACH-000082,0.0358000842136169
ACH-000085,0.1847429357456972
ACH-000086,0.1977812270663179
ACH-000087,0.3990003851979719
ACH-000092,0.14376402580716996
ACH-000095,0.11911268201075892
ACH-000097,0.08306662941855254
ACH-000098,0.17975974696398328
ACH-000099,0.12109027555148995
ACH-000108,0.03755765098773591
ACH-000113,0.1653128151665675
ACH-000116,0.11573970968614332
ACH-000118,0.10035969900410974
ACH-000120,0.042983219267165605
ACH-000123,0.1931455957054798
ACH-000127,0.06767336907292006
ACH-000128,0.02202358449114378
ACH-000132,0.16141263782565415
ACH-000133,0.11933331486174127
ACH-000137,0.09981343618926783
ACH-000138,0.15142129156588532
ACH-000142,0.1978524911849933
ACH-000143,0.1434419061920259
ACH-000146,0.057687563749605486
ACH-000148,0.13637195483428566
ACH-000150,0.09506174430586184
ACH-000152,0.23772140579555445
ACH-000153,0.16623015348519374
ACH-000159,0.051398453864999416
ACH-000160,0.2028502407718948
ACH-000163,0.0334715154731574
ACH-000167,-0.3079151840718059
ACH-000168,-0.12801059562076927
ACH-000169,0.1676476512359128
ACH-000178,0.0831760728831473
ACH-000183,0.12269195782997615
ACH-000188,0.06417366598357199
ACH-000189,-0.12955535445661434
ACH-000190,0.1885539380381694
ACH-000198,0.14148757191585865
ACH-000203,0.1931667501167328
