,CLUH (23277)
ACH-000004,-0.1142765805315072
ACH-000005,0.20989654337534425
ACH-000007,0.05318835395480727
ACH-000009,-0.4935047088412872
ACH-000011,-0.1915769341407738
ACH-000012,-0.2682780928494713
ACH-000013,-0.2198053841961102
ACH-000014,-0.2404579087278381
ACH-000015,-0.3817603595841661
ACH-000017,-0.2989427512227756
ACH-000018,-0.31678094357801045
ACH-000019,-0.3206178892306147
ACH-000021,-0.1792108051315348
ACH-000022,-0.16749611257816774
ACH-000025,-0.2281187351483535
ACH-000028,-0.4164904183442808
ACH-000030,-0.37011904830500736
ACH-000035,-0.22050242517128502
ACH-000036,-0.2160428278303518
ACH-000037,-0.2038861655443859
ACH-000039,-0.15410846555230925
ACH-000040,-0.3765996873128618
ACH-000041,-0.1992867790390156
ACH-000042,-0.28665875353485165
ACH-000045,-0.4732150982638755
ACH-000047,-0.4558610119347966
ACH-000052,-0.057740248123708524
ACH-000053,-0.230977051091732
ACH-000054,-0.09595396083717024
ACH-000055,0.07361435616546752
ACH-000060,-0.3845471600318602
ACH-000067,-0.24782928954866
ACH-000070,-0.3549861404944268
ACH-000075,-0.2010179162483737
ACH-000078,-0.32931229942450024
ACH-000082,-0.4772013979282628
ACH-000085,-0.07986015367995948
ACH-000086,-0.25282197705855325
ACH-000087,-0.4950753599796965
ACH-000092,-0.22202175478730035
ACH-000095,-0.191590068982309
ACH-000097,-0.14021707032001088
ACH-000098,-0.2426068459147245
ACH-000099,-0.2104132654671984
ACH-000108,-0.1926031719707546
ACH-000113,-0.6321380862072155
ACH-000116,-0.2169807448909871
ACH-000118,-0.18546881673134846
ACH-000120,-0.3255767066132296
ACH-000123,-0.3048985763793758
ACH-000127,-0.016142142275348225
ACH-000128,-0.3129057093496028
ACH-000132,-0.31492282000284844
ACH-000133,-0.2976639599987416
ACH-000137,-0.22668103269828965
ACH-000138,-0.2434813418586342
ACH-000142,-0.24781198697372644
ACH-000143,-0.3329020315525211
ACH-000146,-0.26812923234950525
ACH-000148,-0.3183659925004039
ACH-000150,-0.1611187628156732
ACH-000152,-0.2685340815087812
ACH-000153,-0.24540744035450054
ACH-000159,-0.17729314372951346
ACH-000160,-0.21147853784622653
ACH-000163,-0.062341000962639274
ACH-000167,-0.40895235050807616
ACH-000168,-0.09630780680318404
ACH-000169,-0.3861598447271872
ACH-000178,-0.1834308183336564
ACH-000183,0.02689600784867854
ACH-000188,-0.3885838880670699
ACH-000189,0.013309074136782796
ACH-000190,-0.25306155024221794
ACH-000198,-0.5485695283737765
ACH-000203,-0.24901158609260354
ACH-000204,-0.016521338931245168
ACH-000206,-0.02114296557829124
ACH-000207,-0.2897159562534821
ACH-000208,-0.29264293920634216
ACH-000210,-0.3398339878404717
ACH-000211,-0.16304150784008106
ACH-000215,-0.1890546503737364
ACH-000221,-0.2917367105871337
ACH-000222,-0.3184376222407164
ACH-000223,-0.3578466744061614
ACH-000226,-0.2479654807291861
ACH-000227,-0.3438187470970815
ACH-000228,-0.3382498816329045
ACH-000231,-0.3796207520507085
ACH-000232,-0.19020598619441395
ACH-000233,-0.5261040286435028
ACH-000234,-0.2877002779434893
ACH-000235,-0.21477558107146025
ACH-000237,-0.3420900869463491
ACH-000238,-0.4989739627189052
ACH-000242,-0.3478414762605079
ACH-000243,-0.2519561921830565
ACH-000244,-0.41820844788258266
ACH-000246,-0.36952093241222256
ACH-000248,-0.019381631017324
ACH-000250,-0.4784378953501218
ACH-000251,-0.036227557445857934
ACH-000252,-0.0756940041376053
ACH-000253,-0.0945950990066452
ACH-000255,-0.2737534014350753
ACH-000256,-0.22452028563623944
ACH-000257,-0.4257486432481021
ACH-000258,-0.22492833341462287
ACH-000259,-0.4945021118907144
ACH-000260,-0.2432975469038159
ACH-000261,-0.2651759197817073
ACH-000262,-0.35152597400387403
ACH-000263,-0.4842074978318707
ACH-000264,-0.17171640585352205
ACH-000265,-0.31133596677762393
ACH-000266,-0.2905220396627257
ACH-000272,-0.2186573221305589
ACH-000274,-0.3020660079082788
ACH-000277,-0.3113528320352397
ACH-000278,-0.4651548255625265
ACH-000279,-0.32797682848336895
ACH-000280,-0.20306356501829365
ACH-000281,-0.259540866804843
ACH-000288,-0.3880941051393213
ACH-000291,-0.35061094321841635
ACH-000293,-0.3748690100045011
ACH-000294,0.20765542219872768
ACH-000295,-0.35861555625915675
ACH-000296,-0.3115397477384378
ACH-000302,-0.5113034831877281
ACH-000304,-0.3826527330881948
ACH-000307,-0.09141945093552624
ACH-000308,-0.1754906801089908
ACH-000310,-0.22174128474717236
ACH-000311,-0.08224587476526181
ACH-000312,-0.2950570434536384
ACH-000315,-0.11243344009675624
ACH-000316,-0.3319559418137544
ACH-000317,-0.001904370888774593
ACH-000318,-0.21661726450571936
ACH-000319,-0.23973545441432945
ACH-000320,-0.3650109080737961
ACH-000322,-0.4320568528865761
ACH-000323,-0.2058198623189059
ACH-000324,-0.2836155149850209
ACH-000329,-0.4428000156241375
ACH-000330,-0.11790290999918465
ACH-000331,-0.3035101402677757
ACH-000332,-0.209332880849594
ACH-000334,0.00114545849985751
ACH-000335,-0.0227209006185295
ACH-000336,-0.2716685925054359
ACH-000337,-0.09503136676441082
ACH-000338,-0.0911173668319565
ACH-000339,-0.2686435610898245
ACH-000341,-0.15185271685519766
ACH-000348,-0.23151245023417275
ACH-000350,-0.3077117241096505
ACH-000352,-0.4991117219239872
ACH-000356,-0.18928030938624196
ACH-000361,-0.0735141165379369
ACH-000362,-0.027425469084701514
ACH-000363,-0.331775659127047
ACH-000364,-0.192269202896828
ACH-000365,-0.5791596946945972
ACH-000366,-0.18968880987338546
ACH-000368,-0.27222215380615833
ACH-000374,-0.4655168813228825
ACH-000375,0.05094424707135983
ACH-000376,-0.019979432892897074
ACH-000381,-0.2482795474387851
ACH-000383,-0.2899293671579199
ACH-000387,-0.2744527449455416
ACH-000389,-0.07508791271778885
ACH-000390,-0.13302864413837712
ACH-000393,-0.3628602555728227
ACH-000395,-0.2646644710023249
ACH-000396,-0.5867545037747698
ACH-000397,-0.34024521089129983
ACH-000401,-0.33253745632236875
ACH-000402,-0.005241467941992621
ACH-000403,-0.2552976520427883
ACH-000404,-0.2545446575796555
ACH-000406,-0.4045236985972079
ACH-000407,-0.2731617676353468
ACH-000408,-0.2138134346047884
ACH-000410,-0.2310858090750839
ACH-000411,-0.11486484331180186
ACH-000414,-0.7408302116172986
ACH-000415,-0.34212425595115004
ACH-000416,-0.1883865790539332
ACH-000420,-0.4679571512191704
ACH-000421,-0.2368381693284747
ACH-000424,-0.28196252364870505
ACH-000425,-0.2590545745766369
ACH-000426,-0.2742287816307044
ACH-000427,-0.6215762720124822
ACH-000433,-0.3526378401572709
ACH-000435,-0.24539711406383996
ACH-000436,-0.09212391792392816
ACH-000444,-0.19265282376100384
ACH-000445,-0.24554854601959125
ACH-000448,-0.321375925604018
ACH-000450,-0.6399400009972307
ACH-000452,-0.2526111291247973
ACH-000454,-0.2814554122143662
ACH-000458,-0.0961508972582148
ACH-000459,-0.34417206382668303
ACH-000460,-0.1504277462102407
ACH-000461,-0.26292511881717645
ACH-000463,-0.19341047756550106
ACH-000464,-0.35709756532911074
ACH-000466,-0.3841668501189655
ACH-000467,-0.316891178378188
ACH-000468,-0.36016126298056794
ACH-000469,-0.3266442761805093
ACH-000470,-0.24730736384768245
ACH-000471,-0.16486186977727954
ACH-000472,-0.20122650370079104
ACH-000473,-0.2265796803537984
ACH-000475,-0.272319611031412
ACH-000476,-0.24954529176122986
ACH-000477,-0.17392884975316136
ACH-000479,-0.4447225622040196
ACH-000480,-0.20531560293229895
ACH-000481,-0.22509912345891733
ACH-000483,-0.34586861222122944
ACH-000484,-0.12211062000643097
ACH-000485,-0.09802130986966133
ACH-000486,-0.14180461727129393
ACH-000487,-0.41408956941257735
ACH-000488,-0.8662929294256849
ACH-000490,-0.1350790520296018
ACH-000491,-0.3902732324929172
ACH-000495,-0.06167632172253708
ACH-000496,-0.28087356190045043
ACH-000499,-0.10162729261930373
ACH-000500,-0.13361730912224135
ACH-000502,-0.32521807897397365
ACH-000503,-0.3661744385486509
ACH-000505,-0.21006562829855324
ACH-000507,-0.2825058734860063
ACH-000510,-0.1854887254837531
ACH-000511,-0.4019703932759011
ACH-000512,-0.60954905051758
ACH-000516,-0.17141729127375585
ACH-000517,-0.3119069118132225
ACH-000518,-0.23615472542014
ACH-000520,-0.43814553297329656
ACH-000521,-0.4165176594849604
ACH-000522,-0.3890530292672115
ACH-000524,-0.2388601518713018
ACH-000527,-0.27454050625958776
ACH-000528,-0.2976219810546354
ACH-000537,-0.1330655729183197
ACH-000541,-0.20122162970157875
ACH-000542,-0.1619366716607724
ACH-000544,-0.1522470960931185
ACH-000545,-0.2628241838141473
ACH-000547,-0.2695545444334947
ACH-000548,-0.21606480706927192
ACH-000549,-0.31441394080907503
ACH-000550,-0.373503203577943
ACH-000552,-0.2685293751405443
ACH-000556,-0.29896617595829
ACH-000557,-0.19375376457216476
ACH-000569,-0.7224628654710569
ACH-000570,-0.2893013917441426
ACH-000571,-0.31788611181832355
ACH-000573,-0.27944438885069944
ACH-000576,0.019612101820287563
ACH-000579,-0.3720883986646184
ACH-000580,-0.1510188473970935
ACH-000584,-0.40726332588845693
ACH-000585,-0.33659862541340674
ACH-000588,-0.8199790461752107
ACH-000589,-0.9151611625473964
ACH-000591,-0.2756336350411164
ACH-000593,-0.2446759146023773
ACH-000600,-0.2305715822063977
ACH-000601,-0.21447603772863166
ACH-000605,-0.12066159112048826
ACH-000606,-0.460741659945652
ACH-000608,-0.28042486046322457
ACH-000614,-0.5883235179580305
ACH-000616,-0.2448297802552
ACH-000618,-0.5476670371608239
ACH-000619,-0.3298446186229073
ACH-000620,-0.23656222204975125
ACH-000621,-0.2584614712384834
ACH-000622,-0.2841693821522457
ACH-000623,-0.2868629310329062
ACH-000624,-0.4673875787735202
ACH-000627,-0.2894669768148434
