,C4A (720)
ACH-000004,-0.3557496556338379
ACH-000005,-0.2993480079265316
ACH-000007,-0.25405550555002976
ACH-000009,-0.19627077774351187
ACH-000011,-0.10426351709412486
ACH-000012,-0.3296130201054763
ACH-000013,-0.26980987504692866
ACH-000014,-0.36513209467511
ACH-000015,-0.24168687119192164
ACH-000017,-0.1688104768477676
ACH-000018,-0.2608969461492611
ACH-000019,-0.2464598918221292
ACH-000021,-0.20044500406379934
ACH-000022,-0.17181213326562747
ACH-000025,-0.19754581834216886
ACH-000028,-0.3044801982083722
ACH-000030,-0.22272231781723695
ACH-000035,-0.16079173249058107
ACH-000036,-0.137186806078263
ACH-000037,-0.16364977311115994
ACH-000039,-0.2546835731892229
ACH-000040,-0.36333040561554997
ACH-000041,-0.19515300832484372
ACH-000042,-0.2181356009012102
ACH-000045,-0.2752600372162778
ACH-000047,-0.3272606926478521
ACH-000052,-0.3793589859898219
ACH-000053,-0.2737287511779329
ACH-000054,-0.2751483930751806
ACH-000055,-0.33979085580833623
ACH-000060,-0.2603980430419689
ACH-000067,-0.2614652836012363
ACH-000070,-0.29184515548818485
ACH-000075,-0.3558479656885876
ACH-000078,-0.3183035289285557
ACH-000082,-0.22276579657747814
ACH-000085,-0.4085986216423768
ACH-000086,-0.15210587378479354
ACH-000087,-0.21666940788542524
ACH-000092,-0.21998731912549707
ACH-000095,-0.19208302226588905
ACH-000097,-0.19129953896360602
ACH-000098,-0.21963842223120145
ACH-000099,-0.24440096295574
ACH-000108,-0.17627621703562255
ACH-000113,-0.2877066089384969
ACH-000116,-0.213465177495072
ACH-000118,-0.19502673828064512
ACH-000120,-0.2239896157982333
ACH-000123,-0.2761422712006984
ACH-000127,-0.3852270544561665
ACH-000128,-0.23947754869396584
ACH-000132,-0.2283463461180777
ACH-000133,-0.3685368766235081
ACH-000137,-0.2436928593836865
ACH-000138,-0.20791088787156645
ACH-000142,-0.32109987664857265
ACH-000143,-0.20371476152391155
ACH-000146,-0.292092459403192
ACH-000148,-0.0596126287407687
ACH-000150,-0.18839055767795976
ACH-000152,-0.2293991778713034
ACH-000153,-0.3773644842030023
ACH-000159,-0.2331449937894915
ACH-000160,-0.3731544088533149
ACH-000163,-0.23114594183296397
ACH-000167,-0.4893406244455227
ACH-000168,-0.20491478121387074
ACH-000169,-0.2703541261830087
ACH-000178,-0.20955855739647986
ACH-000183,-0.16784998381014465
ACH-000188,-0.21812267583909925
ACH-000189,-0.3509098079777165
ACH-000190,-0.2549257333463415
ACH-000198,-0.26189538171055804
ACH-000203,-0.12186940205929915
ACH-000204,-0.18332199615464628
ACH-000206,-0.3620878552864704
ACH-000207,-0.3918840086546496
ACH-000208,-0.10803566460744306
ACH-000210,-0.14872120870389602
ACH-000211,-0.3655181757966494
ACH-000215,-0.2492520753393932
ACH-000221,-0.21498828154190988
ACH-000222,-0.2767258672712153
ACH-000223,-0.2313281365644696
ACH-000226,-0.22209103740019034
ACH-000227,-0.14930548330757526
ACH-000228,-0.4489635492216301
ACH-000231,-0.18984270699152514
ACH-000232,-0.2338785172554917
ACH-000233,-0.4235565071587403
ACH-000234,-0.15772001413312206
ACH-000235,-0.2325411073707933
ACH-000237,-0.2281924978899833
ACH-000238,-0.24348404257899886
ACH-000242,-0.5032869473733721
ACH-000243,-0.2397880559261921
ACH-000244,-0.1412377346415626
ACH-000246,-0.26766114761722315
ACH-000248,-0.2750911848537176
