,GLIS1 (148979)
ACH-000203,0.26221557702194725
ACH-000204,-0.0413470113098702
ACH-000206,-0.14381479627341598
ACH-000207,0.0918476561712809
ACH-000208,0.34763271332069523
ACH-000210,-0.18617768049580727
ACH-000211,0.029162882881522505
ACH-000215,-0.002874766126102332
ACH-000221,-0.2852997595653634
ACH-000222,-0.08243807386243489
ACH-000223,0.08504683387189224
ACH-000226,-0.1063323132668689
ACH-000227,-0.050725380703371466
ACH-000228,-0.0938428730679344
ACH-000231,-0.05743543295424754
ACH-000232,-0.03000471809169563
ACH-000233,-0.02218997429771564
ACH-000234,-0.06671485258285427
ACH-000235,0.06869064868190519
ACH-000237,0.0063939016217624545
ACH-000238,-0.023923557284061075
ACH-000242,0.08476833233520134
ACH-000243,-0.040268848816504436
ACH-000244,-0.13289863875340066
ACH-000246,0.05496191229088645
ACH-000248,0.0875615610693667
ACH-000250,-0.022054604816821186
ACH-000251,-0.2118110647813373
ACH-000252,-0.2635168653649721
ACH-000253,-0.003860132200164817
ACH-000255,-0.16684067450560694
ACH-000256,-0.1927711538181607
ACH-000257,-0.04408124022639976
ACH-000258,0.007351437151738944
ACH-000259,-0.08756469433326007
ACH-000260,0.08986199914377731
ACH-000261,-0.006861882318632562
ACH-000262,-0.1611711838440879
ACH-000263,0.01110279198622833
ACH-000264,-0.01690502621921058
ACH-000265,0.08285364873725712
ACH-000266,0.02751399294872197
ACH-000272,-0.11255864331396484
ACH-000274,-0.05042753384619561
ACH-000277,0.04372999432305903
ACH-000278,-0.15868470411990795
ACH-000279,0.08583450673217784
ACH-000280,-0.009060944564750584
ACH-000281,0.04324652619661607
ACH-000288,-0.06906918005407768
ACH-000291,0.02391269800641207
ACH-000293,-0.07176714601655894
ACH-000294,-0.021156798278506875
ACH-000295,-0.2103990332005699
ACH-000296,-0.14655500687908096
ACH-000302,-0.02190573888182928
ACH-000304,0.13882486403239075
ACH-000307,-0.01471089425694754
ACH-000308,-0.01563858515736393
ACH-000310,-0.15432713653040578
ACH-000311,0.040003943863204695
ACH-000312,-0.1779346718631612
ACH-000315,-0.09645794060498147
ACH-000316,-0.018618411328937108
