,IL17REL (400935)
ACH-000004,0.007427063616936133
ACH-000005,0.017453475613549763
ACH-000007,0.15671120044065634
ACH-000009,-0.10234169914659297
ACH-000011,-0.03592561349497734
ACH-000012,0.1931004595994582
ACH-000013,0.11191827771236308
ACH-000014,0.02475861286176357
ACH-000015,-0.047267946959813664
ACH-000017,-0.010108108773362837
ACH-000018,-0.02469921678064049
ACH-000019,-0.1106826175219712
ACH-000021,0.041638842534723816
ACH-000022,0.08643998819630103
ACH-000025,-0.1901498524613757
ACH-000028,-0.03746766132783347
ACH-000030,-0.046560458792986384
ACH-000035,0.11718181036405595
ACH-000036,0.11615691593971465
ACH-000037,-0.198383943663203
ACH-000039,-0.20907078424209535
ACH-000040,0.01823503507951501
ACH-000041,-0.038255036388615465
ACH-000042,-0.033695145311452714
ACH-000045,0.023276698558250958
ACH-000047,0.15005324002434015
ACH-000052,-0.06018941865541366
ACH-000053,-0.021771463863056773
ACH-000054,0.09639773678726607
ACH-000055,0.03445311405066693
ACH-000060,-0.10768026668707233
ACH-000067,0.01826329767234549
ACH-000070,0.07440057096457224
ACH-000075,0.10895585737586376
ACH-000078,-0.09082534884498958
ACH-000082,0.06881384882510433
ACH-000085,-0.035372895651080066
ACH-000086,-0.04192910947582189
ACH-000087,0.10325104866758557
ACH-000092,0.06269972346122875
ACH-000095,0.03210534457367704
ACH-000097,-0.0397723345800932
ACH-000098,-0.013273120629676454
ACH-000099,-0.05180867650944828
ACH-000108,0.029977370801171226
ACH-000113,0.0009310429939096307
ACH-000116,0.05879045085833469
ACH-000118,-0.04776009797862945
ACH-000120,0.04786813611244258
ACH-000123,-0.03718889403627062
ACH-000127,0.09342149159772384
ACH-000128,-0.1236062368332923
ACH-000132,0.03753779570537676
ACH-000133,-0.03177535956522595
ACH-000137,0.0608675531751966
ACH-000138,0.06908342340273843
ACH-000142,0.1887509727310937
ACH-000143,-0.026790422018346687
ACH-000146,0.026800257562555708
ACH-000148,0.012072447003413877
ACH-000150,0.03346597054006546
ACH-000152,0.10443950465825524
ACH-000153,0.07998466120600292
ACH-000159,0.026327313773480982
ACH-000160,-0.04675171378479168
ACH-000163,0.10861426118585676
ACH-000167,0.031775280451036066
ACH-000168,0.07563428932926193
ACH-000169,0.07134768792324474
ACH-000178,-0.008434882115032946
ACH-000183,-0.012525652813599929
ACH-000188,0.2157537972607144
ACH-000189,-0.16694630448032607
ACH-000190,-0.06884477551269562
ACH-000198,0.04962649583748162
