,MCF2L2 (23101)
ACH-000004,-0.10677701430635096
ACH-000005,-0.13053074724534056
ACH-000007,0.04295003752970973
ACH-000009,-0.17192327436786478
ACH-000011,-0.19876776981005687
ACH-000012,-0.12013662361696535
ACH-000013,-0.03134833999270985
ACH-000014,-0.06047217684520465
ACH-000015,-0.14452124703433464
ACH-000017,-0.15765006272379922
ACH-000018,0.04496963272123634
ACH-000019,-0.12037177769739132
ACH-000021,0.010536462384693678
ACH-000022,-0.10754061208878672
ACH-000025,-0.032738835866946266
ACH-000028,-0.2087346599691464
ACH-000030,-0.06606333420083571
ACH-000035,-0.2224882883997324
ACH-000036,0.00818521761869713
ACH-000037,-0.15135735717598228
ACH-000039,-0.034139627835669296
ACH-000040,-0.059595419097738925
ACH-000041,-0.15643097440541642
ACH-000042,-0.2370537281147754
ACH-000045,0.04386606408242587
ACH-000047,-0.11154223957727907
ACH-000052,0.0374978202778684
ACH-000053,-0.13551285987210793
ACH-000054,-0.1971799148438817
ACH-000055,-0.056876755741381436
ACH-000060,-0.048570891285471034
ACH-000067,-0.1584159500291246
ACH-000070,-0.11189492649953124
ACH-000075,0.056452181823515066
ACH-000078,-0.2731629311712478
ACH-000082,-0.14156377304786724
ACH-000085,-0.017277944663187626
ACH-000086,-0.05093970187329473
ACH-000087,-0.13793594238626813
ACH-000092,-0.19902928709441448
ACH-000095,-0.13524972777381275
ACH-000097,-0.10725164977677913
ACH-000098,-0.18289911686912536
ACH-000099,-0.19778900113618286
ACH-000108,-0.12693774483833445
ACH-000113,-0.13156147513698865
ACH-000116,-0.18072356820858987
ACH-000118,-0.05441813938865134
ACH-000120,0.004485820425676093
ACH-000123,-0.062262035263828765
ACH-000127,-0.14888319089015126
ACH-000128,-0.109651354108226
ACH-000132,-0.08197034571781046
ACH-000133,-0.02918600499685957
ACH-000137,-0.20872961052170405
ACH-000138,-0.10605518646270368
ACH-000142,-0.10325597381084987
ACH-000143,-0.058527371912592926
ACH-000146,-0.09741137825530316
ACH-000148,-0.07328947323638903
ACH-000150,-0.0634145772817963
ACH-000152,-0.08058443816879507
ACH-000153,-0.12706634161880756
ACH-000159,-0.09524614436110566
ACH-000160,-0.19840176075961932
ACH-000163,-0.17741854084964953
ACH-000167,0.14264672602509987
ACH-000168,-0.024741134382772742
ACH-000169,-0.1335095597629489
ACH-000178,-0.08869691416409574
ACH-000183,-0.13313898017129766
ACH-000188,-0.006846614529176962
ACH-000189,-0.11264640912794292
ACH-000190,-0.4672364496020864
ACH-000198,-0.0361272886437832
ACH-000203,-0.5212086811952752
ACH-000204,-0.14753313180256414
ACH-000206,-0.04803909741707997
ACH-000207,0.01962437565528461
ACH-000208,-0.394047760390116
ACH-000210,-0.04936369011151077
ACH-000211,-0.09319137349566507
ACH-000215,-0.07706784196279114
ACH-000221,-0.12891009793208086
ACH-000222,0.0380448486328793
ACH-000223,-0.16139147183820654
