,MMS19 (64210)
ACH-000004,-0.6809868314768835
ACH-000005,-0.4583275639225937
ACH-000007,-1.2296505698966809
ACH-000009,-0.9482532594794488
ACH-000011,-1.1047847052594215
ACH-000012,-1.0216794044225566
ACH-000013,-1.0328357021629508
ACH-000014,-1.0898957043569608
ACH-000015,-0.8526669796008028
ACH-000017,-1.0510124365613394
ACH-000018,-1.1866174575268778
ACH-000019,-0.3985445433993445
ACH-000021,-0.8039155291420275
ACH-000022,-0.6821116466749477
ACH-000025,-1.1356262572149702
ACH-000028,-0.9114726536767571
ACH-000030,-0.9932802330861448
ACH-000035,-1.2537666077544256
ACH-000036,-0.8382364885542667
ACH-000037,-0.9006614988317505
ACH-000039,-0.9964573721097668
ACH-000040,-0.983520163116409
ACH-000041,-1.0608763484225878
ACH-000042,-0.9097690050406856
ACH-000045,-0.7107283980418855
ACH-000047,-0.7122842291877802
ACH-000052,-0.9686369790855662
ACH-000053,-0.7845374841260011
ACH-000054,-0.8059834109949531
ACH-000055,-1.12800535504674
ACH-000060,-0.8686039398291411
ACH-000067,-1.043772199859472
ACH-000070,-0.7861773710119112
ACH-000075,-0.8948585909584844
ACH-000078,-0.8749409960881849
ACH-000082,-0.7294568046349367
ACH-000085,-0.9487430789831652
ACH-000086,-1.0408906397478872
ACH-000087,-0.7418935830616447
ACH-000092,-0.8345820473359159
ACH-000095,-0.4653301543837565
ACH-000097,-0.6384382153574311
ACH-000098,-1.0713337269767078
ACH-000099,-0.923920321633944
ACH-000108,-0.6650547716708641
ACH-000113,-0.7559076911423191
ACH-000116,-0.8741472999877122
ACH-000118,-0.8201030640722898
ACH-000120,-0.9846975193976784
ACH-000123,-0.8211899095565076
ACH-000127,-1.0484976264044528
ACH-000128,-0.6459269734668736
ACH-000132,-0.9793425451263926
ACH-000133,-1.1089697901712587
ACH-000137,-0.9724661683930752
ACH-000138,-0.8354742975824662
ACH-000142,-0.9280537355278062
ACH-000143,-0.9457900345642248
ACH-000146,-0.6614140828760801
ACH-000148,-1.0836836967688637
ACH-000150,-0.980266330631228
ACH-000152,-0.8654876223343335
ACH-000153,-0.9800509351651472
ACH-000159,-0.8104635193335602
ACH-000160,-0.5737933383776497
ACH-000163,-0.9556147972421776
ACH-000167,-0.7662774267391262
ACH-000168,-0.6804129327001547
ACH-000169,-0.6611486233547671
ACH-000178,-0.917362521051572
ACH-000183,-0.5876373026570915
ACH-000188,-1.1047106910156597
ACH-000189,-0.8910608466619212
ACH-000190,-0.6454676849520575
ACH-000198,-0.6045034558623749
