,IFNA14 (3448)
ACH-000004,-0.0975854828405929
ACH-000005,0.05005945279582793
ACH-000007,-0.046027289215346434
ACH-000009,-0.21207891145750152
ACH-000011,-0.1516055069395201
ACH-000012,-0.008827933325322494
ACH-000013,-0.0008231993370653521
ACH-000014,-0.2046392365640428
ACH-000015,-0.0997255151282806
ACH-000017,-0.21051657738529808
ACH-000018,-0.14161496048737804
ACH-000019,-0.15355774637835093
ACH-000021,-0.22929369957678464
ACH-000022,-0.2071407631427193
ACH-000025,-0.239998700908285
ACH-000028,0.05295394256013683
ACH-000030,-0.2358579105378212
ACH-000035,0.0928178757618671
ACH-000036,-0.17334864232017938
ACH-000037,-0.07853889691579287
ACH-000039,-0.13599882919233047
ACH-000040,-0.08331847097713779
ACH-000041,-0.2992986833405556
ACH-000042,-0.17301950087162468
ACH-000045,-0.17040626106472553
ACH-000047,-0.07936598178113198
ACH-000052,-0.21888381530164486
ACH-000053,-0.17675289696813504
ACH-000054,-0.26778461369305384
ACH-000055,-0.15492156693874667
ACH-000060,-0.17689335443372206
ACH-000067,-0.2483477490793222
ACH-000070,-0.15842507596998098
ACH-000075,-0.09664485217616987
ACH-000078,-0.14474289568271262
ACH-000082,-0.2472742064395629
ACH-000085,-0.5267944287893309
ACH-000086,-0.0909452302808356
ACH-000087,0.020335849014148533
ACH-000092,-0.2446368346127677
ACH-000095,-0.2556301735914007
ACH-000097,-0.03211084030987507
ACH-000098,-0.17127220235901014
ACH-000099,-0.18870307437213374
ACH-000108,-0.034582273539404726
ACH-000113,-0.11828934187829294
ACH-000116,-0.16897877703498293
ACH-000118,-0.02597109478527109
ACH-000120,-0.17378432020286816
ACH-000123,-0.18467241714382265
ACH-000127,-0.22366311217929485
ACH-000128,-0.050158410976432366
ACH-000132,-0.2834216436632901
ACH-000133,-0.1971059719896419
ACH-000137,-0.16905496555173471
ACH-000138,-0.09681876322558036
ACH-000142,-0.16012007280814652
ACH-000143,-0.10989076457705592
ACH-000146,-0.10767598746066152
ACH-000148,-0.12958264511338902
ACH-000150,0.030402444197118413
ACH-000152,-0.2182408968269912
ACH-000153,-0.032257245862762234
ACH-000159,-0.30136794698881936
ACH-000160,-0.0067723554462039036
ACH-000163,-0.12442869194908655
ACH-000167,-0.5362721751566167
ACH-000168,-0.1897303182644271
ACH-000169,-0.19939724277324647
ACH-000178,0.014115692823635962
ACH-000183,-0.1468980717994842
ACH-000188,-0.20056129646266632
ACH-000189,-0.1947944275804692
ACH-000190,-0.17845719869478652
ACH-000198,-0.2106491454958821
ACH-000203,0.1139789090074058
ACH-000204,-0.4314985244214604
ACH-000206,-0.2999030666881715
ACH-000207,-0.053864421887256465
ACH-000208,-0.17230959442242574
ACH-000210,-0.20193659822744775
ACH-000211,-0.23052416816407034
ACH-000215,-0.262752379554347
ACH-000221,-0.19780990419955907
ACH-000222,-0.190535797445672
ACH-000223,-0.08816055277649876
ACH-000226,-0.03629091502322992
ACH-000227,-0.18593199056108964
ACH-000228,-0.13117653887537906
ACH-000231,-0.07686317172976301
ACH-000232,-0.29766597751147283
ACH-000233,-0.1276569919826149
ACH-000234,-0.1962083404595734
ACH-000235,-0.2158640851996229
ACH-000237,-0.2062306628205512
ACH-000238,-0.18461928851429776
ACH-000242,-0.12702085769207394
ACH-000243,-0.20890782637021504
ACH-000244,-0.0064470052784253795
ACH-000246,-0.1670539406259886
ACH-000248,-0.02835885582507317
ACH-000250,-0.102928973815288
ACH-000251,0.011113021561721123
ACH-000252,-0.08371215777527521
ACH-000253,-0.09692812936963556
ACH-000255,-0.02605136974099084
ACH-000256,-0.11882523464163346
ACH-000257,-0.22548994192930635
ACH-000258,-0.2283035606055389
ACH-000259,-0.20875955648074773
ACH-000260,-0.09319815727631857
ACH-000261,-0.27351474526608915
ACH-000262,-0.09667002504249007
ACH-000263,-0.5153174240986322
ACH-000264,-0.19067249525102192
ACH-000265,-0.20642809240592255
ACH-000266,-0.2048587428971991
ACH-000272,-0.2637188069099701
ACH-000274,-0.3077170162218612
ACH-000277,-0.12286566806084916
ACH-000278,-0.05243159570672761
ACH-000279,-0.25033215096967354
ACH-000280,-0.2123449112804456
ACH-000281,-0.03373938113887913
ACH-000288,-0.1471501363424088
ACH-000291,-0.2179956980166281
ACH-000293,-0.19602585477558065
ACH-000294,-0.12372914191107676
ACH-000295,-0.1646399066239447
ACH-000296,0.07079110702916891
ACH-000302,-0.20242217465021864
ACH-000304,-0.1412180471477434
ACH-000307,-0.048644671181328
ACH-000308,-0.02546756032122552
