,TAF1D (79101)
ACH-000004,-0.1064104735598223
ACH-000005,-0.2994288515148724
ACH-000007,-0.9348878843776484
ACH-000009,-0.17236207373508433
ACH-000011,-1.0012568837336595
ACH-000012,-0.6321552996117896
ACH-000013,-0.6140217573339251
ACH-000014,-0.32556624867112793
ACH-000015,-0.29737195829335833
ACH-000017,-0.2805024947259852
ACH-000018,-0.30703344048602943
ACH-000019,-0.3783672746290191
ACH-000021,-0.3756174616724222
ACH-000022,-0.4358834169585653
ACH-000025,-0.3969296458456206
ACH-000028,-0.6256577702629615
ACH-000030,-0.4520216807140057
ACH-000035,-0.3755960087443669
ACH-000036,-0.6156264843498098
ACH-000037,-0.7873251029756835
ACH-000039,-0.3602969926521892
ACH-000040,-0.5211617545955775
ACH-000041,-0.232443373203718
ACH-000042,-0.4692350536494141
ACH-000045,-0.4905730205882112
ACH-000047,-0.6018579247418508
ACH-000052,-0.2905465778416364
ACH-000053,-0.8182184639854341
ACH-000054,-0.48994850731838396
ACH-000055,-0.5151073604888368
ACH-000060,-0.6294570758910946
ACH-000067,-0.5031550736716031
ACH-000070,-0.5217292858139102
ACH-000075,-0.7782780593424908
ACH-000078,-0.4103034818274351
ACH-000082,-0.8051953019074176
ACH-000085,-0.5483152052867509
ACH-000086,-0.37062015593880254
ACH-000087,-0.5725757564087841
ACH-000092,-0.5779566544654797
ACH-000095,-0.5129078443435134
ACH-000097,-0.4535673044970189
ACH-000098,-0.2452711268520713
ACH-000099,-0.3058067080266896
ACH-000108,-0.5034311020420484
ACH-000113,-0.3595414951409459
ACH-000116,-0.35857354607193315
ACH-000118,-0.4618947949222904
ACH-000120,-0.446615007264616
ACH-000123,-0.6174386126128717
ACH-000127,-0.23115274211134698
ACH-000128,-0.3776824840521137
ACH-000132,-0.24289643679763764
ACH-000133,-0.5451690498912075
ACH-000137,-0.7446569294719015
ACH-000138,-0.4401668234909144
ACH-000142,-0.6994387719016292
ACH-000143,-0.4487714082551513
ACH-000146,-0.2729811849992229
ACH-000148,-0.5992406370902803
ACH-000150,-0.7449599133406357
ACH-000152,-0.5984302104419922
ACH-000153,-0.6549801553949876
ACH-000159,-0.5366960249323756
ACH-000160,-0.2862396994957163
ACH-000163,-0.6502818185175019
ACH-000167,-0.6290936223731964
ACH-000168,-0.6685698171993195
ACH-000169,-0.3886712665454177
ACH-000178,-0.5464036842240988
ACH-000183,-0.6417892528180354
ACH-000188,-0.7591436387925949
ACH-000189,-0.7883247812502729
ACH-000190,-0.4018058314973868
ACH-000198,-0.4829506407415676
ACH-000203,-0.5485625081056629
ACH-000204,-0.3004298331109554
ACH-000206,-1.0924400856918015
ACH-000207,-0.2652090884730948
ACH-000208,-0.699684768652955
ACH-000210,-0.2924888479091214
ACH-000211,-0.3610199288891862
ACH-000215,-0.6106958141073129
ACH-000221,-0.14740651250373962
ACH-000222,-0.36007872677483915
ACH-000223,-0.5457774525499605
ACH-000226,-0.5083878810400032
ACH-000227,-0.042266124016717005
ACH-000228,-0.6296559207033361
ACH-000231,-0.5733783927726712
ACH-000232,-0.4166832760355378
ACH-000233,-0.677893704529117
ACH-000234,-0.6030289240245557
ACH-000235,-0.42381862599286974
ACH-000237,-0.5653827321152198
ACH-000238,-0.5867230326502426
ACH-000242,-0.2525207959946865
ACH-000243,-0.5999732863716807
ACH-000244,-0.4726897104892847
ACH-000246,-0.7244379941326206
ACH-000248,-0.20686652795120167
ACH-000250,-0.4505551462088354
ACH-000251,-0.8842195686602012
ACH-000252,-0.5527670756319849
ACH-000253,-0.5079064987097279
ACH-000255,-0.6761057231455762
ACH-000256,-0.4531744305057951
ACH-000257,-0.3498941026852728
ACH-000258,-0.4998203817834802
ACH-000259,-0.39635595952133
ACH-000260,-0.6438776421103752
ACH-000261,-0.3668029321993307
ACH-000262,-0.6687187257068383
ACH-000263,-0.3869216768067805
ACH-000264,-0.3939519210357187
ACH-000265,-0.4082662815098633
ACH-000266,-0.6294443937568275
ACH-000272,-0.2696918391843723
ACH-000274,-0.5208535293443589
ACH-000277,-0.5600910502984576
