,BICD1 (636)
ACH-000004,-0.13380953222276454
ACH-000005,-0.2824052249260782
ACH-000007,0.18843633071720048
ACH-000009,-0.10993565341714713
ACH-000011,-0.16691569279900625
ACH-000012,0.11100380413952332
ACH-000013,-0.09242386879586344
ACH-000014,-0.15304231968822946
ACH-000015,-0.1977244581918471
ACH-000017,-0.18946526833149774
ACH-000018,-0.18715002111441084
ACH-000019,-0.143820390991495
ACH-000021,-0.12473484160601088
ACH-000022,-0.29639840598521383
ACH-000025,-0.0924368517744955
ACH-000028,-0.14921705027936258
ACH-000030,-0.01813799682064366
ACH-000035,-0.17136537184815978
ACH-000036,-0.06909636249990396
ACH-000037,-0.060755105369216
ACH-000039,-0.12827271892446865
ACH-000040,-0.01293419411018836
ACH-000041,-0.1697713801029019
ACH-000042,-0.14323605673006962
ACH-000045,-0.10696753103828813
ACH-000047,-0.23338015766497536
ACH-000052,-0.22929714656663644
ACH-000053,-0.18518361248436693
ACH-000054,-0.09977171352149762
ACH-000055,-0.03869585177031558
ACH-000060,-0.2304432458482195
ACH-000067,-0.07336875071300929
ACH-000070,-0.07927863166540826
ACH-000075,-0.06720507264609375
ACH-000078,-0.06132352889745304
ACH-000082,-0.15774166907487847
ACH-000085,-0.1698477727605722
ACH-000086,-0.12572636591667913
ACH-000087,0.024055781242123587
ACH-000092,-0.10727471689994383
ACH-000095,-0.13143544761685394
ACH-000097,-0.1404458971359473
ACH-000098,-0.1107309260190238
ACH-000099,-0.13080360867731836
ACH-000108,-0.017399238873125278
ACH-000113,-0.13002198115289446
ACH-000116,-0.4430470984994922
ACH-000118,-0.08761412851415991
ACH-000120,-0.06329558418423271
ACH-000123,-0.046084477663322285
ACH-000127,-0.2048968602196046
ACH-000128,-0.16235455378218264
ACH-000132,-0.16310339413142022
ACH-000133,-0.22020307018167126
ACH-000137,-0.055022716084698116
ACH-000138,-0.11761945132402753
ACH-000142,-0.037000188927096216
ACH-000143,-0.0007356085803577737
