,MATK (4145)
ACH-000004,-0.16996942150172786
ACH-000005,-0.051294999433168224
ACH-000007,-0.22363859990009566
ACH-000009,-0.34984377482193896
ACH-000011,-0.15103349333969496
ACH-000012,-0.16416390148967067
ACH-000013,-0.3624572439280084
ACH-000014,-0.2123836311446617
ACH-000015,-0.14291940745092355
ACH-000017,-0.2595808343729492
ACH-000018,-0.4214497767049088
ACH-000019,-0.3412333029689892
ACH-000021,-0.31034713222967514
ACH-000022,-0.14750365799903706
ACH-000025,-0.3232496852177328
ACH-000028,-0.3552049072038169
ACH-000030,-0.29368812102146097
ACH-000035,-0.15058096472328353
ACH-000036,-0.3469713407760747
ACH-000037,-0.19048209447215955
ACH-000039,-0.14367010364724184
ACH-000040,-0.2680718180164633
ACH-000041,-0.24191822519494505
ACH-000042,-0.16367175305674395
ACH-000045,-0.2251340542825148
ACH-000047,-0.4008038362284826
ACH-000052,-0.3694151616160041
ACH-000053,-0.19904955830596
ACH-000054,-0.3074505785845515
ACH-000055,-0.33710140055339555
ACH-000060,-0.1256346492716243
ACH-000067,-0.2456237795685493
ACH-000070,-0.2466556280078723
ACH-000075,-0.19538011980624764
ACH-000078,-0.18551395979318724
ACH-000082,-0.2169496916945534
ACH-000085,-0.0873404946070477
ACH-000086,-0.17249980848075486
ACH-000087,-0.10466337666545283
ACH-000092,-0.3083481625567472
ACH-000095,-0.2560101245773987
ACH-000097,-0.24001721414639796
ACH-000098,-0.2573103877765893
ACH-000099,-0.2297382570503374
ACH-000108,-0.3010731664021188
ACH-000113,-0.4005538858093307
ACH-000116,-0.2761329837384647
ACH-000118,-0.10614857098125267
ACH-000120,-0.2678805395809166
ACH-000123,-0.2646816976267863
ACH-000127,-0.4017203861710097
ACH-000128,-0.3268715521847815
ACH-000132,-0.3834598701511938
ACH-000133,-0.17766792152508404
ACH-000137,-0.4166301152821245
ACH-000138,-0.3216776608267121
ACH-000142,-0.3856443387939765
ACH-000143,-0.2441237512108565
ACH-000146,-0.2944497764701224
ACH-000148,-0.31732079213293607
ACH-000150,-0.3041259527668335
ACH-000152,-0.2171925328797122
ACH-000153,-0.07700488725646894
ACH-000159,-0.24913603352676764
ACH-000160,-0.18937547148254447
ACH-000163,-0.3053251831552182
ACH-000167,-0.7298642024710038
ACH-000168,-0.4602618698207954
ACH-000169,-0.3244140907934752
ACH-000178,-0.2026365424244237
ACH-000183,-0.3346733140775631
ACH-000188,-0.22061430404723928
ACH-000189,-0.5581921780740774
ACH-000190,-0.3324575105627535
ACH-000198,-0.2002732963953408
ACH-000203,-0.4842935137516295
ACH-000204,-0.20128839674633464
ACH-000206,-0.2859359750733792
ACH-000207,0.04884345147193308
ACH-000208,-0.23136201364579626
ACH-000210,-0.15226782593042748
ACH-000211,-0.22060564527120846
ACH-000215,-0.20982373434208434
ACH-000221,-0.4137938049478922
ACH-000222,-0.06480314096645674
ACH-000223,-0.2824735524659085
ACH-000226,-0.1424161729416751
ACH-000227,-0.2926143744296953
ACH-000228,-0.2138628338163235
ACH-000231,-0.2298081781062644
ACH-000232,-0.14244667674273456
ACH-000233,-0.3575557498093722
ACH-000234,-0.2910947569652222
ACH-000235,-0.20121574506045994
ACH-000237,-0.28528465833984545
ACH-000238,-0.4135021004561631
ACH-000242,-0.4258090126818995
ACH-000243,-0.30260563256773915
ACH-000244,-0.4808084668294384
ACH-000246,-0.2848635790171242
ACH-000248,-0.2488366209280496
ACH-000250,-0.2292254139635353
ACH-000251,0.20562812874846068
ACH-000252,-0.10241831135778794
ACH-000253,-0.2962558766323936
ACH-000255,-0.33451581042292444
ACH-000256,-0.17803626482604787
ACH-000257,-0.19927827816004107
ACH-000258,-0.2350222712356157
ACH-000259,-0.19661568954567055
ACH-000260,-0.22341584325565148
ACH-000261,-0.3591826600536757
ACH-000262,-0.19606180923305416
ACH-000263,0.1367823030826452
ACH-000264,-0.18674272440114853
ACH-000265,-0.21122692684439973
ACH-000266,-0.2598260464523108
ACH-000272,-0.21405584602582486
ACH-000274,-0.20914144073366392
ACH-000277,-0.3719031616700712
ACH-000278,-0.1877961616662111
ACH-000279,-0.2821219294461665
ACH-000280,-0.4388632459808322
ACH-000281,-0.2280855250632174
ACH-000288,-0.03846498157323705
ACH-000291,-0.33730498845263285
ACH-000293,-0.4457359365322462
ACH-000294,-0.20033812689054928
ACH-000295,-0.3137461671044538
ACH-000296,-0.12426781073799745
ACH-000302,-0.3624989953571437
ACH-000304,-0.22946890872111605
ACH-000307,-0.2612264146487987
ACH-000308,-0.2338011906953507
ACH-000310,-0.2951006690603293
ACH-000311,-0.3897697230953837
ACH-000312,-0.22308975877933887
ACH-000315,-0.10635066395077687
ACH-000316,-0.12693021146740227
ACH-000317,-0.09856040932426303
