,BACE1 (23621)
ACH-000004,-0.13365555214405245
ACH-000005,-0.13791117938552105
ACH-000007,-0.1824246273782707
ACH-000009,-0.27289887377954314
ACH-000011,-0.1885655622959568
ACH-000012,-0.18306984109977129
ACH-000013,-0.13175457536956767
ACH-000014,-0.05164544235099787
ACH-000015,-0.09090839995944876
ACH-000017,-0.25621515728697497
ACH-000018,-0.16045160957088567
ACH-000019,-0.2859205469825913
ACH-000021,-0.09600697817414684
ACH-000022,-0.0945072083302394
ACH-000025,-0.2689096488006472
ACH-000028,-0.3689107214124434
ACH-000030,-0.06153688308392671
ACH-000035,0.001987296593913607
ACH-000036,-0.056854452240380215
ACH-000037,-0.15179595148053512
ACH-000039,-0.12808033065678942
ACH-000040,-0.21821742350469006
ACH-000041,-0.10447991721542757
ACH-000042,-0.14019582018337678
ACH-000045,-0.28259598885085485
ACH-000047,-0.11318028983255082
ACH-000052,-0.217652594632396
ACH-000053,-0.17169211875151208
ACH-000054,-0.08573931608698236
ACH-000055,-0.2202906910476801
ACH-000060,-0.06958711459444931
ACH-000067,0.02907807668639508
ACH-000070,-0.07949398496818716
ACH-000075,-0.2524524728560766
ACH-000078,-0.16114492476518982
ACH-000082,-0.12925991048137767
ACH-000085,-0.05329132612759743
ACH-000086,-0.10938514973994658
ACH-000087,-0.3480368155364201
ACH-000092,-0.10742020457608324
ACH-000095,-0.17912086479347036
ACH-000097,-0.16592510851031558
ACH-000098,-0.16004102870142425
ACH-000099,-0.15699365364121812
ACH-000108,-0.1570227800419213
ACH-000113,-0.12994830269492044
ACH-000116,-0.2600374479736509
ACH-000118,-0.01206885539143478
ACH-000120,-0.121889507974168
ACH-000123,-0.287214169668939
ACH-000127,-0.2444885363039871
ACH-000128,-0.10891337226628812
ACH-000132,-0.2965213846064937
ACH-000133,-0.04484347729108706
ACH-000137,-0.13867803243149962
ACH-000138,-0.1981417504712324
ACH-000142,-0.07041809093367946
ACH-000143,-0.17756955042457578
ACH-000146,-0.14365831390775818
ACH-000148,-0.10867616452408184
ACH-000150,-0.11520587889293835
ACH-000152,-0.1341597810714241
ACH-000153,-0.12764408478814332
ACH-000159,-0.0943538128224515
ACH-000160,-0.0671773616455762
ACH-000163,-0.12268995771241115
ACH-000167,-0.23346453713521376
ACH-000168,-0.3430060367321809
ACH-000169,-0.15642007656147652
ACH-000178,-0.17287980273831424
ACH-000183,-0.13335769995556365
ACH-000188,-0.1381306980740878
ACH-000189,-0.1920522190103682
ACH-000190,-0.331835812206225
ACH-000198,-0.24070584846181456
ACH-000203,-0.11576632105043172
ACH-000204,-0.03354891819802151
ACH-000206,-0.3191475683326245
ACH-000207,-0.04094276744457128
ACH-000208,-0.11318221891946888
ACH-000210,-0.009866599013303449
ACH-000211,-0.0932588870651716
ACH-000215,-0.10468016061426608
ACH-000221,-0.1798423525395178
ACH-000222,-0.03927492323145168
ACH-000223,-0.0918200305595499
ACH-000226,-0.08778619109203158
ACH-000227,-0.35325526895873444
ACH-000228,-0.2258322661455427
ACH-000231,-0.11088298769961027
ACH-000232,-0.12066185113414735
ACH-000233,-0.2165441909153822
ACH-000234,-0.14918402051577245
ACH-000235,-0.16767174965957027
ACH-000237,-0.1453433588694699
ACH-000238,-0.09754552133494583
ACH-000242,-0.032213940777992806
ACH-000243,-0.09537353487863554
ACH-000244,-0.1278465365867219
ACH-000246,-0.15877529084105074
ACH-000248,-0.11124847688092848
ACH-000250,-0.2029511642338194
ACH-000251,-0.19009815162422175
ACH-000252,-0.15501821534640514
ACH-000253,-0.183720969827224
ACH-000255,-0.1581406158465475
ACH-000256,-0.038980039697474114
ACH-000257,-0.03708342344218549
ACH-000258,-0.047457289947909966
ACH-000259,-0.029990239528950656
ACH-000260,-0.09395407032342792
ACH-000261,-0.16211134187157938
ACH-000262,-0.07926491747968893
ACH-000263,-0.382635794298928
ACH-000264,-0.1451547477117545
ACH-000265,-0.10912288499461308
ACH-000266,-0.13685488942954313
ACH-000272,-0.1723427287740397
ACH-000274,-0.2150316038932643
ACH-000277,-0.12187491301675947
ACH-000278,-0.16484440679105564
ACH-000279,-0.1878126750106716
ACH-000280,-0.09015269138731402
ACH-000281,-0.27135900157386583
ACH-000288,-0.1589746817636161
ACH-000291,-0.22697389279035754
ACH-000293,-0.13890216870413818
ACH-000294,-0.08817852090900151
ACH-000295,-0.22606104355324794
ACH-000296,-0.176463761507085
ACH-000302,0.004521124200848209
ACH-000304,-0.13076774600208652
ACH-000307,-0.1041676710128688
ACH-000308,-0.21614986083887167
ACH-000310,-0.2032464886367618
ACH-000311,-0.107861028397891
ACH-000312,-0.3247651193940366
ACH-000315,-0.18625136935140216
ACH-000316,-0.21632446051072235
ACH-000317,-0.3880301072115587
ACH-000318,-0.188688603025962
ACH-000319,-0.2616095488461113
ACH-000320,-0.10245095216051664
ACH-000322,-0.15730630518169578
ACH-000323,-0.10431466106553457
ACH-000324,-0.16832226046087026
ACH-000329,0.04228355167963407
ACH-000330,-0.24462366531581176
ACH-000331,-0.11054315484738192
ACH-000332,-0.2636820960346857
ACH-000334,-0.3310525049381949
ACH-000335,-0.12966583147824318
ACH-000336,-0.14055906536730667
ACH-000337,-0.02719664266906035
ACH-000338,-0.15193775370810053
ACH-000339,-0.02253634687797728
ACH-000341,-0.16965105245712478
ACH-000348,-0.24694095216722106
ACH-000350,-0.22456306077560811
ACH-000352,-0.11752778282650715
ACH-000356,-0.29517212242641944
ACH-000361,-0.21331190105600129
ACH-000362,-0.12072804478980513
ACH-000363,-0.20073378866843536
ACH-000364,-0.2421199221713008
ACH-000365,-0.07317709734232784
ACH-000366,-0.1042101330895954
ACH-000368,-0.04500203719090445
ACH-000374,-0.3480239197462142
ACH-000375,-0.044859779990970086
ACH-000376,-0.2635213294881014
ACH-000381,-0.13780741752707856
ACH-000383,-0.1407689279859978
ACH-000387,-0.12409742369594035
ACH-000389,-0.08742711639345435
ACH-000390,-0.09008254272573724
ACH-000393,-0.16854605523809907
ACH-000395,-0.059000975900868974
ACH-000396,-0.07016966938610833
ACH-000397,-0.23008982427144925
ACH-000401,-0.21034979519214225
ACH-000402,-0.3139345878949477
ACH-000403,-0.22586108443921815
ACH-000404,0.10441679346392596
ACH-000406,-0.22274047275449216
ACH-000407,-0.19938291241801032
ACH-000408,-0.04522934622304516
ACH-000410,-0.13208223391886922
ACH-000411,-0.15791406447331682
ACH-000414,-0.15343194724153927
ACH-000415,-0.12681567035379354
ACH-000416,-0.09060627840551792
ACH-000420,-0.21530038304041932
ACH-000421,-0.18408187103555884
