,AIF1 (199)
ACH-000004,-0.4253977730350057
ACH-000005,-0.06943875634283839
ACH-000007,-0.228058534817607
ACH-000009,-0.11817609583734205
ACH-000011,-0.2011668627697848
ACH-000012,-0.08057981471703449
ACH-000013,-0.3049361468251557
ACH-000014,-0.3077034827183072
ACH-000015,-0.14353283651080154
ACH-000017,-0.1885219558601288
ACH-000018,-0.04076387435951088
ACH-000019,-0.1366504001189188
ACH-000021,-0.13537353626660248
ACH-000022,-0.0904260855427549
ACH-000025,-0.005369899249367164
ACH-000028,-0.17944191457937242
ACH-000030,-0.14873728257790067
ACH-000035,-0.23417411864463225
ACH-000036,-0.0889584636649559
ACH-000037,-0.2581000319250356
ACH-000039,-0.21715861816770432
ACH-000040,-0.2567883689441852
ACH-000041,-0.30087357244452284
ACH-000042,-0.06204800414638604
ACH-000045,-0.2398876481856768
ACH-000047,-0.20456142328228852
ACH-000052,-0.09393014741045937
ACH-000053,-0.21380693264415307
ACH-000054,-0.2560783611526252
ACH-000055,-0.26699017274353665
ACH-000060,-0.2546394726948064
ACH-000067,-0.12221240593703518
ACH-000070,-0.1908927729536324
ACH-000075,-0.1164542813663079
ACH-000078,-0.2823173472609468
ACH-000082,-0.1723028471925965
ACH-000085,-0.3813812940590642
ACH-000086,-0.25782100444058154
ACH-000087,-0.1271688884817692
ACH-000092,-0.20574377617316345
ACH-000095,-0.1437730079943275
ACH-000097,-0.2394272059048173
ACH-000098,-0.18526884617859132
ACH-000099,-0.18620297241121395
ACH-000108,-0.34479199524754384
ACH-000113,-0.2428961581683773
ACH-000116,-0.16114071975782251
ACH-000118,-0.10280154588199453
ACH-000120,-0.17569677373240442
ACH-000123,-0.14167447678577202
ACH-000127,-0.25687329195578595
ACH-000128,-0.2603789117291801
ACH-000132,-0.16433025855192113
ACH-000133,-0.2094632048459891
ACH-000137,-0.12604551866091804
ACH-000138,-0.25795748152340403
ACH-000142,-0.1801577118442125
ACH-000143,-0.3111078595877373
ACH-000146,-0.17786804672315634
ACH-000148,-0.11610805141962675
ACH-000150,-0.2475265803488249
ACH-000152,-0.2823673552390429
ACH-000153,-0.1934181133602851
ACH-000159,-0.16983506781283506
ACH-000160,-0.1704646891744171
ACH-000163,-0.06495028078055103
ACH-000167,-0.20582241963329145
ACH-000168,-0.10853307263202858
ACH-000169,-0.11297483093537986
ACH-000178,-0.1421979610030378
ACH-000183,-0.299763619572137
ACH-000188,-0.09143501305163083
ACH-000189,-0.17294444635477127
ACH-000190,-0.2365518284787945
ACH-000198,-0.19812853264786653
ACH-000203,-0.25641185495030105
ACH-000204,-0.2804734255799454
ACH-000206,-0.43088475446999097
ACH-000207,-0.1941998619365102
ACH-000208,-0.16750863010034472
ACH-000210,-0.11776172533280248
ACH-000211,-0.15298446188266446
ACH-000215,-0.2750606257084334
ACH-000221,-0.11816853824555115
ACH-000222,-0.033698578598637244
ACH-000223,-0.23841189245884936
ACH-000226,-0.2451719602663413
ACH-000227,-0.16331917985072011
ACH-000228,-0.2831817789877493
ACH-000231,-0.2801495515469979
ACH-000232,-0.05290792260271546
ACH-000233,-0.3762070890106662
ACH-000234,-0.21373524036793493
ACH-000235,-0.1474689495882006
ACH-000237,-0.26968393729836665
ACH-000238,-0.15119770788643974
ACH-000242,-0.3456992636048938
ACH-000243,-0.2104281811836577
ACH-000244,-0.1534646451996796
ACH-000246,-0.19767767403152656
ACH-000248,-0.28734995702155536
ACH-000250,-0.2616375227916126
ACH-000251,-0.2485860377397644
ACH-000252,-0.24205741925593954
ACH-000253,-0.14833060700157996
ACH-000255,-0.19997220965244414
ACH-000256,-0.1840108314310253
ACH-000257,-0.2411701659194936
ACH-000258,-0.0349669286038416
ACH-000259,-0.2215646707487904
ACH-000260,-0.1855125113729856
ACH-000261,-0.250344865539282
ACH-000262,-0.1531188469422927
ACH-000263,-0.2674847291777559
ACH-000264,-0.2449093577247705
ACH-000265,-0.14625875088525825
ACH-000266,-0.2159939126516565
ACH-000272,-0.22395389613109135
ACH-000274,-0.17344762195719232
ACH-000277,-0.24557650481542925
ACH-000278,-0.0934383407187566
ACH-000279,-0.18911754315989912
ACH-000280,-0.2306235189208829
ACH-000281,-0.35870114033756506
ACH-000288,-0.14977185544525493
ACH-000291,-0.15600662871565446
ACH-000293,-0.04060006408029477
ACH-000294,-0.09003638289600573
ACH-000295,-0.5076835511580619
ACH-000296,-0.2075569465303868
ACH-000302,-0.3065360600640353
ACH-000304,-0.04182529971523463
ACH-000307,-0.16844431144358987
ACH-000308,-0.172638191724007
ACH-000310,-0.04281805922941266
ACH-000311,-0.15210804424836086
ACH-000312,-0.2211738420431971
ACH-000315,-0.07841502712163544
ACH-000316,-0.27740233925542085
ACH-000317,-0.22445643196625126
ACH-000318,-0.27550737317696633
ACH-000319,-0.23299161951002034
ACH-000320,-0.15581280557364804
ACH-000322,-0.17831870171974598
ACH-000323,-0.1509625546162432
