,B3GAT2 (135152)
ACH-000004,0.11909642638852615
ACH-000005,0.00280979338805053
ACH-000007,-0.1716958359143228
ACH-000009,0.03902138671043708
ACH-000011,0.05583682644502246
ACH-000012,-0.055379273224066605
ACH-000013,-0.12719025799445766
ACH-000014,-0.13391957327026768
ACH-000015,-0.1459218329898658
ACH-000017,-0.07098627642122825
ACH-000018,-0.08561287074392368
ACH-000019,-0.16148372504245434
ACH-000021,-0.2516922999497657
ACH-000022,0.03625138651086225
ACH-000025,-0.14302232235717546
ACH-000028,-0.13261097185195928
ACH-000030,-0.2518531707645794
ACH-000035,0.08039489105211835
ACH-000036,-0.194654175227596
ACH-000037,-0.06687715902167153
ACH-000039,0.0066437864927881285
ACH-000040,-0.1615251134644842
ACH-000041,-0.11381223199516655
ACH-000042,-0.09570410628044326
ACH-000045,-0.004959859142205739
ACH-000047,-0.10477583109536497
ACH-000052,-0.17723147791116556
ACH-000053,-0.10867768816126004
ACH-000054,-0.1147713544333624
ACH-000055,-0.2332892762317555
ACH-000060,-0.03633855992506576
ACH-000067,-0.2077146604708256
ACH-000070,-0.01983634275064544
ACH-000075,-0.010824085337018587
ACH-000078,-0.05566004257717002
ACH-000082,-0.14024578340522698
ACH-000085,-0.17272745038393322
ACH-000086,-0.09472802144902068
ACH-000087,-0.03411171037824882
ACH-000092,-0.14306152301394992
ACH-000095,-0.019379017010900296
ACH-000097,-0.1884867407436022
ACH-000098,-0.18537584732965512
ACH-000099,-0.1087227814194778
ACH-000108,-0.16645651935959624
ACH-000113,-0.030857570063996007
ACH-000116,-0.1968461769975178
ACH-000118,-0.10944914852133046
ACH-000120,-0.2398280964574264
ACH-000123,-0.1356084791541787
ACH-000127,-0.23641560134364564
ACH-000128,-0.06170350826548979
ACH-000132,-0.25125965927656085
ACH-000133,-0.297360539527862
ACH-000137,-0.11222847819144062
ACH-000138,-0.22958226249695066
ACH-000142,-0.08405396473015192
ACH-000143,-0.3371291482785693
ACH-000146,-0.09653981704953607
ACH-000148,-0.15089785536675232
ACH-000150,-0.21099430692567828
ACH-000152,-0.14635814751549855
ACH-000153,-0.5422381656666215
ACH-000159,-0.13383581718649426
ACH-000160,-0.05650094290276109
ACH-000163,-0.0028617621853537266
ACH-000167,-0.21123115120160127
ACH-000168,-0.08559313901881263
ACH-000169,-0.028276377683349774
ACH-000178,-0.1361260838208124
ACH-000183,-0.18204280875792603
ACH-000188,-0.20900097950225516
ACH-000189,-0.20082272996932898
ACH-000190,0.00043428597945325615
ACH-000198,-0.3105476250753184
ACH-000203,-0.6747341160531497
ACH-000204,0.11707524514248445
ACH-000206,-0.15537554256147734
