,LIPG (9388)
ACH-000004,0.07237800120780767
ACH-000005,0.14340669021697544
ACH-000007,-0.07440436780996333
ACH-000009,0.08434432137205877
ACH-000011,0.18279596442003965
ACH-000012,0.14103150887626328
ACH-000013,0.09961920788098086
ACH-000014,0.14252411014721275
ACH-000015,0.09797732039643424
ACH-000017,0.22391889627400055
ACH-000018,0.2469247068645299
ACH-000019,0.11609812316536434
ACH-000021,0.22307720298760614
ACH-000022,0.10486802958737916
ACH-000025,0.08468743065687541
ACH-000028,0.10399584744935156
ACH-000030,0.04927363540989712
ACH-000035,0.1289549977661623
ACH-000036,0.21861706051243884
ACH-000037,0.16314418561687624
ACH-000039,0.06259133521318272
ACH-000040,0.2526716665429949
ACH-000041,0.10712016047724124
ACH-000042,0.09854159117987354
ACH-000045,0.17588834284321878
ACH-000047,0.2583123379148178
ACH-000052,0.15348886119184285
ACH-000053,0.1630344714238804
ACH-000054,0.19430191008966885
ACH-000055,-0.055713554750587015
ACH-000060,0.20569999615690332
ACH-000067,0.10975226820934332
ACH-000070,-0.04436305181905685
ACH-000075,0.004448349653067904
ACH-000078,0.1225477650364488
ACH-000082,0.2229055260805216
ACH-000085,0.17081413019292674
ACH-000086,0.2301490167431641
ACH-000087,0.1172951910503607
ACH-000092,0.18965635419235832
ACH-000095,0.13425054683624968
ACH-000097,0.2430167048360868
ACH-000098,0.2055766961538984
ACH-000099,0.07484230634466006
ACH-000108,0.1586182885409477
ACH-000113,0.012870770810137565
ACH-000116,0.12299935926242556
ACH-000118,0.17022693812665324
ACH-000120,0.3505865863202931
ACH-000123,0.19289832105206686
ACH-000127,0.1965372212140324
ACH-000128,0.229143147898654
ACH-000132,0.05601783162480015
ACH-000133,0.17320353643790734
ACH-000137,0.1591824665447345
ACH-000138,0.13380117636927372
ACH-000142,0.10344251495473476
ACH-000143,-0.02034730835895259
ACH-000146,0.13470993761261574
ACH-000148,0.20196308152084191
ACH-000150,0.19301881825085768
ACH-000152,0.2401620806188693
ACH-000153,0.07113630284942715
ACH-000159,0.29194243182109875
ACH-000160,0.15036760121149895
