,LNP1 (348801)
ACH-000004,-0.1241778058754492
ACH-000005,-0.026609372469274296
ACH-000007,-0.017893987815061328
ACH-000009,-0.1829711916414743
ACH-000011,-0.11681656771274608
ACH-000012,-0.1426361211757821
ACH-000013,0.03323047670214753
ACH-000014,-0.13618696128899593
ACH-000015,-0.0831802191908605
ACH-000017,-0.09335091868510366
ACH-000018,-0.04599338945150525
ACH-000019,-0.1796331057961104
ACH-000021,-0.08389077070931868
ACH-000022,-0.068963885377711
ACH-000025,-0.08171859762113763
ACH-000028,-0.1413643526634916
ACH-000030,-0.06489359545964618
ACH-000035,-0.1777977462784527
ACH-000036,-0.19361172317493905
ACH-000037,-0.16697065194358646
ACH-000039,-0.08737710327270602
ACH-000040,-0.16229538090980333
ACH-000041,-0.05047474929765287
ACH-000042,0.008910547523336056
ACH-000045,0.03850294261093889
ACH-000047,-0.09675693308588433
ACH-000052,-0.13273404094710572
ACH-000053,-0.15036112757284512
ACH-000054,-0.2434923738730527
ACH-000055,0.0055753098726362285
ACH-000060,-0.3115840552435777
ACH-000067,-0.21093541843878205
ACH-000070,-0.03509892337972064
ACH-000075,0.013142436258238237
ACH-000078,-0.19737316551485093
ACH-000082,-0.06931494166550478
ACH-000085,0.07758605348683661
ACH-000086,-0.11310078441893825
ACH-000087,0.11612714529287115
ACH-000092,-0.13991590195655865
ACH-000095,-0.09283927184371778
ACH-000097,-0.10974267435231863
ACH-000098,-0.045125418653553566
ACH-000099,-0.029030244734256864
ACH-000108,-0.11469114026997194
ACH-000113,-0.14182462958768025
ACH-000116,-0.08221083823284933
ACH-000118,-0.1559059472368663
ACH-000120,-0.09184884619402024
ACH-000123,-0.22146184273776326
ACH-000127,-0.1661270018845027
ACH-000128,-0.142485053761048
ACH-000132,-0.3010458774924021
ACH-000133,-0.1396257582659622
ACH-000137,-0.04982068613766999
ACH-000138,0.0001313917670519444
ACH-000142,-0.2535655741428523
ACH-000143,-0.051370810830344
ACH-000146,-0.11306434731965664
ACH-000148,-0.07500709283040652
ACH-000150,-0.13882952908320118
ACH-000152,-0.2502348561657604
ACH-000153,-0.1863195850683753
ACH-000159,-0.11541625472283958
ACH-000160,0.022270448086491614
ACH-000163,-0.1470540009879926
ACH-000167,-0.1528016213518204
ACH-000168,0.06447440594347295
ACH-000169,-0.1843213256703188
ACH-000178,0.045366984805166884
ACH-000183,-0.08943275063131917
ACH-000188,-0.1875968211984385
ACH-000189,-0.16846630127699028
ACH-000190,0.025275332346555848
ACH-000198,-0.10257818204168392
ACH-000203,-0.2797206711972266
ACH-000204,-0.13900921343018854
ACH-000206,0.04251812975126292
ACH-000207,-0.0685800492452517
ACH-000208,-0.07691865509059627
ACH-000210,-0.13977160379634276
ACH-000211,-0.2034435993553318
ACH-000215,-0.07940084568843994
ACH-000221,-0.03768778495545324
ACH-000222,-0.2272732538348408
ACH-000223,-0.007090725612520039
ACH-000226,-0.2508345692777774
ACH-000227,-0.1557344901263688
ACH-000228,-0.18669216121665552
ACH-000231,-0.1555744395496129
ACH-000232,-0.1285809015249979
ACH-000233,-0.146231419263331
ACH-000234,-0.044873601690146175
ACH-000235,-0.11467496419195705
ACH-000237,-0.1079746851765569
ACH-000238,-0.14054946512899355
ACH-000242,-0.05639696498071885
ACH-000243,-0.01318358477537651
ACH-000244,-0.11026219836672553
ACH-000246,-0.17643319837898694
ACH-000248,-0.1825340051772305
ACH-000250,-0.06602818628275631
ACH-000251,-0.029734177278374917
ACH-000252,-0.0504948620605308
ACH-000253,-0.09402287245840033
ACH-000255,-0.013020636123335596
ACH-000256,-0.01938883891707362
ACH-000257,-0.160338689309638
ACH-000258,-0.01354966575661738
ACH-000259,-0.14109472878468118
ACH-000260,-0.116330367760105
ACH-000261,-0.1134924426672004
ACH-000262,0.0037045971793821545
ACH-000263,-0.10273088611210973
ACH-000264,0.003058900771986018
ACH-000265,-0.057115036619203086
ACH-000266,-0.04382155762971296
ACH-000272,-0.1405779267680055
ACH-000274,-0.06880300261026423
ACH-000277,-0.054566354885768206
ACH-000278,-0.18122530998313074
ACH-000279,-0.11356623468495115
ACH-000280,-0.10611978784904212
ACH-000281,0.06378949914428611
ACH-000288,-0.06563520916834549
ACH-000291,0.009093649710118754
ACH-000293,-0.023184172980282497
ACH-000294,-0.10864324413161464
ACH-000295,-0.1335625209267403
ACH-000296,-0.1478578446879262
ACH-000302,-0.08923911790761292
ACH-000304,-0.1251678214618909
ACH-000307,-0.03821156766915428
ACH-000308,-0.09518647594986078
ACH-000310,-0.04114307186076074
ACH-000311,-0.15094739743226654
ACH-000312,-0.006834817062810018
ACH-000315,-0.20217950912820665
ACH-000316,-0.12146387401298026
ACH-000317,-0.08340123740174367
ACH-000318,-0.24248384551155905
ACH-000319,-0.16208567458827788
ACH-000320,-0.3098252456357293
ACH-000322,-0.11281974392056945
ACH-000323,-0.1507717378308387
ACH-000324,-0.08267990967104369
ACH-000329,-0.14179803681836495
ACH-000330,-0.06321690415972749
ACH-000331,-0.19448399460368454
ACH-000332,0.0095506173459045
ACH-000334,-0.20793689385418232
ACH-000335,-0.13287951354218336
ACH-000336,-0.13208462039721114
ACH-000337,-0.14750309938075046
ACH-000338,-0.3666455838177128
ACH-000339,-0.16588580201797726
ACH-000341,-0.24469433270937596
ACH-000348,-0.042268713071444926
ACH-000350,-0.0709319425291029
ACH-000352,-0.10933017743264292
ACH-000356,-0.04212976621566388
ACH-000361,-0.2542214727995798
ACH-000362,-0.05243408807556866
ACH-000363,-0.012173304588379931
ACH-000364,-0.23260522597362285
ACH-000365,-0.033361213377462035
ACH-000366,-0.11770347451500456
ACH-000368,-0.2880173896684166
ACH-000374,0.001496321542065013
ACH-000375,-0.1589625788035679
ACH-000376,-0.14298354330027602
ACH-000381,-0.1247503130898998
ACH-000383,-0.05329774698700954
ACH-000387,-0.09681558688951562
ACH-000389,0.0011014672777935996
ACH-000390,-0.15711142376958118
ACH-000393,-0.1550747988704743
ACH-000395,0.010710168250790105
ACH-000396,-0.10372908539688568
ACH-000397,-0.2300360382169573
ACH-000401,0.05418345875690783
ACH-000402,0.02775762246532421
ACH-000403,-0.16533189455331304
ACH-000404,-0.21713119787643376
ACH-000406,-0.09769443929477067
ACH-000407,-0.24277622952804714
ACH-000408,-0.08974694159714143
ACH-000410,-0.154679584582547
ACH-000411,-0.04151690383501482
ACH-000414,-0.06613775616725277
ACH-000415,-0.06194739808034596
ACH-000416,-0.07181331314989149
ACH-000420,-0.10254861461156103
ACH-000421,-0.13984476250119285
ACH-000424,-0.004419121404481672
ACH-000425,-0.08379020518150268
ACH-000426,0.036246179402331234
ACH-000427,-0.15077342461688667
ACH-000433,-0.15346270603989
ACH-000435,-0.12842426776679536
ACH-000436,0.008729171124302664
ACH-000444,-0.03882837186115106
ACH-000445,-0.12888793534287166
ACH-000448,-0.15081782696646345
ACH-000450,-0.11436677464044735
ACH-000452,-0.1547071222920823
ACH-000454,-0.10491276926058286
ACH-000458,-0.020887489848520104
ACH-000459,-0.010295000894614994
ACH-000460,-0.0886300160367927
ACH-000461,-0.018085336879605125
ACH-000463,-0.05412417655757778
ACH-000464,-0.1096119499724533
ACH-000466,-0.038343365399042234
ACH-000467,-0.1287952662700481
ACH-000468,0.05350481508925551
ACH-000469,-0.09661358492120484
ACH-000470,-0.16579779549835655
ACH-000471,-0.07519276237499385
ACH-000472,-0.07340482372492925
ACH-000473,-0.0779192737945505
ACH-000475,-0.051759893845073186
ACH-000476,0.0055017716559182745
ACH-000477,-0.1876344461443803
ACH-000479,-0.2524788744236801
ACH-000480,-0.1174843174884738
ACH-000481,-0.1819148448717409
ACH-000483,-0.032945517675703584
ACH-000484,-0.0681506741257263
ACH-000485,-0.09665745503782752
ACH-000486,-0.14091146358007706
ACH-000487,0.0318646599004812
ACH-000488,-0.12464399791469198
ACH-000490,-0.2372952941692452
ACH-000491,-0.06722519172254933
ACH-000495,-0.2400354043863586
ACH-000496,-0.18495067685887445
ACH-000499,-0.06410147970436403
ACH-000500,-0.059087808872935625
ACH-000502,-0.1611896057959137
ACH-000503,0.1287973063522731
ACH-000505,-0.12202739594505067
ACH-000507,-0.09050125417451592
ACH-000510,0.02160484143341471
ACH-000511,-0.04385198751600033
ACH-000512,-0.2746202536477723
ACH-000516,-0.1238121827079686
ACH-000517,-0.12442062825561682
ACH-000518,-0.02303673989982819
