,EPM2A (7957)
ACH-000004,-0.14697582617633265
ACH-000005,-0.2445004328127377
ACH-000007,-0.061374498066869565
ACH-000009,0.07270309271995726
ACH-000011,-0.14968980917026645
ACH-000012,-0.059870852309033676
ACH-000013,-0.03840705642986069
ACH-000014,-0.16615653131181415
ACH-000015,0.13423549516556155
ACH-000017,-0.11770275040984242
ACH-000018,0.04249059737994533
ACH-000019,-0.10816433011774293
ACH-000021,-0.27394027857321457
ACH-000022,-0.0726701610443633
ACH-000025,-0.1250888436415225
ACH-000028,0.14859421512815088
ACH-000030,-0.11316911368920987
ACH-000035,0.0012045331094215502
ACH-000036,-0.11481380075754445
ACH-000037,-0.02548337100922221
ACH-000039,0.06385060011329352
ACH-000040,-0.17640721306324014
ACH-000041,-0.13380639386266682
ACH-000042,-0.04024187643366297
ACH-000045,0.028783159977297825
ACH-000047,0.10629975061919138
ACH-000052,0.03854652007359372
ACH-000053,-0.1695121054168335
ACH-000054,-0.15076309086461867
ACH-000055,-0.06993862868514522
ACH-000060,-0.05896538218495422
ACH-000067,-0.09175411616506847
ACH-000070,0.08459821690023403
ACH-000075,-0.024579559720406256
ACH-000078,-0.07554944909202163
ACH-000082,-0.10235223722381506
ACH-000085,-0.05578391316938641
ACH-000086,0.11440982712932185
ACH-000087,-0.18589411366133252
ACH-000092,-0.12612021784201885
ACH-000095,-0.15352825190448852
ACH-000097,-0.1129791566030149
ACH-000098,-0.008934247047382226
ACH-000099,-0.11230010599199994
ACH-000108,-0.05476246661395954
ACH-000113,-0.1576353918899885
ACH-000116,-0.11588501183250835
ACH-000118,-0.14157133442618214
ACH-000120,-0.18380164528406887
ACH-000123,-0.01170659500669082
ACH-000127,-0.18562220836936288
ACH-000128,-0.1862716338146065
ACH-000132,-0.3802684059986536
ACH-000133,0.12585559265867413
ACH-000137,0.09194739999902707
ACH-000138,-0.06920339717233412
ACH-000142,-0.16393381878216234
ACH-000143,-0.11512403837974425
ACH-000146,-0.08413086165563485
ACH-000148,-0.051008223764382285
ACH-000150,0.08708912328485642
ACH-000152,0.00719281816045808
ACH-000153,0.012759107721117392
ACH-000159,-0.09994287227551528
ACH-000160,-0.07755433062870888
ACH-000163,-0.07977486647613563
ACH-000167,-0.26457440771994384
ACH-000168,-0.06528344621389334
ACH-000169,-0.1496700148542903
ACH-000178,-0.08719600771158184
ACH-000183,0.11598766255599365
ACH-000188,-0.1364529209334587
ACH-000189,-0.3135387780245522
ACH-000190,0.013604428716870232
ACH-000198,-0.1986503588663083
ACH-000203,-0.4897233964420614
ACH-000204,-0.044878796515630495
ACH-000206,-0.03782956705483495
