,ZGPAT (84619)
ACH-000004,-0.088074585758666
ACH-000005,-0.07314551291561684
ACH-000007,-0.10074436645354502
ACH-000009,-0.1344145424743716
ACH-000011,-0.15221586856281527
ACH-000012,-0.05232040251800613
ACH-000013,-0.11274959751918147
ACH-000014,-0.07715451589353434
ACH-000015,-0.005872568746406924
ACH-000017,-0.22068780015531864
ACH-000018,-0.14097782964094185
ACH-000019,-0.1775372995040131
ACH-000021,-0.14090459201257186
ACH-000022,-0.21426035029347812
ACH-000025,-0.0463278053703718
ACH-000028,-0.18563955407794772
ACH-000030,-0.09419505869907252
ACH-000035,0.07421370447501563
ACH-000036,-0.05757251555928125
ACH-000037,0.02279351434384648
ACH-000039,0.15866697678829544
ACH-000040,-0.1896440421111926
ACH-000041,0.029150035944083018
ACH-000042,-0.2685619648572156
ACH-000045,-0.08374990304189958
ACH-000047,-0.11081892431986977
ACH-000052,-0.1033990985419648
ACH-000053,-0.07309472047726745
ACH-000054,-0.04528993877867877
ACH-000055,0.010883348412074008
ACH-000060,-0.14175630405602094
ACH-000067,-0.19127716827059854
ACH-000070,-0.05279165084995556
ACH-000075,-0.2054071947713719
ACH-000078,-0.27811999706498663
ACH-000082,-0.010617726345164958
ACH-000085,-0.13469027555574595
ACH-000086,-0.08122335788133543
ACH-000087,-0.07618181875437957
ACH-000092,-0.15474350941775408
ACH-000095,-0.2267828748770063
ACH-000097,-0.35234910996947
ACH-000098,-0.04070727852713006
ACH-000099,-0.2195416834439773
ACH-000108,-0.05949156675235701
ACH-000113,-0.0815269175494575
ACH-000116,-0.07399885651628732
ACH-000118,0.007097999924753825
ACH-000120,-0.045230502899338436
ACH-000123,-0.1751123902932827
ACH-000127,-0.13625847485815262
ACH-000128,-0.2226454864065036
ACH-000132,-0.08700714262430331
ACH-000133,-0.1291686466801295
ACH-000137,0.05778468965862363
ACH-000138,0.012256172797385216
ACH-000142,-0.02073561623010955
ACH-000143,0.08128066990171509
ACH-000146,-0.0764593338083211
ACH-000148,-0.1419689577776335
ACH-000150,-0.25055138320043563
ACH-000152,-0.01963336190423983
ACH-000153,0.006040208575521074
ACH-000159,-0.11733586806441315
ACH-000160,-0.041906850994537365
ACH-000163,-0.06712204234932112
ACH-000167,0.1201148187470722
ACH-000168,0.02783595368617936
ACH-000169,-0.21333337752482429
ACH-000178,-0.2275148961901856
ACH-000183,-0.09061634883982883
ACH-000188,-0.01957216255550579
ACH-000189,-0.2648092691225422
ACH-000190,-0.2791481448569761
ACH-000198,-0.022845297181537924
ACH-000203,-0.1542412175232094
ACH-000204,-0.4119198437046909
ACH-000206,0.0347991172973728
ACH-000207,-0.20691280204353985
ACH-000208,0.010180758100030057
ACH-000210,-0.5088001614847171
ACH-000211,-0.15435628780294944
ACH-000215,-0.12870971000334555
ACH-000221,-0.015825440479969834
ACH-000222,-0.10849942662772832
ACH-000223,-0.2349788025811333
ACH-000226,-0.07107847523791871
ACH-000227,-0.2442848355588564
ACH-000228,-0.00157138166373411
ACH-000231,-0.1504290916066849
ACH-000232,-0.012453412097301931
ACH-000233,-0.15800526423309438
ACH-000234,-0.17573448090063487
ACH-000235,-0.2005666742904295
ACH-000237,-0.10758686140973872
ACH-000238,-0.1733675266398821
ACH-000242,-0.13836377282744752
ACH-000243,-0.01875197191576591
ACH-000244,-0.3544687396851819
ACH-000246,-0.12525627010169604
ACH-000248,-0.15941915517466812
ACH-000250,-0.11193485980661576
ACH-000251,0.0009511014617073596
ACH-000252,-0.06623861577735889
ACH-000253,-0.1521559385939877
ACH-000255,-0.14078792538111226
ACH-000256,-0.26392153426629905
ACH-000257,-0.24107887918298634
ACH-000258,-0.2782249587298819
ACH-000259,-0.12816784699898026
ACH-000260,-0.14540226702266848
ACH-000261,-0.14127218327949498
ACH-000262,-0.07697116197297411
ACH-000263,-0.2490538843513965
ACH-000264,-0.2170171079350319
ACH-000265,-0.12399443989890982
ACH-000266,-0.11473466517751385
ACH-000272,-0.08378118783746738
ACH-000274,-0.03182516246144688
ACH-000277,-0.6981323222319634
ACH-000278,-0.09326834490590104
ACH-000279,0.011639145287928669
ACH-000280,-0.09440243500240478
ACH-000281,-0.300413706290503
ACH-000288,-0.10429613125043473
ACH-000291,-0.2633648767111764
ACH-000293,-0.054839893451855734
ACH-000294,-0.07758137758649683
ACH-000295,-0.2390410287919744
ACH-000296,-0.11193333634573067
ACH-000302,-0.061202764421642936
ACH-000304,-0.1788964557304261
ACH-000307,-0.21845265068711348
ACH-000308,-0.16467827380847802
ACH-000310,-0.163083101625841
ACH-000311,-0.1013290630672267
ACH-000312,-0.2461351509216325
ACH-000315,-0.23627409793859666
ACH-000316,-0.09416165632479033
ACH-000317,-0.14556386161197066
ACH-000318,-0.06038921858653005
ACH-000319,-0.11536962456309882
ACH-000320,-0.3528224193104096
ACH-000322,-0.2070543799963151
ACH-000323,-0.009658198852881241
ACH-000324,-0.3043313773755481
ACH-000329,-0.09189985325975586
ACH-000330,-0.3061028985079461
ACH-000331,0.009510625506393214
ACH-000332,-0.2623783134631692
ACH-000334,0.0724566446760082
ACH-000335,0.08743918591734033
ACH-000336,-0.08271656143219994
ACH-000337,-0.10129856144687943
ACH-000338,-0.09478788089137208
ACH-000339,-0.08991518323975606
ACH-000341,-0.05391932300149621
ACH-000348,-0.08910785504632421
ACH-000350,-0.19834334368292145
ACH-000352,-0.5160985746263969
ACH-000356,-0.07838693466189389
ACH-000361,-0.22745248704990956
ACH-000362,-0.08364376227488178
ACH-000363,-0.038396446004405685
ACH-000364,0.128958929691454
ACH-000365,-0.102071568769456
ACH-000366,-0.12029247124510425
ACH-000368,-0.10084165195785334
ACH-000374,0.02419982388725236
ACH-000375,-0.05654384635837675
ACH-000376,-0.11246455796608287
ACH-000381,-0.03601413646882158
ACH-000383,-0.05919629384981179
ACH-000387,-0.06072439575047892
