,CYGB (114757)
ACH-000004,0.002225444706410681
ACH-000005,0.012571180969004109
ACH-000007,0.15493603450209198
ACH-000009,-0.10007471555123068
ACH-000011,-0.19058314428269654
ACH-000012,-0.04968428778094061
ACH-000013,-0.016273019475912046
ACH-000014,-0.0030060993014679946
ACH-000015,0.06227149463251109
ACH-000017,-0.08688570642506444
ACH-000018,0.00819026465373108
ACH-000019,-0.12496276541478447
ACH-000021,-0.09752692588561908
ACH-000022,0.01958351980363851
ACH-000025,-0.04469371563337241
ACH-000028,-0.11559511534705533
ACH-000030,0.029235693235107742
ACH-000035,-0.20013291894922305
ACH-000036,-0.006368183366137177
ACH-000037,-0.1130625587333864
ACH-000039,0.11333308819330094
ACH-000040,-0.12771726429804664
ACH-000041,-0.11607922391546358
ACH-000042,-0.21456629208232866
ACH-000045,-0.14409084190051727
ACH-000047,-0.15774974399506556
ACH-000052,0.08135821089326492
ACH-000053,-0.007549173549335756
ACH-000054,0.030569706099301108
ACH-000055,0.051633862579483485
ACH-000060,-0.18517811413173044
ACH-000067,-0.09457660060593333
ACH-000070,-0.07644890987157017
ACH-000075,-0.029078748273125826
ACH-000078,0.054604522302305794
ACH-000082,-0.021649177582987532
ACH-000085,-0.14582362980999727
ACH-000086,-0.11532646986361655
ACH-000087,-0.06616053088860174
ACH-000092,0.06736291646460621
ACH-000095,-0.08650566399746364
ACH-000097,-0.05361149001132285
ACH-000098,-0.056007469640627736
ACH-000099,-0.09796596943044256
ACH-000108,-0.12987765045156416
ACH-000113,-0.09849718770288064
ACH-000116,-0.23702814731147384
ACH-000118,-0.091283355162943
ACH-000120,-0.4054825546850147
ACH-000123,-0.00624166956582435
ACH-000127,-0.26033710048496544
ACH-000128,0.06601001325150715
ACH-000132,0.014989273098742381
ACH-000133,-0.033520259509897316
ACH-000137,-0.3679734676474084
ACH-000138,-0.05824929707729973
ACH-000142,-0.15841025534209316
ACH-000143,-0.11577081914333667
ACH-000146,-0.05137280755050189
ACH-000148,-0.10564885326877337
ACH-000150,-0.1272284076064109
ACH-000152,-0.2028583337027218
ACH-000153,-0.12678713575246828
ACH-000159,-0.06414115034076373
ACH-000160,-0.12022399504289427
ACH-000163,-0.03677368641428353
ACH-000167,0.17859686870080735
ACH-000168,-0.4006949222171327
ACH-000169,-0.12619971611377048
ACH-000178,-0.0178815977312321
ACH-000183,-0.10198781110192463
ACH-000188,-0.03342100285446442
ACH-000189,-0.27189189274797704
ACH-000190,-0.3095270627306849
ACH-000198,-0.24935106082631436
ACH-000203,-0.41554834854783385
ACH-000204,0.00982185092674078
ACH-000206,-0.03130973528837444
ACH-000207,0.038850047747753615
ACH-000208,0.07079581959418535
ACH-000210,0.06586152970583138
ACH-000211,-0.17123921851416174
ACH-000215,-0.06658037295758602
ACH-000221,0.037540282683292896
ACH-000222,-0.12375541303239285
ACH-000223,-0.13231236962280318
ACH-000226,-0.14119624348442794
ACH-000227,-0.12848383177211298
ACH-000228,-0.22457552281453547
ACH-000231,-0.1578849716788948
ACH-000232,0.04198744604882345
ACH-000233,-0.001099635607372263
ACH-000234,-0.07255003339898629
ACH-000235,-0.17512755484810325
ACH-000237,-0.022429867521291624
ACH-000238,-0.14036195762838516
ACH-000242,-0.30496269754733485
ACH-000243,-0.06772744445080392
ACH-000244,-0.2509916336386519
ACH-000246,-0.13557078381371193
ACH-000248,-0.2940521004444227
ACH-000250,-0.12698600066756568
ACH-000251,-0.2751027630980478
ACH-000252,-0.11744117260601387
ACH-000253,-0.20711665973870716
ACH-000255,-0.07234994438253584
ACH-000256,-0.134603690885062
ACH-000257,-0.19788169868534056
ACH-000258,-0.029937853901307838
ACH-000259,-0.1857441191410669
ACH-000260,-0.08127213833708713
ACH-000261,-0.13447355157680116
ACH-000262,-0.16008680827521027
ACH-000263,0.02308552573681107
ACH-000264,-0.17273397606375376
ACH-000265,0.04886966271061413
ACH-000266,-0.09667789522615927
ACH-000272,-0.018208438823839226
ACH-000274,-0.11091114267796444
ACH-000277,-0.15384535140394165
ACH-000278,0.11749453207338692
ACH-000279,-0.08627930732576629
ACH-000280,-0.09898349193832644
ACH-000281,-0.0779896948452335
ACH-000288,-0.11278478779255514
ACH-000291,-0.13288514674918606
ACH-000293,-0.11968962477341907
ACH-000294,-0.06267601661652808
ACH-000295,-0.059736861707253314
ACH-000296,-0.004923467260756089
ACH-000302,-0.11142235679767716
ACH-000304,-0.1656396812447181
ACH-000307,-0.14206437616495446
ACH-000308,-0.05116479582394315
ACH-000310,-0.11780542208263325
ACH-000311,-0.02077061948697325
ACH-000312,-0.10404750488372297
ACH-000315,-0.05765433298911553
ACH-000316,-0.04486544078244931
ACH-000317,0.052432059858007085
ACH-000318,-0.012258895300548965
ACH-000319,-0.12664893934088095
ACH-000320,-0.100149055692791
ACH-000322,-0.15929140201826114
ACH-000323,-0.12791228910774494
ACH-000324,-0.09024866339140238
ACH-000329,-0.08079970718474881
ACH-000330,-0.17770947948633434
ACH-000331,-0.06934055981471622
ACH-000332,-0.07616249399365896
ACH-000334,0.05418961040460075
ACH-000335,0.10259328037883687
ACH-000336,-0.20519260579955195
ACH-000337,-0.16966123682447365
ACH-000338,-0.05555919324601294
ACH-000339,-0.013294542882922058
ACH-000341,-0.17291289175024754
ACH-000348,-0.03880008926657786
ACH-000350,-0.1660181930045934
ACH-000352,-0.09898789525748757
ACH-000356,-0.2415216057942076
ACH-000361,-0.10611888925100976
ACH-000362,-0.06120999690392805
ACH-000363,-0.14368058134697595
ACH-000364,-0.04820917810874481
ACH-000365,-0.10358895128643207
ACH-000366,-0.11648179703847475
ACH-000368,0.040095275624090036
ACH-000374,-0.06753579677901084
ACH-000375,-0.1790616449652222
ACH-000376,0.007136075708828595
ACH-000381,-0.15260649477239654
ACH-000383,-0.07566076661370195
ACH-000387,-0.04502670702494472
ACH-000389,-0.2452470893179812
ACH-000390,0.043792084114361834
ACH-000393,-0.10638087982983732
ACH-000395,-0.15317582156949214
ACH-000396,-0.27130142455251377
ACH-000397,-0.08086399176944757
ACH-000401,-0.1265305356398991
ACH-000402,-0.30086817924546666
ACH-000403,-0.09782388474467224
ACH-000404,-0.1425414637263539
ACH-000406,-0.0031574113859700174
ACH-000407,0.00842188567523373
ACH-000408,0.15092999390659587
ACH-000410,-0.06192204582009496
ACH-000411,-0.16882782419743972
ACH-000414,-0.08628158999389758
ACH-000415,-0.14433312783827507
ACH-000416,-0.11168758073547788
ACH-000420,-0.022911285782108833
ACH-000421,-0.17161902823802952
ACH-000424,-0.10669688311655952
ACH-000425,0.006362900737221702
ACH-000426,-0.25583508611850797
ACH-000427,0.13174666564558765
ACH-000433,-0.040444050490649024
ACH-000435,-0.05639219531028782
ACH-000436,-0.19417929818146865
ACH-000444,-0.0480734247130885
ACH-000445,-0.08642216393688278
ACH-000448,0.008549789845325518
ACH-000450,0.006860228890017289
ACH-000452,-0.1252919779712468
ACH-000454,0.07593200102208683
ACH-000458,-0.008986117823067305
ACH-000459,-0.031450465336050726
ACH-000460,-0.131645804620745
ACH-000461,0.019350878731759988
ACH-000463,-0.034510000848225315
ACH-000464,-0.16353305111959895
ACH-000466,-0.17723130760695965
ACH-000467,0.07705395917019364
ACH-000468,-0.187439634974869
ACH-000469,-0.013560300687606209
ACH-000470,-0.15605871140217928
ACH-000471,-0.0599767785902026
ACH-000472,-0.11826476062062766
ACH-000473,-0.18076204976939075
ACH-000475,-0.1197709861129471
ACH-000476,-0.16030137287611754
ACH-000477,0.07508451166924822
ACH-000479,-0.3433491329558673
ACH-000480,-0.07190547897405779
ACH-000481,-0.0557500156886685
ACH-000483,-0.15696578317570814
ACH-000484,-0.00039846377154490506
ACH-000485,-0.20943040813317476
ACH-000486,-0.04771835067807638
ACH-000487,0.0035173536980636004
ACH-000488,-0.10349299633944826
ACH-000490,-0.044912303718398106
ACH-000491,-0.1607457192345505
ACH-000495,-0.03819168620876449
ACH-000496,-0.11063217192228336
ACH-000499,-0.0945963882981635
ACH-000500,-0.2184403053812484
ACH-000502,-0.13985219272893967
ACH-000503,-0.02852637257917835
ACH-000505,-0.11303227217095715
ACH-000507,-0.059575988943687014
ACH-000510,-0.06084381176398115
ACH-000511,-0.08874356490234406
ACH-000512,-0.08641225850020884
ACH-000516,-0.12157573725058073
ACH-000517,-0.1114945979877226
ACH-000518,-0.09537007669897034
ACH-000520,-0.1427576806437294
ACH-000521,-0.2047762210758296
ACH-000522,-0.012362492025506207
ACH-000524,-0.06351943622576753
ACH-000527,-0.04822470682869348
ACH-000528,-0.017323786591744456
ACH-000537,0.018016416287373303
ACH-000541,-0.12619249428129473
ACH-000542,-0.07762733639790596
ACH-000544,-0.14531813774436084
ACH-000545,-0.04546598925335213
ACH-000547,0.12870545618253984
ACH-000548,-0.10676282607498304
ACH-000549,0.06178691110329264
ACH-000550,-0.18255875471012
ACH-000552,0.055816439222062086
ACH-000556,-0.10911007032412948
ACH-000557,0.020884854221287098
ACH-000569,-0.2169711826984365
ACH-000570,0.017762914682283037
ACH-000571,-0.0563361572336533
ACH-000573,-0.01953762149576253
ACH-000576,-0.07842938013331714
ACH-000579,0.035621219369784955
ACH-000580,-0.018254907047099433
ACH-000584,0.02766907891234305
ACH-000585,-0.07012479404088792
ACH-000588,0.004363960773075001
ACH-000589,-0.06807759468872213
ACH-000591,-0.11743997823915595
ACH-000593,-0.21262657784868166
ACH-000600,-0.15120957870688467
ACH-000601,-0.04300363084878645
ACH-000605,-0.09628544005313748
ACH-000606,-0.0494049573710348
ACH-000608,-0.08292106407441995
ACH-000614,-0.0259455836699924
ACH-000616,-0.11753528001752225
ACH-000618,-0.10027917498201136
