,FNBP1 (23048)
ACH-000004,-0.11180476094981733
ACH-000005,-0.21821048197419896
ACH-000007,0.09961859422526262
ACH-000009,-0.12873408950640894
ACH-000011,-0.16983850113565735
ACH-000012,-0.047180781317128516
ACH-000013,-0.20223390959579188
ACH-000014,-0.13746789499923898
ACH-000015,-0.23431882930006864
ACH-000017,-0.019082954496134657
ACH-000018,-0.13448298256665747
ACH-000019,-0.1650109526821791
ACH-000021,-0.11494694681671705
ACH-000022,-0.10989952066357812
ACH-000025,-0.08637824003687856
ACH-000028,-0.012710741267515872
ACH-000030,-0.13129973868761272
ACH-000035,-0.03690130863235973
ACH-000036,0.0005372918382681362
ACH-000037,-0.09898527262374994
ACH-000039,-0.09112509403470914
ACH-000040,-0.1365510207289398
ACH-000041,-0.13441755666247146
ACH-000042,-0.22477011790340087
ACH-000045,-0.0026071811271728253
ACH-000047,-0.06187015397996429
ACH-000052,-0.20027662545029967
ACH-000053,-0.07006679754894503
ACH-000054,-0.17754234216519593
ACH-000055,-0.1574894303589264
ACH-000060,-0.1870669087920459
ACH-000067,-0.2066419971114856
ACH-000070,-0.1289189762303546
ACH-000075,-0.07040175839944747
ACH-000078,-0.14497590290552465
ACH-000082,-0.07706628167568473
ACH-000085,-0.09120113258464252
ACH-000086,-0.1284904630632143
ACH-000087,-0.15059718678694858
ACH-000092,-0.015057610546050263
ACH-000095,-0.045786773179828516
ACH-000097,-0.15753521365252982
ACH-000098,-0.11129471330894404
ACH-000099,-0.0953503736123202
ACH-000108,-0.12108648736414865
ACH-000113,-0.028834130753912543
ACH-000116,-0.03244653758867202
ACH-000118,-0.061093894925885565
ACH-000120,-0.0876050470710443
ACH-000123,-0.07990251351813013
ACH-000127,-0.07834011595447876
ACH-000128,-0.07328342116804809
ACH-000132,0.01630466322431691
ACH-000133,0.004558163640412129
ACH-000137,-0.1900347603980911
ACH-000138,-0.10618726291416583
ACH-000142,-0.08431114278967987
ACH-000143,-0.05103182132689997
ACH-000146,-0.07866986150285579
ACH-000148,-0.10306427283601964
ACH-000150,-0.11288176238629433
ACH-000152,-0.048372340992683865
ACH-000153,-0.17953831631604775
ACH-000159,-0.1311651763198683
ACH-000160,-0.17185216104319356
ACH-000163,-0.15151659278921034
ACH-000167,-0.26071162367481937
ACH-000168,-0.08292374186204192
ACH-000169,-0.12984564715705374
ACH-000178,-0.07393385550280537
ACH-000183,-0.03450509856615935
ACH-000188,-0.1797215621570218
ACH-000189,0.12584328780072546
ACH-000190,0.033098471082587684
ACH-000198,-0.27174905243097497
ACH-000203,0.033079918427377564
ACH-000204,-0.1954593795871858
ACH-000206,-0.1601408254766304
ACH-000207,-0.1395239807047357
ACH-000208,-0.0754174394521765
ACH-000210,-0.14648976754571708
ACH-000211,-0.01796497767219684
ACH-000215,-0.1420279432846661
ACH-000221,-0.20061949217218566
ACH-000222,-0.19725312407066756
ACH-000223,-0.0826416873110852
ACH-000226,-0.005987405896023757
ACH-000227,-0.10160664721426443
ACH-000228,-0.08131335630747027
ACH-000231,-0.06467439796270939
ACH-000232,-0.07849142863442626
ACH-000233,-0.12107675691526837
ACH-000234,-0.06035737593582573
ACH-000235,-0.10714518558888188
ACH-000237,-0.17524041415560696
ACH-000238,-0.07328019570644133
ACH-000242,0.09857920301078146
ACH-000243,-0.050105657281540365
ACH-000244,-0.3513077556579743
ACH-000246,-0.09312274982212032
ACH-000248,-0.16381858989840167
ACH-000250,-0.1088582562647805
ACH-000251,0.09626696938716367
ACH-000252,-0.24849253698325355
ACH-000253,-0.07642055640064681
ACH-000255,-0.1639822803225547
ACH-000256,-0.2266757742957272
ACH-000257,-0.1251164956382157
ACH-000258,0.007700928957737573
ACH-000259,-0.13943969041577595
ACH-000260,-0.10223982220596683
ACH-000261,-0.07634994034209899
ACH-000262,-0.2301609078419561
ACH-000263,-0.10273784426908887
ACH-000264,-0.1550262971533093
ACH-000265,-0.08628119779942015
ACH-000266,-0.07765521733792242
ACH-000272,-0.12494785426873505
ACH-000274,-0.08578194630985797
ACH-000277,-0.25558046310574145
ACH-000278,-0.1083069395357257
ACH-000279,-0.12070444792011835
ACH-000280,-0.18051590388421312
ACH-000281,-0.1410228928205241
ACH-000288,-0.0412671893136393
ACH-000291,-0.18870565680623524
