,NAF1 (92345)
ACH-000004,-0.5418881715463081
ACH-000005,-0.3124630010563413
ACH-000007,-0.7324908805798012
ACH-000009,-0.523286609511831
ACH-000011,-0.6419532374035326
ACH-000012,-0.5667743679993921
ACH-000013,-0.558617594985807
ACH-000014,-0.5705644883542861
ACH-000015,-0.5671171809692911
ACH-000017,-0.4583688651788322
ACH-000018,-0.8568635148067167
ACH-000019,-0.6510763365207274
ACH-000021,-0.5318878833273508
ACH-000022,-0.5541099992953288
ACH-000025,-0.4898993026745995
ACH-000028,-0.5751799171175098
ACH-000030,-0.3704084999736965
ACH-000035,-0.5880738396272716
ACH-000036,-0.5668020304256755
ACH-000037,-0.2591884892754827
ACH-000039,-0.2474836962388165
ACH-000040,-0.4605996435401084
ACH-000041,-0.5039968797878307
ACH-000042,-0.3662992767861579
ACH-000045,-0.6769658548328531
ACH-000047,-0.4702258159529631
ACH-000052,-0.5592017821788173
ACH-000053,-0.465628000269217
ACH-000054,-0.5016043934056069
ACH-000055,-0.3122189748760017
ACH-000060,-0.3641061534506676
ACH-000067,-0.4661858904609178
ACH-000070,-0.26497827964046194
ACH-000075,-0.5753389896926587
ACH-000078,-0.3788397574519277
ACH-000082,-0.430776967836901
ACH-000085,-0.5657298689083314
ACH-000086,-0.5014407833044746
ACH-000087,-0.5530294128835551
ACH-000092,-0.4822206861511025
ACH-000095,-0.5326184070315829
ACH-000097,-0.6267329069030853
ACH-000098,-0.6384492951054381
ACH-000099,-0.3454164780220085
ACH-000108,-0.5781600347055985
ACH-000113,-0.5236059732716998
ACH-000116,-0.5016292777510217
ACH-000118,-0.4235576755401487
ACH-000120,-0.58697055560718
ACH-000123,-0.5106809523498781
ACH-000127,-0.43602003088159536
ACH-000128,-0.4555692618675026
ACH-000132,-0.594082255821238
ACH-000133,-0.2406651331305182
ACH-000137,-0.5445894430590874
ACH-000138,-0.3891043414403773
ACH-000142,-0.669912512750341
ACH-000143,-0.5613828740376935
ACH-000146,-0.5158080277407258
ACH-000148,-0.638623192253254
ACH-000150,-0.4126821086930779
ACH-000152,-0.466044175005788
ACH-000153,-0.6802949820792882
ACH-000159,-0.5272071796173925
ACH-000160,-0.24014567188139305
ACH-000163,-0.5706934633842594
ACH-000167,-0.5636685302108785
ACH-000168,-0.5399656858217347
ACH-000169,-0.4737815999790052
ACH-000178,-0.6202915046240289
ACH-000183,-0.3921489606239665
ACH-000188,-0.3756785555551868
ACH-000189,-0.6678379220889109
ACH-000190,-0.697247393092031
ACH-000198,-0.34556858453156514
ACH-000203,-0.2355559675850719
ACH-000204,-0.4105410736531134
ACH-000206,-0.2852026367961775
ACH-000207,-0.3438433278131682
ACH-000208,-0.6941330501748144
ACH-000210,-0.4864301095839083
ACH-000211,-0.5837099860554822
ACH-000215,-0.5162491785556073
ACH-000221,-0.6812343983212654
ACH-000222,-0.636366585633057
ACH-000223,-0.3873186483543723
ACH-000226,-0.5298138955624851
ACH-000227,-0.08929612718629569
ACH-000228,-0.7112706822418383
ACH-000231,-0.4544924787337898
ACH-000232,-0.4416509215641894
ACH-000233,-0.4235047058300839
ACH-000234,-0.3002563491638933
ACH-000235,-0.4158058255688897
ACH-000237,-0.5722988252746688
ACH-000238,-0.3887168382892
ACH-000242,-0.6393399360409711
ACH-000243,-0.3903522410654069
ACH-000244,-0.6553482863438476
ACH-000246,-0.6467988145790208
ACH-000248,-0.5826370398987564
ACH-000250,-0.3933044995585416
ACH-000251,-0.30840036615833205
ACH-000252,-0.5746529514439926
ACH-000253,-0.5596586023377538
ACH-000255,-0.4428965579386116
ACH-000256,-0.5673886910523387
ACH-000257,-0.6052248727387368
ACH-000258,-0.3356816181537793
ACH-000259,-0.5007843533011315
ACH-000260,-0.4457686457792701
ACH-000261,-0.58429765306463
ACH-000262,-0.8848103529778002
ACH-000263,-0.3056299345833329
ACH-000264,-0.401328635423512
ACH-000265,-0.5879135177219085
ACH-000266,-0.4679655934436749
ACH-000272,-0.5909867981655039
ACH-000274,-0.5419302054051793
ACH-000277,-0.2316034500231225
ACH-000278,-0.30181371094005544
ACH-000279,-0.6315430336442137
ACH-000280,-0.7353193418958046
ACH-000281,-0.4416367668576814
ACH-000288,-0.5301765712353727
ACH-000291,-0.6098547658070927
ACH-000293,-0.19061736005202948
ACH-000294,-0.4101043708699087
ACH-000295,-0.3878842696255112
ACH-000296,-0.6868067826042942
ACH-000302,-0.7307609588365291
ACH-000304,-0.9045036034203746
ACH-000307,-0.5582633878970271
ACH-000308,-0.8289732963248286
ACH-000310,-0.2909200685639543
ACH-000311,-0.613349254077378
ACH-000312,-0.473920629826377
ACH-000315,-0.3249642476351163
ACH-000316,-0.6956483616945662
ACH-000317,-0.6189772869201745
ACH-000318,-0.8422700816086163
ACH-000319,-0.4341488664907875
ACH-000320,-0.5790728185424914
ACH-000322,-0.5435180597596133
ACH-000323,-0.7563010559568312
ACH-000324,-0.6710328102836661
ACH-000329,-0.7929997762015937
ACH-000330,-0.6054466933619336
ACH-000331,-0.6401598010136444
ACH-000332,-0.5198487573550116
ACH-000334,-0.2618192550597053
ACH-000335,-0.43805518856885606
ACH-000336,-0.35155165763671803
ACH-000337,-0.6305113508938652
ACH-000338,-0.5593621450846208
ACH-000339,-0.5319877250138008
ACH-000341,-0.3790957184021687
ACH-000348,-0.4923090308017368
ACH-000350,-0.4474998738856578
ACH-000352,-0.9900550950514764
ACH-000356,-0.4562996441047552
ACH-000361,-0.6128146878983449
ACH-000362,-0.4080261633652054
ACH-000363,-0.3209347901886768
ACH-000364,-0.8845217122861028
ACH-000365,-0.3003651630486551
ACH-000366,-0.3869306820423557
ACH-000368,-0.5661412841396959
ACH-000374,-0.4159676176510205
ACH-000375,-0.40026532629042944
ACH-000376,-0.4866872406674211
ACH-000381,-0.3457564313354001
ACH-000383,-0.4152938996225438
ACH-000387,-0.4464214220105504
ACH-000389,-0.5224455873321955
ACH-000390,-0.4164728147017105
ACH-000393,-0.4122004430029158
ACH-000395,-0.23653936441510195
ACH-000396,-0.2603054866703836
ACH-000397,-0.4076820265539994
ACH-000401,-0.6645798965395272
