,OR5AS1 (219447)
ACH-000004,-0.06621868852929176
ACH-000005,-0.20555850033036804
ACH-000007,-0.01072301814357349
ACH-000009,0.017043746397667068
ACH-000011,-0.22121238010245856
ACH-000012,-0.08701746021214342
ACH-000013,-0.10289009614925053
ACH-000014,-0.010853641703598307
ACH-000015,-0.0522649599012433
ACH-000017,-0.09135333496837143
ACH-000018,0.11143668164646696
ACH-000019,-0.1410057836215456
ACH-000021,-0.024175577011448283
ACH-000022,-0.11103609564282232
ACH-000025,-0.08367832658191601
ACH-000028,-0.055878001122492985
ACH-000030,-0.14706420237682793
ACH-000035,0.00380822181851565
ACH-000036,-0.12140461011439775
ACH-000037,-0.11832378447795748
ACH-000039,-0.14393978006512798
ACH-000040,-0.057873993537411586
ACH-000041,0.22190844737552956
ACH-000042,-0.08723383933113033
ACH-000045,-0.15481734417301668
ACH-000047,-0.06826685132348552
ACH-000052,-0.13592062785503134
ACH-000053,-0.03373330382843581
ACH-000054,0.017117968728060276
ACH-000055,0.12470493426706525
ACH-000060,-0.06768004236656128
ACH-000067,-0.12470555695014048
ACH-000070,-0.02213805045816672
ACH-000075,-0.04182310186230576
ACH-000078,-0.07693915175748453
ACH-000082,-0.058591051450347015
ACH-000085,0.05768253097003995
ACH-000086,-0.15170458828054953
ACH-000087,0.2004550556742766
ACH-000092,-0.026117021349017926
ACH-000095,-0.08759647890742052
ACH-000097,-0.1270455371574084
ACH-000098,-0.02543856560069736
ACH-000099,-0.024086714558662282
ACH-000108,-0.17725741281524854
ACH-000113,0.1006876359392871
ACH-000116,-0.01758495545140797
ACH-000118,-0.12776836947847284
ACH-000120,0.021496526763492483
ACH-000123,0.03683868323110778
ACH-000127,-0.09529228766746373
ACH-000128,-0.19949402801144564
ACH-000132,-0.2579308219875809
ACH-000133,-0.11231520954350184
ACH-000137,-0.012518378589339784
ACH-000138,-0.040824122393903116
ACH-000142,-0.3965791807271127
ACH-000143,-0.08706371021889613
ACH-000146,0.027975914591840186
ACH-000148,-0.13906976674027974
ACH-000150,0.030355180594816438
ACH-000152,0.030750129941571218
ACH-000153,0.19428966884748367
ACH-000159,-0.05805583600622517
ACH-000160,-0.19730074411348114
ACH-000163,-0.06793367842104106
ACH-000167,-0.05764564336096269
ACH-000168,-0.05497178020655928
ACH-000169,-0.1335533664597165
ACH-000178,0.03444039511002383
ACH-000183,-0.06032359540616685
ACH-000188,-0.2393112031340535
ACH-000189,-0.031230595220616574
ACH-000190,-0.09618558886221322
ACH-000198,-0.11606831672754993
ACH-000203,-0.6053615377945665
ACH-000204,-0.21995641198384072
ACH-000206,-0.2188491276014525
ACH-000207,-0.01793662864291753
ACH-000208,0.053869739214357455
ACH-000210,0.2605377014484782
ACH-000211,-0.022483148029595112
ACH-000215,-0.002139938161567916
ACH-000221,-0.05418336296697531
ACH-000222,-0.15194335650319024
ACH-000223,-0.0391504200413569
ACH-000226,-0.20024993033535976
ACH-000227,-0.16081576062776565
ACH-000228,-0.07120635026240572
ACH-000231,-0.09009368121524547
