,DFFB (1677)
ACH-000004,0.02359016814325074
ACH-000005,-0.6037955262253835
ACH-000007,-0.032183855126922116
ACH-000009,-0.3061686248804473
ACH-000011,-0.12671198486065807
ACH-000012,-0.05305628432447356
ACH-000013,-0.3327789198549879
ACH-000014,-0.2962625655912125
ACH-000015,-0.3530666083466302
ACH-000017,-0.24234348797356134
ACH-000018,-0.22416365302300087
ACH-000019,-0.3284179820773606
ACH-000021,-0.35230186933218943
ACH-000022,-0.36639794177675744
ACH-000025,-0.2640703629549506
ACH-000028,-0.2969705956557792
ACH-000030,-0.1806881220546686
ACH-000035,-0.4648126000564704
ACH-000036,-0.2749578515562085
ACH-000037,-0.2819422414639005
ACH-000039,-0.4156625505084462
ACH-000040,-0.24169261425714966
ACH-000041,-0.4196826425491316
ACH-000042,-0.1792430016919263
ACH-000045,-0.14495584777241713
ACH-000047,-0.3847295854924424
ACH-000052,0.0076320196898417925
ACH-000053,-0.3923393904619532
ACH-000054,-0.2580243166338518
ACH-000055,-0.17384503423729647
ACH-000060,-0.36963974175504777
ACH-000067,-0.29702423640586506
ACH-000070,-0.009283693293273436
ACH-000075,-0.043810891998903936
ACH-000078,-0.203519146633226
ACH-000082,-0.3382225817281057
ACH-000085,-0.4136807174558445
ACH-000086,-0.1273236035081416
ACH-000087,-0.4498185004662968
ACH-000092,-0.3201023356492638
ACH-000095,-0.32614570025908723
ACH-000097,-0.3476405865095077
ACH-000098,-0.19748171321969135
ACH-000099,-0.20823685535857364
ACH-000108,-0.4413660336116811
ACH-000113,-0.2059385223152349
ACH-000116,-0.30831646292865666
ACH-000118,-0.27249488423645485
ACH-000120,-0.21116956628703615
ACH-000123,-0.28453102975869604
ACH-000127,-0.14173447414796864
ACH-000128,-0.16851294004384548
ACH-000132,-0.14950817067485564
ACH-000133,-0.26357943980277154
ACH-000137,-0.14442999266397435
ACH-000138,-0.15868134215016327
ACH-000142,-0.3782146005180933
ACH-000143,-0.26777905644161965
ACH-000146,-0.4855093319607882
