,RAD54L (8438)
ACH-000004,-0.24580443107296035
ACH-000005,-0.15572545732870874
ACH-000007,-0.15693496386970013
ACH-000009,-0.3185616604520759
ACH-000011,-0.33012162648282595
ACH-000012,-0.2434902636779321
ACH-000013,-0.17509096697347387
ACH-000014,-0.3143643348212533
ACH-000015,-0.23185790131264844
ACH-000017,-0.2650325612665824
ACH-000018,-0.20165486572706454
ACH-000019,-0.3436420279187989
ACH-000021,-0.20679036934682107
ACH-000022,-0.05302246354936613
ACH-000025,-0.2889516005514153
ACH-000028,-0.4836401533619338
ACH-000030,-0.3216032311600097
ACH-000035,-0.3469957972505643
ACH-000036,-0.3086341798338005
ACH-000037,-0.21345699258833212
ACH-000039,-0.20914904943437246
ACH-000040,-0.29037905035009703
ACH-000041,-0.009696529604513372
ACH-000042,-0.05628580257000545
ACH-000045,-0.08769225472954291
ACH-000047,-0.30569496350175224
ACH-000052,-0.3484160061128612
ACH-000053,-0.16701524738986068
ACH-000054,-0.23403774550183545
ACH-000055,-0.1834800429855913
ACH-000060,-0.20213983745457195
ACH-000067,-0.24867883564044535
ACH-000070,-0.20687275923568846
ACH-000075,-0.31680777837086904
ACH-000078,-0.21398514712983305
ACH-000082,-0.3533418410653866
ACH-000085,-0.17744684096234115
ACH-000086,-0.3878871937876081
ACH-000087,-0.1531413652886041
ACH-000092,-0.3933035985003679
ACH-000095,-0.17987795601622925
ACH-000097,-0.2455651033781695
ACH-000098,-0.27756991533333364
ACH-000099,-0.2677523266925589
ACH-000108,-0.2490164045005799
ACH-000113,-0.18271423760180772
ACH-000116,-0.23271558403620224
ACH-000118,-0.2467999375010415
ACH-000120,-0.3177799901790901
ACH-000123,-0.322087380148164
ACH-000127,-0.17047820071645112
ACH-000128,-0.36604980886046656
ACH-000132,-0.3197787901097293
ACH-000133,-0.22357891701884056
ACH-000137,-0.3039041539852406
ACH-000138,-0.2361804897817265
ACH-000142,-0.4043814835586644
ACH-000143,-0.2680809419369523
ACH-000146,-0.18686402248953535
ACH-000148,-0.2255598126023836
ACH-000150,-0.6063343653071204
ACH-000152,-0.40991196068337865
ACH-000153,-0.3671261239596697
ACH-000159,-0.16942971085783048
ACH-000160,-0.10067623067829444
ACH-000163,-0.14891138959046762
ACH-000167,0.1464232642249962
ACH-000168,-0.2747017631340754
ACH-000169,-0.3536212067037717
ACH-000178,-0.5929248351781988
ACH-000183,-0.056874259979555974
ACH-000188,-0.2879154276669922
ACH-000189,-0.19869002199003974
ACH-000190,0.11283664051962508
ACH-000198,-0.2097854596425991
ACH-000203,-0.1728629775909286
ACH-000204,-0.11192411836957436
ACH-000206,-0.1019542547190323
ACH-000207,-0.3345227991435832
ACH-000208,-0.23854842845133306
ACH-000210,-0.27230829793349953
ACH-000211,-0.230113387974722
ACH-000215,-0.19374639318638995
ACH-000221,-0.19624634510535285
ACH-000222,-0.2544546825741693
ACH-000223,-0.4038420556667055
ACH-000226,-0.36354361662206003
ACH-000227,-0.04588666439947218
ACH-000228,-0.3697959822929559
ACH-000231,-0.3269983055360274
ACH-000232,-0.19397606629269049
ACH-000233,-0.5721361649127765
ACH-000234,-0.2013548884981545
ACH-000235,-0.16447723386630736
ACH-000237,-0.3360655032420661
ACH-000238,-0.31766425675550475
ACH-000242,-0.1967428233937524
ACH-000243,-0.12214923655099565
ACH-000244,-0.29536614386543064
ACH-000246,-0.2250495664250296
ACH-000248,-0.24367490127071156
ACH-000250,-0.1404035173492585
ACH-000251,-0.14754364632429762
ACH-000252,-0.0918931480074418
ACH-000253,-0.13017570794874064
ACH-000255,-0.2889879976649929
ACH-000256,-0.3299840974795588
ACH-000257,-0.38943356052784794
ACH-000258,-0.1513949700757217
ACH-000259,-0.12891282266122234
ACH-000260,-0.2344198448358474
ACH-000261,-0.2187618347097844
ACH-000262,-0.19263852315923052
ACH-000263,-0.11762269753146315
ACH-000264,-0.15891871255507695
ACH-000265,-0.1152548830504163
ACH-000266,-0.06309228633966324
ACH-000272,-0.2688698526293937
ACH-000274,-0.17216798603602992
ACH-000277,-0.16915344567435542
ACH-000278,-0.24151820401470214
