,HERPUD2 (64224)
ACH-000004,-0.09479966013086534
ACH-000005,-0.38419086971332217
ACH-000007,-0.2136964877718836
ACH-000009,-0.025646876162082426
ACH-000011,-0.07603037506034191
ACH-000012,-0.20726630441472585
ACH-000013,-0.052232093372740034
ACH-000014,-0.2227882047911528
ACH-000015,-0.14233889926619456
ACH-000017,-0.12691999678978724
ACH-000018,-0.14892335983946872
ACH-000019,-0.30921390649091035
ACH-000021,-0.08240622505020642
ACH-000022,-0.2043739223392064
ACH-000025,0.008690649490826857
ACH-000028,-0.13541169010441845
ACH-000030,-0.024793920760748045
ACH-000035,-0.2632134914628932
ACH-000036,-0.2415171205375276
ACH-000037,-0.05797307054650287
ACH-000039,-0.09459243349170657
ACH-000040,-0.18981512777864867
ACH-000041,-0.09071643867129536
ACH-000042,-0.1593901997742617
ACH-000045,-0.059413173555551424
ACH-000047,-0.12434915884994903
ACH-000052,-0.27951395959699515
ACH-000053,-0.14967239920242628
ACH-000054,-0.24822758039670045
ACH-000055,-0.09076345240631566
ACH-000060,-0.1834549673167364
ACH-000067,-0.06266666635925124
ACH-000070,-0.1888503719328791
ACH-000075,-0.011887689782318472
ACH-000078,-0.26232756469803864
ACH-000082,-0.3550472541072025
ACH-000085,-0.027601564167641986
ACH-000086,-0.11848902742537595
ACH-000087,-0.11652471214236335
ACH-000092,-0.07882363912449337
ACH-000095,-0.1922785593980703
ACH-000097,-0.3541028827113229
ACH-000098,-0.19789465660746727
ACH-000099,-0.230830621698644
ACH-000108,-0.031622376400158664
ACH-000113,-0.03209691998631799
ACH-000116,-0.17874740236939587
ACH-000118,-0.036976084441715656
ACH-000120,-0.050236073548282766
ACH-000123,-0.1721032227490102
ACH-000127,-0.103979370549438
ACH-000128,-0.1817648883892528
ACH-000132,-0.06232819075374513
ACH-000133,-0.18588933795299867
ACH-000137,-0.2500301710972293
ACH-000138,-0.10607667152160118
ACH-000142,-0.014819445201803628
ACH-000143,-0.28952622222899016
ACH-000146,-0.09523713297600307
ACH-000148,-0.2841574610621442
ACH-000150,0.11653778510771305
ACH-000152,-0.17257614289393516
ACH-000153,-0.028280139711728443
ACH-000159,-0.12793090238860388
ACH-000160,-0.10991494448807726
ACH-000163,-0.0013756224597717562
ACH-000167,-0.21656609518300005
ACH-000168,0.014549785668964884
ACH-000169,-0.02899089789018263
ACH-000178,-0.13648371683504146
ACH-000183,0.050882908126796265
ACH-000188,-0.040639728197057794
ACH-000189,-0.29532534872166977
ACH-000190,-0.1284673354771028
ACH-000198,-0.09950913089309507
ACH-000203,-0.2893926682699933
ACH-000204,-0.2162246302747535
ACH-000206,-0.1683066617825543
ACH-000207,-0.050607730759229023
ACH-000208,-0.16132233062119136
ACH-000210,-0.2831385395610019
ACH-000211,-0.16817505555392634
ACH-000215,-0.14652538128167725
ACH-000221,-0.028251578981343905
ACH-000222,-0.01163821606847577
ACH-000223,-0.2491867787739637
ACH-000226,-0.06502688460059614
ACH-000227,-0.2715940581460661
ACH-000228,-0.17561817252400302
ACH-000231,-0.06488255517704605
ACH-000232,-0.07593624878959628
ACH-000233,-0.046325941834504114
ACH-000234,-0.15912043400738424
ACH-000235,-0.14375303576740225
ACH-000237,-0.0370427924841662
ACH-000238,-0.16732965499187316
ACH-000242,0.26105640630833715
ACH-000243,-0.17181124340257548
ACH-000244,-0.3623978644258427
ACH-000246,-0.1933456952412814
ACH-000248,-0.0615413146027232
ACH-000250,-0.2120200784023931
ACH-000251,-0.04871632902585612
ACH-000252,-0.15583823424588727
ACH-000253,-0.02538456391499875
ACH-000255,-0.132571016730981
ACH-000256,-0.1455395411580873
ACH-000257,-0.014006175818322144
ACH-000258,-0.17645952537526235
ACH-000259,-0.2079911386854012
ACH-000260,-0.20279814060235687
ACH-000261,-0.15720468815844585
ACH-000262,-0.2865794233942579
ACH-000263,-0.27884521521527794
ACH-000264,-0.1506094566008546
ACH-000265,-0.07560858371232948
ACH-000266,-0.18483829803288254
ACH-000272,-0.14049496853686094
ACH-000274,-0.0932981372729836
ACH-000277,-0.0687894318807867
ACH-000278,-0.16676333127414109
ACH-000279,-0.17460716541184884
ACH-000280,-0.1898037114671888
ACH-000281,-0.09176043087115897
ACH-000288,-0.17927761744623674
ACH-000291,-0.122337548263161
ACH-000293,-0.2916052694607133
ACH-000294,0.0772029947176569
ACH-000295,0.07172577090269576
ACH-000296,-0.14437649976146388
ACH-000302,-0.08818365529946176
ACH-000304,-0.4217373088887322
ACH-000307,-0.15548179476741075
ACH-000308,-0.10234263155926623
ACH-000310,-0.2290462836310236
ACH-000311,-0.1234818148563871
ACH-000312,-0.13942589382861206
ACH-000315,-0.2149463446334812
ACH-000316,-0.003083341311260074
ACH-000317,0.015199095191724153
ACH-000318,-0.1816875802686836
ACH-000319,-0.18911581357932586
ACH-000320,-0.17032757296181114
ACH-000322,-0.12539583512917696
ACH-000323,-0.19794255145237327
ACH-000324,-0.14620808598766635
ACH-000329,-0.08962340098513957
ACH-000330,-0.20004803565239904
ACH-000331,-0.1698392245617403
ACH-000332,-0.24437029453507805
ACH-000334,-0.0957565598938758
ACH-000335,0.00977281565226162
ACH-000336,-0.0990951710370765
ACH-000337,-0.1909797197730911
ACH-000338,-0.15478387987100126
ACH-000339,-0.150659408820956
ACH-000341,-0.2281628780483825
ACH-000348,-0.14447901149267975
ACH-000350,-0.0174710234399707
ACH-000352,-0.11730023394451085
ACH-000356,-0.22268528038619825
ACH-000361,-0.034024341890334264
ACH-000362,-0.13133547681405258
ACH-000363,-0.2347575688154661
ACH-000364,-0.2696190018238038
ACH-000365,-0.0890890922802191
ACH-000366,-0.20298365149465816
ACH-000368,-0.17105352124957968
ACH-000374,-0.23068127568255944
ACH-000375,0.08431429556182006
ACH-000376,-0.12538964638698288
ACH-000381,-0.06176194741078611
ACH-000383,-0.16344487119555484
ACH-000387,-0.09946246333402166
ACH-000389,-0.3985349220745295
ACH-000390,-0.2207530646217771
ACH-000393,-0.18364824275076005
ACH-000395,-0.20189286121778
ACH-000396,-0.22264456518233755
ACH-000397,-0.16857768977177878
ACH-000401,0.031689668274441106
ACH-000402,0.2066189736821902
ACH-000403,-0.2013107080445298
ACH-000404,-0.41847293577669503
ACH-000406,-0.12766064160090712
ACH-000407,-0.07955778214171927
ACH-000408,-0.2046399446944935
ACH-000410,-0.1095735810669991
ACH-000411,-0.1059768800499908
ACH-000414,-0.10730271321417667
ACH-000415,-0.1597328313947242
ACH-000416,-0.15144681711694674
ACH-000420,-0.004226901905823931
ACH-000421,-0.06372461495602681
ACH-000424,-0.11622230301749005
ACH-000425,-0.17607741495331408
ACH-000426,-0.1839321120654792
ACH-000427,-0.04514988605090728
ACH-000433,-0.09191772219699812
ACH-000435,-0.1707139102477083
ACH-000436,-0.2986417429219592
ACH-000444,-0.021157769659072092
ACH-000445,-0.04318203853027861
ACH-000448,-0.1453126268393837
ACH-000450,-0.0523531224088438
ACH-000452,-0.19489985104297675
ACH-000454,-0.11720919604882216
ACH-000458,-0.09842028764620443
ACH-000459,-0.09822604909361007
ACH-000460,-0.04154810829357672
ACH-000461,-0.10440274423227704
ACH-000463,-0.17790586983952114
ACH-000464,-0.08455880826853716
