,PROK1 (84432)
ACH-000250,-0.09254930825357628
ACH-000251,-0.018135092181539005
ACH-000252,-0.16637993508713564
ACH-000253,-0.07643227200762362
ACH-000255,-0.12867919060159966
ACH-000256,-0.0564364995219127
ACH-000257,-0.08084841248808622
ACH-000258,-0.13421855256695145
ACH-000259,-0.08944534618946277
ACH-000260,-0.1419199828400237
ACH-000261,-0.11540118355263307
ACH-000262,0.04364870873074626
ACH-000263,-0.05361037798544549
ACH-000264,-0.14012347776628226
ACH-000265,-0.12962523419768168
ACH-000266,-0.03063336202691538
ACH-000272,-0.1837152328077884
ACH-000274,-0.1455305906424637
ACH-000277,-0.06056206816895177
ACH-000278,-0.18583184281361245
ACH-000279,-0.09172512040983773
ACH-000280,-0.10917603646972483
ACH-000281,0.13921843335702394
ACH-000288,-0.1429026997778651
ACH-000291,-0.08818292467523238
ACH-000293,-0.07094304067349072
ACH-000294,-0.1399374846334697
ACH-000295,0.043193163490998984
ACH-000296,-0.12190885366918232
ACH-000302,-0.2112832785562099
ACH-000304,-0.3469583023871206
ACH-000307,0.048529475810487326
ACH-000308,-0.12325873827632185
ACH-000310,-0.10537874324597632
ACH-000311,-0.1555433797445656
ACH-000312,-0.1819053338797191
ACH-000315,-0.19167701025252826
ACH-000316,-0.03769202835716056
ACH-000317,-0.2359134872797897
ACH-000318,-0.07043841664469272
ACH-000319,-0.12928255391437227
ACH-000320,-0.31895577220908505
ACH-000322,0.0012175375211002446
ACH-000323,-0.19139230514135536
ACH-000324,-0.038206905322325256
ACH-000329,-0.09300386860026934
ACH-000330,-0.16484627954130146
ACH-000331,-0.17558270758127412
ACH-000332,-0.08876819353719125
ACH-000334,-0.10109008754315912
ACH-000335,-0.30677167492935703
ACH-000336,0.19653851304341297
ACH-000337,-0.046703057014416634
ACH-000338,-0.020663855458426705
ACH-000339,-0.03998909103424659
ACH-000341,-0.1202798796034074
ACH-000348,-0.1277997007061324
ACH-000350,0.08658963330567572
ACH-000352,-0.136350837672676
ACH-000356,-0.08301144105804502
ACH-000361,-0.053469407516820465
ACH-000362,-0.09263208913560847
ACH-000363,-0.012536130793710869
ACH-000364,-0.05925592884325377
ACH-000365,-0.10117662934735833
ACH-000366,-0.17454095655033205
ACH-000368,-0.1020281458282232
ACH-000374,-0.09504871668875976
ACH-000375,0.19082450693807287
ACH-000376,-0.1104093641824572
ACH-000381,0.07761104839796801
ACH-000383,-0.18389321136935885
