,CRTAC1 (55118)
ACH-000004,0.04270818498088725
ACH-000005,0.2902588103211777
ACH-000007,-0.02086145675822864
ACH-000009,-0.06532765231704173
ACH-000011,-0.046353226398525835
ACH-000012,-0.09961611502717697
ACH-000013,-0.06902217724862336
ACH-000014,-0.11151452234656703
ACH-000015,-0.14190849162728109
ACH-000017,0.07114369965841466
ACH-000018,-0.28415516992619666
ACH-000019,0.0791827889349568
ACH-000021,0.022271748697616018
ACH-000022,-0.2261727465826351
ACH-000025,-0.17738165906065884
ACH-000028,0.024889037768038764
ACH-000030,-0.07625583516771207
ACH-000035,-0.25262289230219714
ACH-000036,-0.168870581752376
ACH-000037,-0.06507530641149555
ACH-000039,-0.14464010573448507
ACH-000040,-0.16558083981828736
ACH-000041,-0.08703745769130304
ACH-000042,-0.0892145242230406
ACH-000045,-0.12053440027319892
ACH-000047,-0.057253387519628
ACH-000052,-0.2273743567726344
ACH-000053,-0.1605691169458672
ACH-000054,-0.06317805972135028
ACH-000055,-0.13182860935498406
ACH-000060,-0.2586526782987584
ACH-000067,-0.1285988111001818
ACH-000070,0.1924011920816366
ACH-000075,-0.1274622702581621
ACH-000078,-0.12143178316800834
ACH-000082,-0.06547798453400594
ACH-000085,-0.11596143771703622
ACH-000086,-0.06629736902315699
ACH-000087,0.008502165769563481
ACH-000092,-0.07076416331330307
ACH-000095,-0.041576385211875413
ACH-000097,-0.017350515670754976
ACH-000098,-0.14939476560106366
ACH-000099,-0.10855336690779738
ACH-000108,0.03932476342804933
ACH-000113,-0.11356088708688887
ACH-000116,-0.1080789416311833
ACH-000118,-0.04505383140884873
ACH-000120,-0.12454040326690627
ACH-000123,-0.1342400388341967
ACH-000127,-0.0931143856167783
ACH-000128,-0.052326045074497965
ACH-000132,-0.153177642409798
ACH-000133,-0.07279046209043616
ACH-000137,-0.2723558379357486
ACH-000138,0.006967948469222857
ACH-000142,-0.08693681785734028
ACH-000143,0.13152576453220932
ACH-000146,-0.09522470001370456
ACH-000148,-0.20494021593747705
ACH-000150,-0.0697403201618644
ACH-000152,-0.0704252445341384
ACH-000153,-0.11405817889129527
ACH-000159,-0.11585650304608447
ACH-000160,-0.08368858143583452
ACH-000163,-0.0658662138676436
ACH-000167,0.0734379606210913
ACH-000168,-0.1529582790750571
ACH-000169,-0.264320597453206
ACH-000178,-0.08047635493591171
ACH-000183,-0.17351573593648473
ACH-000188,-0.2169571240698772
ACH-000189,0.11129829554198244
ACH-000190,-0.010212240169794535
ACH-000198,-0.17672360350564412
ACH-000203,0.1144923345638969
ACH-000204,-0.1310783701990484
ACH-000206,0.054619821873870766
ACH-000207,0.00842671738949364
ACH-000208,-0.4262428061395053
ACH-000210,-0.20595482216699434
ACH-000211,-0.16579155209522625
ACH-000215,-0.09617830388064136
ACH-000221,-0.07770321524069307
ACH-000222,0.07201693880296925
