,IFITM1 (8519)
ACH-000004,0.07521263750559799
ACH-000005,0.2655527500515997
ACH-000007,0.2522226665364075
ACH-000009,0.0975273174483147
ACH-000011,0.1860881472445299
ACH-000012,-0.0003156921296980724
ACH-000013,0.17672556071502474
ACH-000014,0.13407252026215982
ACH-000015,0.09787638606516694
ACH-000017,0.12889261675326807
ACH-000018,0.013653707330345316
ACH-000019,0.28259848864099685
ACH-000021,0.08980524883450282
ACH-000022,0.032773324878751404
ACH-000025,0.09254216977509988
ACH-000028,0.09409604018694273
ACH-000030,0.11228962505737652
ACH-000035,-0.022095667740260515
ACH-000036,-0.08065321890048506
ACH-000037,0.2246907317074368
ACH-000039,0.13170030531917434
ACH-000040,0.08798333628810298
ACH-000041,0.12296049321001352
ACH-000042,0.08221766366880849
ACH-000045,-0.0022764704884314273
ACH-000047,-0.002612353441600212
ACH-000052,0.05856278451273517
ACH-000053,0.04844315876033605
ACH-000054,0.06403907720031664
ACH-000055,0.16358572365482246
ACH-000060,0.18740030574061076
ACH-000067,0.19129677735395054
ACH-000070,0.11740673793791175
ACH-000075,0.1823075386658104
ACH-000078,-0.0839340276429559
ACH-000082,0.11988688949598135
ACH-000085,0.17261127869773635
ACH-000086,0.13361556116847512
ACH-000087,0.1840873328316673
ACH-000092,0.15266681264682272
ACH-000095,0.017866589529856747
ACH-000097,0.14076450255246048
ACH-000098,0.10563165282783944
ACH-000099,0.14479072389582975
ACH-000108,0.04018589606732924
ACH-000113,0.06452886578186345
ACH-000116,0.1359538486649429
ACH-000118,0.1746830468838018
ACH-000120,0.13650666279370274
ACH-000123,0.15112099283863464
ACH-000127,0.01772186989416174
ACH-000128,0.005219864448720618
ACH-000132,0.14498136337563947
ACH-000133,0.13054398346466528
ACH-000137,0.005301164080438474
ACH-000138,0.01886434759114237
ACH-000142,0.16833584457623907
ACH-000143,0.17610266239448885
ACH-000146,0.09639904015437076
ACH-000148,0.03848271285936298
ACH-000150,0.0931540389412435
ACH-000152,0.17246956444202158
ACH-000153,0.12674479625377258
ACH-000159,0.0866475688931428
ACH-000160,0.1543562921985664
ACH-000163,0.05843403871200975
ACH-000167,0.018971839575519414
ACH-000168,-0.04566084020676739
ACH-000169,0.018634679817818432
ACH-000178,0.11630084435971128
ACH-000183,-0.003223298614199628
ACH-000188,0.2088183237524243
ACH-000189,0.16029544060183235
