,BAG2 (9532)
ACH-000411,-0.19049898479010635
ACH-000414,-0.3236597878929026
ACH-000415,-0.1529661156196959
ACH-000416,-0.2161701609130058
ACH-000420,-0.22195368478473654
ACH-000421,-0.34631032499734776
ACH-000424,-0.06621962316834025
ACH-000425,-0.15111922601780828
ACH-000426,-0.20021384240677084
ACH-000427,-0.1124239181934642
ACH-000433,-0.1680647998474722
ACH-000435,-0.03396871499909277
ACH-000436,-0.1988541481413439
ACH-000444,-0.18479237732156487
ACH-000445,0.009758280570803824
ACH-000448,-0.15975350395002413
ACH-000450,-0.32758174412634633
ACH-000452,-0.14690922761082353
ACH-000454,-0.4290592825300238
ACH-000458,-0.18105523660307116
ACH-000459,-0.15802242260531515
ACH-000460,-0.07337849464468152
ACH-000461,-0.15506688066151425
ACH-000463,-0.19604508622792555
ACH-000464,-0.23101973217747715
ACH-000466,-0.1521711202575156
ACH-000467,-0.1830946475975916
ACH-000468,-0.04656346672533878
ACH-000469,-0.1495598415317763
ACH-000470,-0.08177495916693099
ACH-000471,-0.2180995108141972
ACH-000472,-0.08625191191483088
ACH-000473,-0.18791302160146994
ACH-000475,-0.2278243636144265
ACH-000476,-0.20961962617571636
ACH-000477,-0.4246080265298436
ACH-000479,-0.4710820591564537
ACH-000480,0.10406804994580593
ACH-000481,-0.11930036913842468
ACH-000483,-0.14856480623328652
ACH-000484,-0.06651490746431013
ACH-000485,-0.0007294107326362982
ACH-000486,-0.2870847870888685
ACH-000487,-0.1917832430717252
ACH-000488,-0.0493146435765948
ACH-000490,-0.2529378582395085
ACH-000491,-0.15312027847301884
ACH-000495,-0.07501647871966248
ACH-000496,-0.2358971586061793
ACH-000499,-0.2183614480045367
ACH-000500,-0.09727861677386124
ACH-000502,-0.20128838765011065
ACH-000503,0.022275698958042045
ACH-000505,-0.1803065506083553
ACH-000507,-0.20815142692239386
ACH-000510,-0.12031574033557282
ACH-000511,-0.2616526778691535
ACH-000512,-0.1984057089330023
ACH-000516,-0.2502521323223955
ACH-000517,-0.2849004920694939
ACH-000518,-0.14646046619977984
ACH-000520,-0.2047385695719804
ACH-000521,-0.42163457541087773
ACH-000522,-0.27999476103323834
ACH-000524,-0.2666114464049699
ACH-000527,-0.08968882685121961
ACH-000528,-0.1910589991721661
ACH-000537,-0.1242223538688735
ACH-000541,-0.493054852057474
ACH-000542,-0.18575791071902686
ACH-000544,-0.2859894969988144
ACH-000545,-0.11509117082833473
ACH-000547,-0.01780403820415336
ACH-000548,-0.17599326597846673
ACH-000549,-0.10545649312524724
ACH-000550,-0.3590229687467971
ACH-000552,-0.408197470529745
ACH-000556,-0.033308874831330576
ACH-000557,-0.17003815061308866
ACH-000569,-0.11519766682253466
ACH-000570,0.0036825648871148258
ACH-000571,-0.1201375762297446
ACH-000573,-0.18960115862604648
ACH-000576,-0.2690109172153892
ACH-000579,-0.049811689855613565
ACH-000580,-0.2378795854153881
ACH-000584,-0.00039751408231340047
ACH-000585,-0.2048330429698268
ACH-000588,-0.14510935113658008
ACH-000589,-0.10375435140093746
ACH-000591,-0.2221096560184677
ACH-000593,-0.04725843225973378
ACH-000600,-0.12821821403976488
ACH-000601,-0.19337684380677772
ACH-000605,-0.10296516795958137
ACH-000606,-0.2501604408889765
ACH-000608,-0.1079204000294562
ACH-000614,-0.21472714046352867
ACH-000616,-0.2108189951574817
ACH-000618,-0.08474087104856419
ACH-000619,-0.10718723139645103
ACH-000620,-0.03425253431180581
ACH-000621,-0.2689952448494141
ACH-000622,-0.2505679436740339
ACH-000623,-0.2005989271161819
ACH-000624,-0.17750290784296782
ACH-000627,0.024472335701391748
ACH-000630,-0.181757969220158
ACH-000631,-0.30109387106216223
ACH-000632,-0.22655896787454166
ACH-000633,-0.22084200515199934
ACH-000637,-0.2925953872367457
ACH-000638,-0.3194132046589048
ACH-000646,-0.2038192277462035
ACH-000647,-0.14377812408153495
ACH-000648,-0.12935420192576771
ACH-000649,-0.17789968913951876
ACH-000651,-0.16934402580090624
ACH-000652,-0.2761109636047638
ACH-000653,-0.2499929375441645
ACH-000657,-0.3050180005104106
ACH-000658,-0.24818623220986216
ACH-000661,-0.2343644684742213
ACH-000662,-0.5577292566409393
ACH-000663,0.03423499557733641
ACH-000665,-0.2876582728568186
ACH-000671,-0.22099982305969876
ACH-000672,-0.1477619358320456
ACH-000673,-0.2652646891828555
ACH-000676,-0.10924442273591596
ACH-000677,-0.3170134845934558
ACH-000681,-0.15460894829428476
ACH-000683,-0.15688775171432667
ACH-000684,-0.003977161732687208
ACH-000688,-0.28244596412202233
ACH-000693,-0.07505656886103981
ACH-000694,-0.10009001273113123
ACH-000695,-0.0032712199703579963
ACH-000696,-0.2887309317050626
ACH-000697,-0.2164042429316513
ACH-000699,-0.2948479126135066
ACH-000701,-0.19694458312451107
ACH-000706,-0.23842182953757216
ACH-000711,-0.2265313899980009
ACH-000713,-0.3673837225359324
ACH-000714,-0.17312355796654302
ACH-000718,-0.20076187058951325
ACH-000720,-0.17013814800267493
ACH-000721,-0.3488295340870489
ACH-000724,-0.2867421582149309
ACH-000725,-0.2813672289530997
ACH-000732,-0.09118472726048224
ACH-000734,-0.15631867072285366
ACH-000735,-0.1974072596456184
ACH-000736,-0.28514123498762955
ACH-000738,-0.2684894468542531
ACH-000746,-0.19893903181353945
ACH-000747,-0.18548919667913707
ACH-000748,-0.2888972914158285
ACH-000753,-0.06241248730822295
ACH-000756,-0.13048955029209053
ACH-000757,-0.10738637173757293
ACH-000758,-0.2257988118422863
ACH-000760,-0.11524479793558715
ACH-000762,-0.14921682213878545
ACH-000763,-0.14772356024617625
ACH-000764,-0.3171320727670515
ACH-000765,0.04570401523675488
ACH-000766,-0.33407535789965465
ACH-000767,-0.18569111741784447
ACH-000768,-0.14876393977780544
ACH-000769,-0.16563687055863488
ACH-000770,-0.22763382726559295
ACH-000771,-0.31579416836787944
ACH-000773,-0.03473274110883684
ACH-000776,-0.15611531469217865
ACH-000777,-0.08296554482548052
ACH-000778,-0.1988649781850116
ACH-000781,-0.2249950163893088
ACH-000782,-0.15433412215218711
ACH-000783,-0.21780410025775224
ACH-000784,-0.045055325780692525
ACH-000785,-0.16188475745245573
ACH-000787,-0.06511334448315119
ACH-000788,-0.12968919469323412
ACH-000791,-0.21027108979093576
ACH-000792,-0.22076567909905015
ACH-000794,-0.18841452994047345
ACH-000796,-0.012349129051147026
ACH-000798,-0.4676388730627428
ACH-000799,-0.37702940930725465
ACH-000800,-0.4267245534867305
ACH-000802,-0.12605919314727393
ACH-000804,0.06962437614586366
ACH-000805,-0.37406658024724937
ACH-000809,-0.3226956440564944
ACH-000810,-0.5939884457543859
ACH-000811,-0.2009022469479275
ACH-000817,-0.16696476060761628
ACH-000819,0.0066193729211566285
ACH-000820,-0.27746940867428194
ACH-000821,-0.20178567859096375
ACH-000822,-0.2916746192934217
ACH-000823,-0.12078447564407745
ACH-000824,-0.04372682457056915
ACH-000827,-0.3236488847521354
ACH-000829,-0.09586018618816793
ACH-000831,-0.18917501889821592
ACH-000832,-0.30042427091316404
ACH-000833,-0.36501355105360667
ACH-000834,-0.2258620679412845
ACH-000835,-0.24846130926896226
ACH-000836,-0.09947931691007128
ACH-000837,-0.19765212246322786
ACH-000838,-0.13978737635471178
ACH-000839,-0.20393778178678634
ACH-000840,0.059206539174800225
ACH-000841,-0.2479335929875676
ACH-000843,-0.09720258952777594
ACH-000846,-0.488832384189537
ACH-000847,-0.0006134825978641537
ACH-000848,-0.057055678653005135
ACH-000849,0.005161049221689157
ACH-000851,-0.3093197806224444
ACH-000855,-0.3787494119320132
ACH-000856,-0.0936250697810849
ACH-000858,-0.14857246884702266
ACH-000859,-0.10892328594207401
ACH-000861,-0.16640636389027005
ACH-000862,-0.041856765743876236
ACH-000865,-0.20466096468394174
ACH-000866,-0.10369081859622127
ACH-000867,-0.2548554122148434
ACH-000869,-0.2419321279571042
ACH-000872,-0.2684799671044446
ACH-000873,-0.20069535812138364
ACH-000876,-0.29711895712557906
ACH-000878,-0.16801285444412506
ACH-000880,-0.14678585667752206
ACH-000881,-0.19805312035248987
ACH-000882,-0.4160072270320626
ACH-000884,-0.2332603673197364
ACH-000885,-0.1925207756894205
ACH-000887,-0.1460890529319911
ACH-000889,-0.08312121030204553
ACH-000896,-0.07610009527572979
ACH-000898,-0.10087540165680707
ACH-000900,-0.3150812273500297
ACH-000901,-0.227428345703976
ACH-000905,-0.1962287337056926
ACH-000906,-0.1809618481458312
ACH-000907,-0.10079894247431348
ACH-000910,-0.029406917959400068
ACH-000911,-0.12530711409027218
ACH-000912,-0.20546552495554546
ACH-000913,-0.14433854756593764
ACH-000915,-0.41190331285906656
ACH-000916,-0.14605900917306888
ACH-000917,-0.2309000717704972
ACH-000920,-0.12309771612853113
ACH-000921,-0.2589452460933253
ACH-000924,-0.17020593717268642
ACH-000926,-0.3522611180755152
ACH-000928,-0.22310573459039287
ACH-000929,-0.1852547923826588
ACH-000932,-0.2182281445258396
ACH-000935,-0.048332452695632216
ACH-000936,-0.2786512926163965
ACH-000937,-0.16515985326477067
ACH-000938,-0.0951562367901776
ACH-000939,-0.01788729824572042
ACH-000941,-0.2145180526002179
ACH-000943,-0.21043030650624425
ACH-000946,-0.2269134733124733
ACH-000947,-0.13079544626746634
ACH-000948,-0.10450264429994438
ACH-000950,0.1320911838234837
ACH-000953,-0.07247240996574407
ACH-000954,-0.16401175745442245
ACH-000957,-0.15248965373347614
ACH-000958,-0.14091352489446338
ACH-000960,-0.09487003417999394
ACH-000963,0.0438754041644658
ACH-000968,0.029540559917709326
ACH-000969,-0.04595951670986813
ACH-000972,-0.1953666301611224
ACH-000973,-0.2598441148499841
ACH-000974,-0.11909335470616456
ACH-000978,-0.2305055888951929
ACH-000984,-0.3360287883636441
ACH-000986,-0.09377353483709916
ACH-000988,-0.08977837116832521
ACH-000993,0.05542163568734003
ACH-000994,-0.14240375786682555
ACH-000996,-0.4365516382955738
ACH-001001,-0.20680942244418848
ACH-001020,-0.18616796568990288
ACH-001028,-0.12670928402779566
ACH-001031,-0.2490015600962842
ACH-001038,-0.14189739399724072
ACH-001048,-0.2970965984920733
ACH-001050,-0.20413277921150694
ACH-001053,-0.44508337335376347
ACH-001054,-0.1678848553469352
ACH-001061,-0.24345175303165875
ACH-001067,-0.23578763138337425
ACH-001075,-0.221358771221618
ACH-001096,-0.08531890562457818
ACH-001111,-0.0752921991414637
ACH-001119,-0.1796430642635966
ACH-001128,-0.31603681416272245
ACH-001134,-0.3766032380897847
ACH-001151,-0.38472623101494624
ACH-001163,-0.03648397848188018
ACH-001164,-0.2176798026666672
ACH-001183,-0.2319397038558428
ACH-001192,0.058754283435446135
ACH-001193,-0.16696989481917485
ACH-001196,-0.02725313624675929
ACH-001197,0.04642519180957763
ACH-001205,-0.1751350425561449
ACH-001211,-0.10857738208918452
ACH-001212,-0.13215169447508374
ACH-001228,-0.02718772824393718
ACH-001232,-0.238859853989104
ACH-001239,-0.21755356594067407
ACH-001270,-0.2560494919741557
ACH-001274,-0.16636783863834925
ACH-001275,-0.03023588247245501
ACH-001277,-0.26886627025292464
ACH-001278,-0.034000626254847344
ACH-001280,-0.12371954847767146
ACH-001283,-0.0802424204538135
ACH-001289,-0.2473148088187568
ACH-001300,-0.12976185743464708
ACH-001301,-0.1468936476083778
ACH-001302,-0.2360130566205046
ACH-001306,-0.17904704084835976
ACH-001318,-0.17347740305096934
ACH-001322,-0.06200478979698925
ACH-001328,-0.10642827150283182
ACH-001332,-0.28410538949444186
ACH-001336,-0.16646753396195155
ACH-001346,-0.19995539790314848
ACH-001353,-0.21551543291114011
ACH-001354,0.12594537692423527
ACH-001367,-0.21250893723541206
ACH-001368,-0.2473612542621809
ACH-001374,-0.3653563264424336
ACH-001377,-0.10720769581666764
ACH-001380,-0.13617034803653533
ACH-001391,-0.48499522783494003
