,GP1BB (2812)
ACH-000004,-0.2692714929259783
ACH-000005,-0.3422128351282346
ACH-000007,-0.07037851850981994
ACH-000009,-0.17689909310575602
ACH-000011,-0.08276554217981215
ACH-000012,-0.2485467160477017
ACH-000013,-0.21011939488210452
ACH-000014,-0.2398586048311073
ACH-000015,-0.18094241930020866
ACH-000017,-0.203424366862043
ACH-000018,-0.17719495806422814
ACH-000019,0.10285483065036358
ACH-000021,-0.26183903745430226
ACH-000022,-0.17204568604214962
ACH-000025,-0.22661157062978696
ACH-000028,-0.15596688435371858
ACH-000030,-0.18253760933249985
ACH-000035,-0.34936045480493955
ACH-000036,-0.27418269376191523
ACH-000037,-0.2059967445013705
ACH-000039,0.05548081926136239
ACH-000040,-0.05554670952659669
ACH-000041,-0.16996194981467902
ACH-000042,-0.2620146629424663
ACH-000045,-0.06897408119493957
ACH-000047,-0.27027413532897343
ACH-000052,-0.32893418958716153
ACH-000053,-0.17749812174867452
ACH-000054,-0.0462744333089246
ACH-000055,-0.217753456590712
ACH-000060,-0.20061346948174094
ACH-000067,-0.2692435120213131
ACH-000070,-0.2747562728618485
ACH-000075,-0.26880674473305666
ACH-000078,-0.03334483498303339
ACH-000082,-0.08209019223985724
ACH-000085,-0.03935153371946886
ACH-000086,-0.04174369839014615
ACH-000087,-0.16875627415824038
ACH-000092,-0.3327526187501747
ACH-000095,-0.060521339797403186
ACH-000097,-0.14643537337834267
ACH-000098,-0.2097815351491923
ACH-000099,-0.07013861599932338
ACH-000108,-0.31032750628038136
ACH-000113,-0.14127981694215466
ACH-000116,-0.07792848361256517
ACH-000118,-0.2290756283328827
ACH-000120,-0.17222190251774194
ACH-000123,-0.06379310149228741
ACH-000127,-0.1178832001192282
ACH-000128,-0.0750241559878545
ACH-000132,-0.1629215136958817
ACH-000133,-0.30931070805010463
ACH-000137,-0.3704375661349904
ACH-000138,0.047822453219097866
ACH-000142,-0.11195623240765468
ACH-000143,-0.08819893750384378
ACH-000146,-0.12946622331383745
ACH-000148,-0.053492531990089576
ACH-000150,-0.1473525900743124
ACH-000152,-0.17968566739019695
ACH-000153,0.20794295905359086
ACH-000159,0.05775478188315161
ACH-000160,-0.36295551611907423
ACH-000163,-0.013334892861522295
ACH-000167,0.08281060928812535
ACH-000168,-0.30539008526529643
ACH-000169,-0.15305694283499885
ACH-000178,-0.06919542895862836
ACH-000183,-0.11957785808199413
ACH-000188,-0.14436547769114422
ACH-000189,-0.08074379939362981
ACH-000190,-0.012295277221782523
ACH-000198,-0.02250283086386648
ACH-000203,0.07100625982624251
ACH-000204,-0.12820356856524062
ACH-000206,-0.06855294497885964
ACH-000207,-0.2124754145411904
ACH-000208,-0.28921097748564145
ACH-000210,-0.0448694669435412
ACH-000211,-0.014694953372997043
ACH-000215,-0.08845487827551021
ACH-000221,-0.15879528044439226
ACH-000222,-0.2821428419873382
ACH-000223,-0.21846548125233767
ACH-000226,-0.22823281462284584
ACH-000227,-0.13300932397298426
ACH-000228,-0.08031162582112397
ACH-000231,-0.3143893006057726
ACH-000232,-0.1003734621933256
ACH-000233,-0.13858416860366568
ACH-000234,0.01698365136703925
ACH-000235,-0.059192972533229214
ACH-000237,-0.10674291212858976
ACH-000238,-0.13377799503749568
ACH-000242,-0.2393528480243094
ACH-000243,-0.20712143195573146
ACH-000244,-0.037222888866998975
ACH-000246,-0.018562470668410373
ACH-000248,-0.14643910710125094
ACH-000250,-0.05383822652924517
ACH-000251,-0.1545102722076052
ACH-000252,-0.1831005682132544
ACH-000253,-0.17128375326922524
ACH-000255,-0.2379790539858585
ACH-000256,-0.3398269212642214
ACH-000257,-0.061210052592662885
ACH-000258,-0.1533274233828326
ACH-000259,-0.19409907898982745
ACH-000260,-0.10210912060000556
ACH-000261,-0.117333178463284
ACH-000262,-0.04579079166993121
ACH-000263,-0.1820326962678909
ACH-000264,-0.2800653652417894
ACH-000265,-0.14525388114673682
ACH-000266,-0.15992373824278586
ACH-000272,-0.1869932738497596
ACH-000274,-0.25859012022603434
ACH-000277,-0.10395988972833864
ACH-000278,-0.23082474927045796
ACH-000279,-0.12455717747070635
ACH-000280,-0.23983776879344884
ACH-000281,-0.09214802067358502
ACH-000288,-0.1206279078721866
ACH-000291,-0.11168297596100384
ACH-000293,-0.12450630369824095
ACH-000294,-0.03562674373526065
ACH-000295,-0.6241632210663618
ACH-000296,-0.15013480259983195
ACH-000302,-0.1719327091695705
ACH-000304,-0.2788083027056975
ACH-000307,-0.19188036950170784
ACH-000308,-0.1206028046079584
ACH-000310,-0.03670644339913698
ACH-000311,-0.07323953060791166
ACH-000312,-0.15217919461144852
ACH-000315,-0.15339982955945725
ACH-000316,-0.15032596419189026
