,WIF1 (11197)
ACH-000004,0.018044498911785663
ACH-000005,-0.3569314051837226
ACH-000007,0.18983406552064191
ACH-000009,-0.06695130585172783
ACH-000011,-0.025890192234447783
ACH-000012,-0.10488474354524292
ACH-000013,-0.029787983054828913
ACH-000014,-0.031770287131638465
ACH-000015,-0.1520434562571091
ACH-000017,-0.06472585448231698
ACH-000018,-0.058162238687274236
ACH-000019,0.006188670116766281
ACH-000021,0.005880317650241745
ACH-000022,0.09068428481181594
ACH-000025,-0.11515927008461707
ACH-000028,-0.2375833187067144
ACH-000030,-0.0030931476073850638
ACH-000035,-0.009999768417950241
ACH-000036,0.07903884058986782
ACH-000037,0.017320759721738826
ACH-000039,0.12479535312111265
ACH-000040,-0.033160304971334785
ACH-000041,0.03537829048042567
ACH-000042,-0.005434483193738527
ACH-000045,0.034559434403943656
ACH-000047,0.0019449402989992067
ACH-000052,-0.16591218735899887
ACH-000053,-0.07953305448108783
ACH-000054,-0.09184450099320272
ACH-000055,-0.003408562008215436
ACH-000060,0.06937861095823815
ACH-000067,-0.2164340870385472
ACH-000070,-0.03442977508693846
ACH-000075,-0.06379940548921259
ACH-000078,-0.04283278015731769
ACH-000082,-0.134323816689645
ACH-000085,-0.0029073577518345475
ACH-000086,-0.14587041906149395
ACH-000087,0.010804667217300444
ACH-000092,-0.01934991308087471
ACH-000095,-0.07194557178229287
ACH-000097,-0.03409033731729455
ACH-000098,-0.04406209829937775
ACH-000099,0.007933033149575759
ACH-000108,0.09565814100258012
ACH-000113,0.020330885120502715
ACH-000116,-0.025140021584811708
ACH-000118,-0.0976053513371554
ACH-000120,0.1288757581654876
ACH-000123,-0.07032203658083275
ACH-000127,-0.039402402631123545
ACH-000128,-0.0671265157010029
ACH-000132,0.017906662737012646
ACH-000133,-0.08211164522991359
ACH-000137,0.03293573163960032
ACH-000138,-0.0991779266651709
ACH-000142,-0.02508645472213907
ACH-000143,-0.14392154610749575
ACH-000146,-0.022157154822329776
