,MSTO1 (55154)
ACH-000004,-0.943180336714516
ACH-000005,-0.6774744808202994
ACH-000007,-0.8140221213005109
ACH-000009,-0.6606523606182478
ACH-000011,-0.4841628820048694
ACH-000012,-0.6868944109636946
ACH-000013,-0.8188722571867876
ACH-000014,-0.5346918631857285
ACH-000015,-0.8971516679459822
ACH-000017,-0.1757305047126799
ACH-000018,-0.9429520098930184
ACH-000019,-0.6448424364142298
ACH-000021,-0.36149523036738296
ACH-000022,-0.9056457557129012
ACH-000025,-0.8960323570341964
ACH-000028,-0.990752228237214
ACH-000030,-0.9006018726054408
ACH-000035,-0.6954417779371193
ACH-000036,-0.7537717337783767
ACH-000037,-0.4937123357700048
ACH-000039,-0.508715059721684
ACH-000040,-1.069916071103722
ACH-000041,-0.31699304434604536
ACH-000042,-0.8193693131526985
ACH-000045,-1.0344487998058811
ACH-000047,-0.10967501490319392
ACH-000052,-0.6478048967521322
ACH-000053,-0.7156030911652637
ACH-000054,-1.0680096976085105
ACH-000055,-0.6841670609522362
ACH-000060,-0.7346255545782654
ACH-000067,-1.1943898786138116
ACH-000070,-0.8164006909277279
ACH-000075,-0.5299279851737713
ACH-000078,-0.6433639606852992
ACH-000082,-0.5077690813902417
ACH-000085,-0.4118112534875808
ACH-000086,-0.7395248706460996
ACH-000087,-0.6217834148560235
ACH-000092,-1.0381256608406997
ACH-000095,-0.4346441749128606
ACH-000097,-0.2887731969431623
ACH-000098,-0.7692237305411401
ACH-000099,-0.7598363471793844
ACH-000108,-0.4365418935185921
ACH-000113,-0.8204523527268224
ACH-000116,-0.4776579753488943
ACH-000118,-0.9940430767126452
ACH-000120,-0.8635183822608541
ACH-000123,-0.8752433171869036
ACH-000127,-0.9057730343453004
ACH-000128,-0.9268560285137228
ACH-000132,-0.9053441146890652
ACH-000133,-1.0269712051654176
ACH-000137,-0.5927462544716912
ACH-000138,-0.8752321201339974
ACH-000142,-0.9631676351206521
ACH-000143,-0.6769374616321098
ACH-000146,-0.4635245519208208
ACH-000148,-0.9915891300632256
ACH-000150,-0.6944931810087285
ACH-000152,-0.9145501828572488
ACH-000153,-0.8868057300277841
ACH-000159,-0.419328337708988
ACH-000160,-0.9746547002435396
ACH-000163,-1.2483639001645284
ACH-000167,-0.8584302048781699
ACH-000168,-0.8568382506637923
ACH-000169,-0.26244064796390737
ACH-000178,-0.609901575674063
ACH-000183,-0.7630657404126212
ACH-000188,-0.644924344071035
ACH-000189,-0.8003632946024195
ACH-000190,-1.1182770829723918
ACH-000198,-0.6205783324569509
ACH-000203,-1.1444999528929087
ACH-000204,-0.8237865428310627
ACH-000206,-0.5363944863284784
ACH-000207,-0.6641230978065169
ACH-000208,-0.8203202752951418
ACH-000210,-0.5107967122747441
ACH-000211,-1.1075948667921796
ACH-000215,-1.2006343226694958
ACH-000221,-1.0480368143311578
ACH-000222,-0.9380592227139388
ACH-000223,-0.26136133426543445
ACH-000226,-0.4284754855055036
ACH-000227,-0.5578669772920196
ACH-000228,-0.7027560626368258
ACH-000231,-0.4318355936722215
ACH-000232,-0.41632286241089
ACH-000233,-0.3267730522080221
ACH-000234,-0.3112885848413601
ACH-000235,-0.6871564081798858
ACH-000237,-1.0464040644953752
ACH-000238,-0.5006989081577434
ACH-000242,-0.9249611616937848
ACH-000243,-0.999897953510882
ACH-000244,-0.8346338150257452
ACH-000246,-0.7140783359869999
ACH-000248,-0.4590949414738605
ACH-000250,-0.5406978976802801
ACH-000251,-1.2587266254859033
ACH-000252,-0.5001000653051956
ACH-000253,-0.5804718351527013
ACH-000255,-0.8230522007777021
ACH-000256,-0.6710817646018771
ACH-000257,-0.3868967338742714
ACH-000258,-0.7740875383373655
ACH-000259,-0.4534777807394527
ACH-000260,-1.0270361607920442
ACH-000261,-0.6818587058895613
ACH-000262,-0.7308871790821974
ACH-000263,-0.5749955728010605
ACH-000264,-1.0804952078458527
ACH-000265,-0.897596549369891
ACH-000266,-0.5614495202776519
ACH-000272,-0.285543038358926
ACH-000274,-0.4106104911961533
ACH-000277,-0.37606555392258223
ACH-000278,-0.4814455630201101
ACH-000279,-0.09035841011068213
ACH-000280,-0.8668347768640889
ACH-000281,-1.3340250258998942
ACH-000288,-0.8842560974876571
ACH-000291,-0.300658146549607
ACH-000293,-0.3759715397927478
ACH-000294,-0.4785259807076682
ACH-000295,-0.8236684930155704
ACH-000296,-0.8530457995292493
ACH-000302,-0.2942006245835739
ACH-000304,-0.2317179664938217
ACH-000307,-0.8711515535608305
ACH-000308,-0.54326427929004
ACH-000310,-0.6225369276033986
ACH-000311,-0.6296991433228061
ACH-000312,-0.7568591078655439
ACH-000315,-0.3281991619319557
ACH-000316,-1.05011773945976
ACH-000317,-0.7597820839898105
ACH-000318,-1.0456369017551173
ACH-000319,-0.8915611800658957
ACH-000320,-0.7801271314762367
ACH-000322,-0.5190164386889471
ACH-000323,-1.175097548763082
ACH-000324,-0.6116216920698688
ACH-000329,-0.927169319996654
ACH-000330,-0.4948423397077231
ACH-000331,-0.9501151072894609
ACH-000332,-0.7020719142817083
ACH-000334,-0.5711725884663841
ACH-000335,-1.0996099806577515
ACH-000336,-0.8858140663075365
