,NNT (23530)
ACH-000004,0.019617758858104014
ACH-000005,0.09816881390658998
ACH-000007,-0.12728956572403258
ACH-000009,-0.05573086753427782
ACH-000011,-0.09325776522314058
ACH-000012,0.0450402007372254
ACH-000013,0.004919889176247267
ACH-000014,-0.021282760675091085
ACH-000015,-0.14710901248350391
ACH-000017,0.09361260481018883
ACH-000018,0.0724390407645482
ACH-000019,-0.17548998571607272
ACH-000021,0.020719327489972083
ACH-000022,-0.006771055894428713
ACH-000025,0.08859881512426873
ACH-000028,0.023646949666263486
ACH-000030,0.17620535730504713
ACH-000035,-0.010260079117493787
ACH-000036,0.0263377682288309
ACH-000037,-0.046721432659697325
ACH-000039,0.00705104155309565
ACH-000040,-0.12603667514525305
ACH-000041,0.03456677471636226
ACH-000042,-0.053635982351253365
ACH-000045,0.1088980258032241
ACH-000047,-0.10467793682512946
ACH-000052,0.009352358054865126
ACH-000053,-0.06392112554317572
ACH-000054,0.01330026884272169
ACH-000055,0.2420626666608457
ACH-000060,-0.09321834639048596
ACH-000067,-0.22390525013143328
ACH-000070,-0.1224762305074887
ACH-000075,0.08654890651087764
ACH-000078,0.023148273613651918
ACH-000082,0.18288778565814576
ACH-000085,0.05241183421901156
ACH-000086,0.04660940055238946
ACH-000087,0.18972407453586912
ACH-000092,0.018938532103019358
ACH-000095,-0.07876007687366292
ACH-000097,-0.1661174391418092
ACH-000098,-0.018902829196589626
ACH-000099,0.049995511052937314
ACH-000108,-0.03624640904113381
ACH-000113,0.04762113934877769
ACH-000116,-0.07417795399012148
ACH-000118,-0.05161084510642842
ACH-000120,-0.08308041866106859
ACH-000123,-0.017934306038483627
ACH-000127,-0.08098366384723849
ACH-000128,0.0468176271940569
ACH-000132,0.03339521370610822
ACH-000133,0.09123837444350244
ACH-000137,0.041267767095912726
ACH-000138,-0.04920794000654601
ACH-000142,-0.016437242250152168
ACH-000143,-0.1857220059198529
ACH-000146,-0.08984609430957423
ACH-000148,0.10697118616835226
ACH-000150,0.015053531209357329
ACH-000152,-0.05712439736588456
ACH-000153,-0.1896258279991574
ACH-000159,-0.025811290045812632
ACH-000160,0.01308353091778747
ACH-000163,0.07791943505401455
ACH-000167,-0.21165604168412971
