,SAMD14 (201191)
ACH-000004,0.004571369616461497
ACH-000005,0.05185712727295432
ACH-000007,-0.08098049687598917
ACH-000009,-0.12211171720113548
ACH-000011,-0.22706744390461206
ACH-000012,-0.2339808845991964
ACH-000013,-0.09183214357426528
ACH-000014,-0.021827051389041605
ACH-000015,-0.20328511694252724
ACH-000017,-0.05311712604534484
ACH-000018,-0.056916869282157626
ACH-000019,-0.1554008070718958
ACH-000021,-0.23734148186718185
ACH-000022,-0.20826452337519305
ACH-000025,-0.25119470159824564
ACH-000028,-0.1353398919791407
ACH-000030,-0.0748409999392518
ACH-000035,-0.2707333637336972
ACH-000036,-0.1785722805447572
ACH-000037,-0.08864919086942874
ACH-000039,-0.07964056523621231
ACH-000040,-0.17824972128780714
ACH-000041,-0.04897273683843016
ACH-000042,-0.0685234731835158
ACH-000045,-0.052645337765413296
ACH-000047,-0.2316718860752452
ACH-000052,-0.1408297528296041
ACH-000053,-0.14194808539780182
ACH-000054,-0.15910525873555978
ACH-000055,-0.18809979603427504
ACH-000060,-0.13684144130431286
ACH-000067,-0.10002585006168853
ACH-000070,-0.1924435539296561
ACH-000075,-0.11863416643315915
ACH-000078,0.023739834981439355
ACH-000082,-0.1068722962325545
ACH-000085,-0.04937745096829816
ACH-000086,-0.20246634154139848
ACH-000087,-0.01516461641859335
ACH-000092,-0.22553300069888302
ACH-000095,-0.017247917796583318
ACH-000097,-0.08999228965464866
ACH-000098,-0.19250534192827484
ACH-000099,-0.046364779183279387
ACH-000108,-0.12874023633034373
ACH-000113,-0.13397657117592585
ACH-000116,-0.2474413188810328
ACH-000118,-0.11450375936777485
ACH-000120,-0.28997915542710345
ACH-000123,0.07192353006563511
ACH-000127,-0.1252542006044788
ACH-000128,-0.06767393566145
ACH-000132,-0.08679957315897834
ACH-000133,-0.17502264876511653
ACH-000137,-0.0837018505382361
ACH-000138,-0.27946850678289564
ACH-000142,-0.3394287433431689
ACH-000143,-0.00045263441048287245
ACH-000146,-0.1133172950901997
ACH-000148,-0.27476235525670434
ACH-000150,-0.33113968385826403
ACH-000152,-0.1362361045729529
ACH-000153,0.11357516481230175
ACH-000159,-0.07657318120880288
ACH-000160,-0.064471660013369
ACH-000163,-0.13129907032288085
ACH-000167,-0.036517854427895374
ACH-000168,-0.11328903766911838
ACH-000169,-0.018237055706777503
ACH-000178,-0.0218707722171398
ACH-000183,-0.054597329584146335
ACH-000188,-0.28868705403057665
ACH-000189,-0.14065284189312666
ACH-000190,-0.2443773483035873
ACH-000198,-0.10464433769516164
ACH-000203,-0.4054852602695471
ACH-000204,-0.08731181291758967
