,PIWIL3 (440822)
ACH-000004,-0.1787088580810754
ACH-000005,-0.51612638167923
ACH-000007,-0.2262923291033159
ACH-000009,-0.1836563087978207
ACH-000011,-0.2833215758865628
ACH-000012,-0.34426928906602383
ACH-000013,-0.216376574584826
ACH-000014,-0.1618314713724263
ACH-000015,-0.1864487296394747
ACH-000017,-0.1461222527362897
ACH-000018,-0.19231487334420844
ACH-000019,-0.2858356801405092
ACH-000021,-0.1295447932445785
ACH-000022,-0.11304580577440035
ACH-000025,-0.3360713491874913
ACH-000028,-0.2860161654392508
ACH-000030,-0.26434869699404395
ACH-000035,-0.30663629368226597
ACH-000036,-0.3423840468493896
ACH-000037,-0.18816375608710573
ACH-000039,-0.24846245309008286
ACH-000040,-0.035979218323314806
ACH-000041,-0.2261916615349917
ACH-000042,-0.2972106302835268
ACH-000045,-0.23344685136453516
ACH-000047,-0.14211309212506784
ACH-000052,-0.47358912170284
ACH-000053,-0.20083499268522206
ACH-000054,-0.17331108210738935
ACH-000055,-0.26285941314385386
ACH-000060,-0.22318822099429989
ACH-000067,-0.19164532438162446
ACH-000070,0.2354904584808778
ACH-000075,-0.2398893148975239
ACH-000078,-0.13420582562822228
ACH-000082,-0.1762341655720728
ACH-000085,0.06590693372277648
ACH-000086,-0.05508174918705825
ACH-000087,-0.08377307522994472
ACH-000092,-0.181710970585512
ACH-000095,-0.0950978017975163
ACH-000097,-0.2025786261344932
ACH-000098,-0.19418768785569765
ACH-000099,-0.17377504554938036
ACH-000108,-0.1324790756541995
ACH-000113,-0.16507827224957358
ACH-000116,-0.20051553433833447
ACH-000118,-0.21095319683632904
ACH-000120,-0.039317578383420364
ACH-000123,-0.22249568871578865
ACH-000127,-0.09214033239600644
ACH-000128,-0.05621614753092548
ACH-000132,-0.17186941790255866
ACH-000133,-0.2054728211335026
ACH-000137,-0.12732569782705794
ACH-000138,0.01979133704896344
ACH-000142,-0.16862030092292912
ACH-000143,-0.3720676718121738
ACH-000146,-0.15563961586772027
ACH-000148,-0.1397543258707876
ACH-000150,-0.09943282422385714
ACH-000152,-0.12864491333174866
ACH-000153,0.15852744421207246
ACH-000159,-0.025972748899502775
ACH-000160,-0.2373633795278892
ACH-000163,-0.19423675961386772
ACH-000167,0.022984864266864958
ACH-000168,-0.4805646379112322
ACH-000169,-0.11879932928910394
ACH-000178,-0.11748507521236885
ACH-000183,-0.26387493474415435
ACH-000188,-0.15526473090588389
ACH-000189,-0.028334955134290605
ACH-000190,-0.4065432483288817
ACH-000198,-0.18794178328190295
ACH-000203,0.01945670076424101
ACH-000204,-0.1412787367378764
ACH-000206,-0.3245694896065836
ACH-000207,-0.1347127528659892
ACH-000208,-0.16656576355744265
ACH-000210,-0.2369494914225192
ACH-000211,-0.1929698378599366
ACH-000215,-0.13719443761530825
ACH-000221,-0.3134782484014618
ACH-000222,-0.06470005988491698
ACH-000223,-0.1464297069494986
ACH-000226,-0.21550544489766688
ACH-000227,-0.22673650460745334
ACH-000228,-0.2503022284574725
ACH-000231,-0.2937101816178228
ACH-000232,-0.3326935348174768
ACH-000233,-0.1870042059108892
ACH-000234,-0.08931657007890638
ACH-000235,-0.13366012277174807
ACH-000237,-0.16124445868566462
ACH-000238,-0.15465198600673194
ACH-000242,-0.044996651304701415
ACH-000243,-0.26754592446908865
ACH-000244,-0.2466792306402665
ACH-000246,-0.15309834925619373
ACH-000248,-0.15645582168740446
ACH-000250,-0.2215629268894405
ACH-000251,-0.03061964617544138
ACH-000252,-0.0005200601729843905
ACH-000253,-0.13223372403492248
ACH-000255,-0.3313892876981828
ACH-000256,-0.2878342565120757
ACH-000257,-0.2522546419439796
ACH-000258,-0.2500039976783371
ACH-000259,-0.14150070054032926
ACH-000260,-0.1455587653871287
ACH-000261,-0.3053007607484242
ACH-000262,-0.17091232228826744
ACH-000263,-0.3709735243073348
ACH-000264,-0.2447144854190077
ACH-000265,-0.2553741011544893
ACH-000266,-0.05400361670127353
ACH-000272,-0.3105866145482581
ACH-000274,-0.4146055022645243
ACH-000277,-0.09649283471782144
ACH-000278,-0.2284982694282953
ACH-000279,-0.15348491160327016
ACH-000280,-0.09411857226043573
ACH-000281,-0.16888847804908005
ACH-000288,-0.11469266176828648
