,DOLPP1 (57171)
ACH-000004,-0.2695165894806851
ACH-000005,-0.45866832838047
ACH-000007,0.09963602427514558
ACH-000009,-0.34225590192215993
ACH-000011,-0.5638553086141879
ACH-000012,-0.2405634540584332
ACH-000013,-0.2226725777064708
ACH-000014,0.19931885951383133
ACH-000015,-0.3783691518938671
ACH-000017,-0.3023168879957968
ACH-000018,-0.9279600322473124
ACH-000019,-0.22122184463256184
ACH-000021,-0.2312920529025887
ACH-000022,-0.2884092051181317
ACH-000025,-0.3652221211685771
ACH-000028,-0.15862013824921162
ACH-000030,-0.1682379246197527
ACH-000035,-0.42205704708696906
ACH-000036,-0.6611345652502948
ACH-000037,-0.2964146013568514
ACH-000039,-0.28669653309133913
ACH-000040,-0.24983844899138055
ACH-000041,-0.0831122458134404
ACH-000042,-0.3154541874083984
ACH-000045,-0.5475492514345324
ACH-000047,-0.3555607921944116
ACH-000052,-0.31653667793039925
ACH-000053,-0.28288255629674913
ACH-000054,-0.2296602670821517
ACH-000055,-0.2007259251994944
ACH-000060,-0.5771120979822719
ACH-000067,-0.10101279727172972
ACH-000070,-0.3485149376541147
ACH-000075,-0.30586129967967146
ACH-000078,-0.29238136143734816
ACH-000082,-0.2323794644887
ACH-000085,-0.8163265507239025
ACH-000086,-0.5765548178690088
ACH-000087,0.10043003405805408
ACH-000092,-0.492036896873676
ACH-000095,-0.030124019538672095
ACH-000097,-0.30631028942964345
ACH-000098,-0.3628312664853323
ACH-000099,-0.15436856601512966
ACH-000108,-0.3762123856428365
ACH-000113,-0.1072876182432924
ACH-000116,-0.16616687627112506
ACH-000118,-0.4783475480047333
ACH-000120,-0.2595118863080097
ACH-000123,-0.1916797712286564
ACH-000127,-0.7044264562312607
ACH-000128,-0.2927922817107489
ACH-000132,-0.8275746699129714
ACH-000133,-0.4045654558183379
ACH-000137,-0.13565675883714215
ACH-000138,-0.23532774877951596
ACH-000142,-0.4150909756890601
ACH-000143,-0.1178558982647579
ACH-000146,-0.2632542368143043
ACH-000148,-0.2668409180301836
ACH-000150,-0.4201561362594755
ACH-000152,-0.2357115246943026
ACH-000153,-0.2622604686157899
ACH-000159,-0.2872656385813989
ACH-000160,-0.247280578999849
ACH-000163,-0.5314966857267346
ACH-000167,-0.3829977030609948
ACH-000168,-0.6353440680740566
ACH-000169,-0.5781633544144528
ACH-000178,-0.4092105898450224
ACH-000183,-0.7620584754997579
ACH-000188,-0.7319704199291749
ACH-000189,-0.4866486502083651
ACH-000190,-0.1163360916415596
ACH-000198,-0.1332535875298141
ACH-000203,0.020442530052246437
ACH-000204,-0.2225790390187594
ACH-000206,-0.253303755476166
ACH-000207,-0.4229610903881516
ACH-000208,-0.4633796332990763
ACH-000210,0.2798686574465162
ACH-000211,-0.3012828520998477
ACH-000215,-0.4865393949523202
ACH-000221,-0.15894348839231975
ACH-000222,-0.7184826160363064
ACH-000223,-0.19464812051418506
ACH-000226,-0.4830203525104874
ACH-000227,-0.3738257103847028
ACH-000228,-0.030201906859718488
ACH-000231,-0.10054372355553308
ACH-000232,-0.027835073199545663
ACH-000233,-0.3045521540435809
ACH-000234,-0.22211972301027505
ACH-000235,-0.3200160426022439
ACH-000237,-0.3165003975257281
ACH-000238,-0.7025660366308949
ACH-000242,-0.496134821864884
ACH-000243,-0.4920385405047162
ACH-000244,-0.2748271242683026
ACH-000246,-0.2484989451390387
ACH-000248,-0.1514352481889156
ACH-000250,-0.3510548715538234
ACH-000251,-0.3046443303490361
ACH-000252,-0.2982604647572325
ACH-000253,-0.3075250790418705
ACH-000255,-0.8675833757584993
ACH-000256,-0.2507385139911163
ACH-000257,0.004185232942460796
ACH-000258,-0.19006376757394164
ACH-000259,-0.3148743852379886
ACH-000260,-0.9138063378292052
ACH-000261,-0.4745479142199797
ACH-000262,-0.4666840768466957
ACH-000263,-0.4322814614938712
ACH-000264,-0.3534344692976135
ACH-000265,-0.09653382467236056
ACH-000266,-0.3680909961593891
ACH-000272,-0.5634315320596112
ACH-000274,-0.3412691567296018
ACH-000277,-0.20140576484536224
ACH-000278,-0.2868384157722553
ACH-000279,-0.1321755846871235
ACH-000280,-0.37225577181427294
ACH-000281,-0.3060249921392452
ACH-000288,-0.10638032304497587
ACH-000291,-0.6233636594656411
ACH-000293,-0.2514081614862974
ACH-000294,-0.5987812716134947
ACH-000295,-0.5259105359192776
ACH-000296,-0.22879223876275898
ACH-000302,0.05301873595285278
ACH-000304,-0.34722177510681235
ACH-000307,-0.5647615411732783
ACH-000308,-0.5593249405476367
ACH-000310,-0.1930949174463424
ACH-000311,-0.4692156876780805
ACH-000312,-0.1690773182836147
ACH-000315,-0.12658301051785698
ACH-000316,-0.5009760055128303
ACH-000317,-0.4472292519039193
ACH-000318,-0.1633870885733027
ACH-000319,-0.3220032108021094
ACH-000320,-0.36216435077317066
ACH-000322,-0.3500251304993515
ACH-000323,-0.21276391006158185
ACH-000324,-0.3261236722973062
ACH-000329,-0.1428996906072098
