,AGBL3 (340351)
ACH-000004,-0.037103256549330506
ACH-000005,-0.10682828669782474
ACH-000007,-0.0325782624901585
ACH-000009,-0.1463214713326625
ACH-000011,0.0873828249706859
ACH-000012,-0.014928551136718198
ACH-000013,0.02996415735121585
ACH-000014,-0.4899744357504649
ACH-000015,-0.07333756066483138
ACH-000017,-0.04514878543899017
ACH-000018,-0.0014874126598758161
ACH-000019,-0.0946425490967187
ACH-000021,-0.2874171458371925
ACH-000022,-0.0040803645629983905
ACH-000025,-0.03790578986447292
ACH-000028,0.03889309425007546
ACH-000030,-0.04714970287502901
ACH-000035,-0.0869608492543829
ACH-000036,-0.1949260844078433
ACH-000037,-0.0910420060654957
ACH-000039,-0.17560172767957613
ACH-000040,-0.055719982627447824
ACH-000041,-0.05114583047837303
ACH-000042,-0.05421006305555347
ACH-000045,-0.20744999114114485
ACH-000047,-0.06881018455824113
ACH-000052,-0.1398211042870302
ACH-000053,-0.06490443938821126
ACH-000054,-0.10267123804364546
ACH-000055,-0.11638994180133057
ACH-000060,-0.13641539226121474
ACH-000067,-0.2338137886488085
ACH-000070,-0.09092216783344824
ACH-000075,-0.18778447283541227
ACH-000078,-0.14915946213567108
ACH-000082,-0.10130702422514368
ACH-000085,-0.08129922046250251
ACH-000086,-0.10814746126292163
ACH-000087,0.027886421431710672
ACH-000092,-0.09663789567198447
ACH-000095,-0.02584544363535045
ACH-000097,-0.03751110681574975
ACH-000098,-0.06633177803727562
ACH-000099,-0.045100936887271334
ACH-000108,0.08628811396457138
ACH-000113,-0.11831933470563212
ACH-000116,-0.02791527230361928
ACH-000118,0.030677858706063557
ACH-000120,0.021569406498603196
ACH-000123,-0.04406475171323709
ACH-000127,-0.001572650222866468
ACH-000128,-0.07075969376137495
ACH-000132,-0.05181194581662758
ACH-000133,-0.15440576686550253
ACH-000137,0.041417181884438416
ACH-000138,-0.09354193360806047
ACH-000142,-0.14008279223522266
ACH-000143,-0.13850403570979247
ACH-000146,-0.11407428094133967
ACH-000148,-0.0743863478886462
ACH-000150,-0.04898289689948035
ACH-000152,-0.09204372890569923
ACH-000153,-0.0708810021687015
ACH-000159,-0.15754535375583356
ACH-000160,-0.058803930440528424
ACH-000163,-0.07592148441729096
ACH-000167,-0.22496795383878407
ACH-000168,-0.01301387811478925
ACH-000169,-0.09805936851360468
ACH-000178,-0.04913119915082943
ACH-000183,0.03780219444695492
ACH-000188,-0.03562319125487976
ACH-000189,-0.049985712449485575
ACH-000190,-0.04803835636178213
ACH-000198,-0.17235753843239307
ACH-000203,-0.4954069800023096
ACH-000204,-0.13468575766161706
ACH-000206,-0.02744080685694156
ACH-000207,0.09183900096029432
ACH-000208,0.011754592966516084
ACH-000210,-0.11479966097261035
ACH-000211,-0.10204421074544737
ACH-000215,-0.16342318230520664
ACH-000221,0.02860280606009305
ACH-000222,-0.0513197768579553
ACH-000223,-0.03987586832437779
ACH-000226,-0.05739819531446305
ACH-000227,-0.023901477815886543
ACH-000228,0.07235337848209251
ACH-000231,-0.04562898735992029
ACH-000232,-0.19842134636379413
ACH-000233,-0.07817695250187771
ACH-000234,-0.060030278938654986
ACH-000235,-0.04956250125216957
ACH-000237,-0.21369537193305688
ACH-000238,-0.09077922193148108
ACH-000242,-0.04163965756132758
ACH-000243,0.008286026630898191
ACH-000244,-0.09856360605310427
ACH-000246,-0.11699809742528032
ACH-000248,0.06850121619905901
ACH-000250,-0.21976835897557212
ACH-000251,-0.1047219111245349
ACH-000252,-0.1902356564532864
ACH-000253,-0.1899080082706764
ACH-000255,-0.01503196951115078
ACH-000256,-0.18868048471066334
ACH-000257,-0.07940303016372979
ACH-000258,-0.21504766132682687
ACH-000259,-0.003993006415407044
ACH-000260,-0.13249962576402768
ACH-000261,-0.18502414501821213
ACH-000262,-0.18135025412048905
ACH-000263,-0.051959286118246066
ACH-000264,-0.06338814209532379
ACH-000265,-0.0077649134201264215
ACH-000266,-0.027830073528310253
ACH-000272,-0.19242820743478475
ACH-000274,-0.14625905076070886
ACH-000277,0.10395251735418833
ACH-000278,-0.05909049219771655
ACH-000279,-0.01731399748268918
ACH-000280,-0.03786016180003233
ACH-000281,0.01940523553270097
ACH-000288,-0.11634983992766296
ACH-000291,-0.050141162718406435
ACH-000293,-0.2518241278280443
ACH-000294,-0.13198961419526198
ACH-000295,-0.14875201180412198
ACH-000296,-0.17405167687955847
ACH-000302,-0.13096246590849667
ACH-000304,-0.05700569502770565
ACH-000307,-0.05517179226671872
ACH-000308,-0.04943936236578271
ACH-000310,-0.14492212500178728
ACH-000311,0.01874268529311137
ACH-000312,-0.007116968768914039
ACH-000315,0.014095396718679319
ACH-000316,-0.14347069231213436
ACH-000317,-0.3132087001161193
ACH-000318,-0.035927576995091436
ACH-000319,-0.05848229890308949
ACH-000320,-0.014780739877573147
ACH-000322,-0.01465230008674256
ACH-000323,-0.16891358934908446
ACH-000324,-0.04047400882155084
ACH-000329,-0.05803142416712297
ACH-000330,-0.06429243699317383
ACH-000331,-0.05941039903743306
ACH-000332,-0.0775666591669486
ACH-000334,-0.007339788889172089
ACH-000335,-0.05104447958345304
ACH-000336,-0.05792202904816165
ACH-000337,-0.04379440243634093
ACH-000338,0.06058320587430849
ACH-000339,-0.11217646944979454
ACH-000341,0.04422820845804376
ACH-000348,-0.1011694866505709
ACH-000350,-0.2081864294535816
ACH-000352,-0.03279253846119997
ACH-000356,0.022984419750802704
ACH-000361,-0.12943855829292478
ACH-000362,-0.0586878319972951
ACH-000363,-0.09202588079700268
ACH-000364,-0.09076444731582167
ACH-000365,-0.14530854254014375
ACH-000366,-0.12115624692612074
ACH-000368,-0.12207069596393302
ACH-000374,-0.07660433878133417
ACH-000375,0.05847262371152175
ACH-000376,-0.14152198238675842
ACH-000381,-0.3654465785100876
ACH-000383,-0.0373431955582574
ACH-000387,-0.1738779275289238
ACH-000389,-0.0854599837984784
ACH-000390,-0.14130713827428895
ACH-000393,-0.0899511252742275
ACH-000395,-0.008323949987749341
ACH-000396,-0.06080541290507147
ACH-000397,-0.07551646901101078
ACH-000401,0.04985850627310851
ACH-000402,-0.1443708432248592
ACH-000403,-0.0966733947805726
ACH-000404,-0.3651886755402013
ACH-000406,-0.05505026012704895
ACH-000407,-0.11794826003930207
ACH-000408,0.0144288857941213
ACH-000410,-0.039833319085886484
ACH-000411,-0.0943707669836974
ACH-000414,-0.14581428666665264
ACH-000415,-0.037819888064668905
ACH-000416,-0.02578124410083473
ACH-000420,-0.0690150897622261
ACH-000421,-0.09189499724519723
ACH-000424,-0.02369124112267932
ACH-000425,-0.07881547752720634
ACH-000426,-0.006602331715847432
ACH-000427,0.013029542192441785
ACH-000433,-0.12679949362411902
ACH-000435,0.07976291740145762
ACH-000436,-0.1082016573209308
ACH-000444,-0.015610854563123309
ACH-000445,-0.06339626027847768
ACH-000448,-0.03265512838049259
ACH-000450,-0.13999371388980072
ACH-000452,-0.12563074519061676
ACH-000454,0.11068161948707277
ACH-000458,0.14522002233457512
ACH-000459,-0.2642604914387151
ACH-000460,-0.05063854835764012
ACH-000461,0.029970434498518682
ACH-000463,-0.1739640951094264
ACH-000464,-0.22687390428701826
ACH-000466,-0.0031466787816289924
ACH-000467,-0.10780333785464084
ACH-000468,0.012307128421736684
ACH-000469,-0.29657052851356497
ACH-000470,-0.0672901935414332
ACH-000471,-0.09353459949895804
ACH-000472,-0.03616229649291336
ACH-000473,-0.02535291180794664
ACH-000475,-0.11006346322984532
ACH-000476,-0.20218417176464595
ACH-000477,-0.2048219546785753
ACH-000479,-0.15737795119448195
ACH-000480,0.013560494683361252
ACH-000481,-0.10686320936240457
ACH-000483,-0.09375604211167483
ACH-000484,-0.03477569130908598
ACH-000485,-0.053070905495330944
ACH-000486,-0.048275839243021486
ACH-000487,0.021598218000883868
ACH-000488,-0.06849383255917246
ACH-000490,-0.029344882378756987
ACH-000491,-0.10056480774195124
ACH-000495,-0.08495794704473775
ACH-000496,-0.0682744591932894
ACH-000499,0.03752132258336889
ACH-000500,-0.21897426615319449
ACH-000502,0.031286492597355615
ACH-000503,-0.03970697184576888
ACH-000505,-0.05873599349457478
ACH-000507,-0.06952884951149199
ACH-000510,-0.0031384590589622853
ACH-000511,-0.05916001301824311
ACH-000512,0.2659051213910429
ACH-000516,-0.1843222171635292
ACH-000517,-0.04253642499703201
ACH-000518,0.027768469396700798
ACH-000520,-0.3365486215668334
ACH-000521,-0.08098524318167515
ACH-000522,0.0053821477901204
ACH-000524,-0.08832661518493629
ACH-000527,-0.07991775892366247
ACH-000528,-0.035439845033927324
ACH-000537,0.04140440704921619
ACH-000541,0.062340983952926664
ACH-000542,-0.025790344539841054
ACH-000544,-0.0016047029711329832
ACH-000545,-0.02184273697938297
ACH-000547,-0.05727571104547233
ACH-000548,-0.0072810434219602515
ACH-000549,-0.07065595236616408
ACH-000550,-0.2627565272710369
ACH-000552,-0.1267863401542843
ACH-000556,-0.05555097854507731
ACH-000557,-0.15356934037519718
ACH-000569,-0.19952268443330945
ACH-000570,-0.0941935027587198
ACH-000571,-0.07592373826439047
ACH-000573,-0.11594422953108373
ACH-000576,-0.15129401129250952
ACH-000579,-0.22380320341902246
ACH-000580,-0.19771526744799545
ACH-000584,-0.07027186938661223
ACH-000585,-0.12394243478353853
ACH-000588,-0.05742751765521947
ACH-000589,-0.02409526099131377
ACH-000591,-0.02961781902922425
ACH-000593,-0.015687781182413322
ACH-000600,-0.07547273310126244
ACH-000601,0.0029925156044179127
ACH-000605,-0.10633023387765682
ACH-000606,-0.1546714169095335
ACH-000608,-0.10235350155934393
ACH-000614,-0.31896075650092304
ACH-000616,-0.03173216258879557
ACH-000618,0.0008521822520839902
ACH-000619,-0.02027629580448004
ACH-000620,-0.06647668996272177
ACH-000621,-0.12464582889298585
ACH-000622,0.003857705173641529
ACH-000623,-0.015798680822541388
ACH-000624,-0.1342583169484104
ACH-000627,0.004096821000879543
ACH-000630,-0.14012480950413425
ACH-000631,-0.22249628879446548
ACH-000632,-0.0016129988272307369
ACH-000633,-0.08634995051612995
ACH-000637,-0.09274726314630076
ACH-000638,-0.05341494624616289
ACH-000646,0.038857417309328415
ACH-000647,0.015271376209685043
ACH-000648,-0.19350456253039686
ACH-000649,-0.18653081716868666
ACH-000651,0.048373836695065335
