,TRIP10 (9322)
ACH-000004,-0.16271174382539927
ACH-000005,0.1400938397220013
ACH-000007,-0.02228062593139612
ACH-000009,0.05101487174499599
ACH-000011,-0.06400454521990391
ACH-000012,0.05704305112026895
ACH-000013,0.07443510680549839
ACH-000014,-0.011222579280844169
ACH-000015,-0.2304758958597896
ACH-000017,-0.06816167502891665
ACH-000018,-0.2681809464073333
ACH-000019,-0.01758604082037189
ACH-000021,-0.05169375220963296
ACH-000022,0.07743230161021371
ACH-000025,-0.04248937927945235
ACH-000028,-0.08387702137991684
ACH-000030,-0.05255663905493177
ACH-000035,-0.12603780296638953
ACH-000036,0.07941336799405932
ACH-000037,-0.044797470922389684
ACH-000039,0.06600372815011996
ACH-000040,-0.15965566564395864
ACH-000041,-0.05518518310195777
ACH-000042,0.00783595615847503
ACH-000045,-0.15459596635378173
ACH-000047,-0.020883136341693503
ACH-000052,-0.2261347185214431
ACH-000053,0.007827651645263781
ACH-000054,-0.16087993826150596
ACH-000055,0.059808480205212386
ACH-000060,0.06168644189770164
ACH-000067,-0.0828243580218857
ACH-000070,-0.03785305446311917
ACH-000075,-0.19073908112940025
ACH-000078,0.003403164415705487
ACH-000082,0.060391304602335036
ACH-000085,-0.049111073074705185
ACH-000086,-0.105985319870604
ACH-000087,0.2492177404867309
ACH-000092,-0.17435292405104813
ACH-000095,-0.06477943185046035
ACH-000097,0.013624483446309241
ACH-000098,-0.429494979203457
ACH-000099,-0.06257987316202834
ACH-000108,0.034151924015392486
ACH-000113,-0.050619244770293295
ACH-000116,0.1239909262690028
ACH-000118,-0.009723070746391164
ACH-000120,-0.12444866150443665
ACH-000123,-0.05059661674633978
ACH-000127,-0.0737521321927192
ACH-000128,-0.1191204777483887
ACH-000132,-0.0466009895152108
ACH-000133,-0.16307262597238695
ACH-000137,-0.11443893873633873
ACH-000138,-0.02592006447025151
ACH-000142,-0.22584901423928666
ACH-000143,-0.06975363000250112
ACH-000146,-0.154121950446264
ACH-000148,-0.05200015841285078
ACH-000150,0.022660015580727038
ACH-000152,0.05322334142500206
ACH-000153,0.0006212037053054459
ACH-000159,-0.14086846919061444
ACH-000160,-0.0903201056421456
ACH-000163,-0.2583521319339957
ACH-000167,-0.2522211745350166
ACH-000168,-0.05407827317245023
ACH-000169,0.02221309807814212
ACH-000178,0.0131125053462477
ACH-000183,-0.22590716688860865
ACH-000188,-0.0871951646907948
