,H2AFJ (55766)
ACH-000004,-0.3147891922549273
ACH-000005,-0.4057366589832228
ACH-000007,-0.25104518084034905
ACH-000009,-0.18738631290500485
ACH-000011,-0.11347723742961185
ACH-000012,-0.029727451849447476
ACH-000013,-0.06557062067961422
ACH-000014,-0.1636226648778772
ACH-000015,-0.11018441102351803
ACH-000017,-0.1572937884435505
ACH-000018,-0.05367513229720615
ACH-000019,-0.07619376246315328
ACH-000021,-0.17985035750285666
ACH-000022,-0.12774450411649274
ACH-000025,-0.23284047135221256
ACH-000028,-0.14578251988507773
ACH-000030,-0.14422836827334376
ACH-000035,-0.17723722000241135
ACH-000036,-0.20034693431628184
ACH-000037,-0.2627682957226262
ACH-000039,-0.11576574094648265
ACH-000040,-0.1149904894873485
ACH-000041,-0.17249342071921564
ACH-000042,-0.09147946848119526
ACH-000045,-0.2585773559449145
ACH-000047,-0.10742576294061162
ACH-000052,-0.2686320449082202
ACH-000053,-0.23377675540700416
ACH-000054,-0.1766239728494435
ACH-000055,-0.06951574787441572
ACH-000060,-0.18244320257780725
ACH-000067,-0.1255914245617064
ACH-000070,-0.21888761275882293
ACH-000075,0.040230116608435736
ACH-000078,-0.1925955097156345
ACH-000082,-0.23205271431806146
ACH-000085,-0.049957197703115096
ACH-000086,-0.15096665441912768
ACH-000087,-0.5331738230884718
ACH-000092,-0.13131194404664268
ACH-000095,-0.35055619438533114
ACH-000097,-0.24137845122645896
ACH-000098,-0.21255361813856585
ACH-000099,-0.04943842100008014
ACH-000108,-0.03086903662447686
ACH-000113,-0.18841819039243088
ACH-000116,-0.17151812287080295
ACH-000118,-0.09793797590435638
ACH-000120,-0.16698130726261598
ACH-000123,-0.18908480932208013
ACH-000127,-0.09121203094954028
ACH-000128,-0.02472977410901929
ACH-000132,-0.0071229713494993544
ACH-000133,-0.2110859339960732
ACH-000137,-0.2494229540651235
ACH-000138,-0.20246387571604169
ACH-000142,-0.04671920188878388
ACH-000143,-0.12828277745177452
ACH-000146,-0.17217464335786792
ACH-000148,-0.17651730049711742
ACH-000150,-0.1381279786146028
ACH-000152,-0.061433883113083815
ACH-000153,-0.22332923470495716
ACH-000159,-0.10789475379097352
ACH-000160,-0.19658617808827364
ACH-000163,-0.14512980808235051
ACH-000167,0.036796956675877165
ACH-000168,-0.1187116666077846
ACH-000169,-0.2562840028312555
ACH-000178,-0.06712228155338164
ACH-000183,-0.12771971636703486
ACH-000188,-0.1532195521324782
ACH-000189,-0.24831630423981302
ACH-000190,-0.11731013363138805
ACH-000198,-0.2353722204983387
ACH-000203,0.20121760662670565
ACH-000204,-0.1321221874258356
ACH-000206,-0.15642063553138474
ACH-000207,-0.14831105305390935
ACH-000208,-0.04941916555608064
ACH-000210,-0.27918250145134804
ACH-000211,-0.16760851184580158
ACH-000215,-0.2861703356305843
ACH-000221,-0.13177159853650566
ACH-000222,-0.14375178842429856
ACH-000223,-0.3640100790166392
ACH-000226,-0.21928499568024293
ACH-000227,-0.14351285164299868
ACH-000228,-0.13458488465830498
ACH-000231,-0.2342159032052634
ACH-000232,-0.2258949961603855
ACH-000233,-0.1556012906144465
ACH-000234,-0.05239470104254042
ACH-000235,-0.2112645615344912
ACH-000237,-0.24183891753636644
ACH-000238,-0.17505180554401972
ACH-000242,0.09809680063236118
ACH-000243,-0.026733681822623
ACH-000244,-0.22383754365669525
ACH-000246,-0.14518111295734862
ACH-000248,-0.15958655852167045
ACH-000250,-0.1623912578289001
ACH-000251,-0.3550087268662148
ACH-000252,-0.2493549403604145
ACH-000253,-0.09279332911460013
ACH-000255,-0.23017901473322294
ACH-000256,-0.13885282125522028
ACH-000257,-0.2425360599987049
ACH-000258,-0.2644656604880456
ACH-000259,-0.17559010885981094
ACH-000260,-0.14313548914944665
ACH-000261,-0.2308787689931017
ACH-000262,-0.05146336160617617
ACH-000263,-0.09689009828315072
ACH-000264,-0.1915062632704754
ACH-000265,-0.07102901540683478
ACH-000266,-0.08357590937685044
ACH-000272,-0.2518513993554
ACH-000274,-0.20442346570624648
ACH-000277,-0.16387756062326286
ACH-000278,-0.29587575254340154
ACH-000279,-0.33683198484231225
ACH-000280,-0.04982730971705631
ACH-000281,-0.14529123145109835
ACH-000288,-0.04165193020209879
ACH-000291,-0.05288740256902935
ACH-000293,0.004720982685114442
ACH-000294,-0.2768593082381735
ACH-000295,-0.4204677461271606
ACH-000296,-0.15827101262744195
ACH-000302,-0.07781067575435234
ACH-000304,-0.09581872936429288
ACH-000307,-0.2218821482835907
ACH-000308,-0.14776819919358947
ACH-000310,-0.29712040249700045
ACH-000311,-0.3249623665150144
ACH-000312,-0.11259951427795473
ACH-000315,-0.008884349958793237
ACH-000316,-0.1835230890326195
ACH-000317,-0.35968814601702176
ACH-000318,-0.16153804713218906
ACH-000319,-0.21406443236794456
ACH-000320,0.0008055036237851796
ACH-000322,-0.23863342315508565
ACH-000323,-0.03157850194048481
ACH-000324,-0.17059473841010153
ACH-000329,-0.20398198277552784
ACH-000330,-0.1618241930521374
ACH-000331,-0.10049233803805868
ACH-000332,-0.2059541969185409
ACH-000334,-0.03459671547358453
